team_id,team_name,country,country_code,domestic_league
1,FK Kukësi,Albania,ALB,Historical domestic league
2,KF Laçi,Albania,ALB,Historical domestic league
3,KF Tirana,Albania,ALB,Historical domestic league
4,Teuta Durrës,Albania,ALB,Historical domestic league
5,FC Santa Coloma,Andorra,AND,Historical domestic league
6,Inter Club d'Escaldes,Andorra,AND,Historical domestic league
7,UE Engordany,Andorra,AND,Historical domestic league
8,Alashkert FC,Armenia,ARM,Historical domestic league
9,Ararat-Armenia,Armenia,ARM,Historical domestic league
10,FC Noah,Armenia,ARM,Historical domestic league
11,Shirak Gyumri,Armenia,ARM,Historical domestic league
12,FC Salzburg,Austria,AUT,Historical domestic league
13,LASK,Austria,AUT,Historical domestic league
14,Rapid Wien,Austria,AUT,Historical domestic league
15,TSV Hartberg,Austria,AUT,Historical domestic league
16,Wolfsberger AC,Austria,AUT,Historical domestic league
17,Kesla FK,Azerbaijan,AZB,Historical domestic league
18,Neftchi Baku,Azerbaijan,AZB,Historical domestic league
19,Qarabag FK,Azerbaijan,AZB,Historical domestic league
20,Sumgayit FK,Azerbaijan,AZB,Historical domestic league
21,BATE Borisov,Belarus,BLS,Historical domestic league
22,Dinamo Minsk,Belarus,BLS,Historical domestic league
23,Dynamo Brest,Belarus,BLS,Historical domestic league
24,Shakhtior Saligorsk,Belarus,BLS,Historical domestic league
25,AA Gent,Belgium,BEL,Historical domestic league
26,Charleroi,Belgium,BEL,Historical domestic league
27,Club Brugge,Belgium,BEL,Historical domestic league
28,Royal Antwerp,Belgium,BEL,Historical domestic league
29,Standard Liège,Belgium,BEL,Historical domestic league
30,Borac Banja Luka,Bosnia-Herzegovina,BOS,Historical domestic league
31,FK Sarajevo,Bosnia-Herzegovina,BOS,Historical domestic league
32,Zeljeznicar Sarajevo,Bosnia-Herzegovina,BOS,Historical domestic league
33,Zrinjski Mostar,Bosnia-Herzegovina,BOS,Historical domestic league
34,CSKA Sofia,Bulgaria,BUL,Historical domestic league
35,Lokomotiv Plovdiv,Bulgaria,BUL,Historical domestic league
36,Ludogorets Razgrad,Bulgaria,BUL,Historical domestic league
37,Slavia Sofia,Bulgaria,BUL,Historical domestic league
38,Dinamo Zagreb,Croatia,CRO,Historical domestic league
39,Hajduk Split,Croatia,CRO,Historical domestic league
40,Lokomotiva Zagreb,Croatia,CRO,Historical domestic league
41,NK Osijek,Croatia,CRO,Historical domestic league
42,NK Rijeka,Croatia,CRO,Historical domestic league
43,APOEL Nicosia,Cyprus,CYP,Historical domestic league
44,Anorthosis Famagusta,Cyprus,CYP,Historical domestic league
45,Apollon Limassol,Cyprus,CYP,Historical domestic league
46,Omonia Nicosia,Cyprus,CYP,Historical domestic league
47,FK Jablonec,Czechia,CZE,Historical domestic league
48,Slavia Praha,Czechia,CZE,Historical domestic league
49,Slovan Liberec,Czechia,CZE,Historical domestic league
50,Sparta Praha,Czechia,CZE,Historical domestic league
51,Viktoria Plzen,Czechia,CZE,Historical domestic league
52,AGF Aarhus,Denmark,DEN,Historical domestic league
53,FC København,Denmark,DEN,Historical domestic league
54,FC Midtjylland,Denmark,DEN,Historical domestic league
55,SønderjyskE,Denmark,DEN,Historical domestic league
56,Arsenal,England,ENG,Historical domestic league
57,Chelsea,England,ENG,Historical domestic league
58,Leicester City,England,ENG,Historical domestic league
59,Liverpool,England,ENG,Historical domestic league
60,Manchester City,England,ENG,Historical domestic league
61,Manchester United,England,ENG,Historical domestic league
62,Tottenham Hotspur,England,ENG,Historical domestic league
63,Flora Tallinn,Estonia,EST,Historical domestic league
64,Kalju Nomme,Estonia,EST,Historical domestic league
65,Levadia Tallinn,Estonia,EST,Historical domestic league
66,Paide Linnameeskond,Estonia,EST,Historical domestic league
67,B36 Torshavn,Faroe Islands,FAR,Historical domestic league
68,HB Torshavn,Faroe Islands,FAR,Historical domestic league
69,KI Klaksvik,Faroe Islands,FAR,Historical domestic league
70,NSI Runavik,Faroe Islands,FAR,Historical domestic league
71,Honka Espoo,Finland,FIN,Historical domestic league
72,Ilves Tampere,Finland,FIN,Historical domestic league
73,Inter Turku,Finland,FIN,Historical domestic league
74,KuPS Kuopio,Finland,FIN,Historical domestic league
75,Lille OSC,France,FRA,Historical domestic league
76,OGC Nice,France,FRA,Historical domestic league
77,Olympique Marseille,France,FRA,Historical domestic league
78,Paris Saint-Germain,France,FRA,Historical domestic league
79,Stade Rennais,France,FRA,Historical domestic league
80,Stade de Reims,France,FRA,Historical domestic league
81,Dinamo Batumi,Georgia,GEO,Historical domestic league
82,Dinamo Tbilisi,Georgia,GEO,Historical domestic league
83,Lokomotivi Tbilisi,Georgia,GEO,Historical domestic league
84,Saburtalo Tbilisi,Georgia,GEO,Historical domestic league
85,1899 Hoffenheim,Germany,GER,Historical domestic league
86,Bayer Leverkusen,Germany,GER,Historical domestic league
87,Bayern München,Germany,GER,Historical domestic league
88,Borussia Dortmund,Germany,GER,Historical domestic league
89,Borussia Mönchengladbach,Germany,GER,Historical domestic league
90,RB Leipzig,Germany,GER,Historical domestic league
91,VfL Wolfsburg,Germany,GER,Historical domestic league
92,Europa FC,Gibraltar,GIB,Historical domestic league
93,Lincoln Red Imps,Gibraltar,GIB,Historical domestic league
94,St Joseph's FC,Gibraltar,GIB,Historical domestic league
95,AEK Athens,Greece,GRE,Historical domestic league
96,Aris Thessaloniki,Greece,GRE,Historical domestic league
97,OFI Heraklion,Greece,GRE,Historical domestic league
98,Olympiakos Piraeus,Greece,GRE,Historical domestic league
99,PAOK Thessaloniki,Greece,GRE,Historical domestic league
100,FC Fehérvár,Hungary,HUN,Historical domestic league
101,Ferencváros,Hungary,HUN,Historical domestic league
102,Honvéd Budapest,Hungary,HUN,Historical domestic league
103,Puskás Akadémia,Hungary,HUN,Historical domestic league
104,Breidablik,Iceland,ISL,Historical domestic league
105,FH Hafnarfjardar,Iceland,ISL,Historical domestic league
106,KR Reykjavik,Iceland,ISL,Historical domestic league
107,Vikingur Reykjavik,Iceland,ISL,Historical domestic league
108,Bohemians Dublin,Ireland,IRL,Historical domestic league
109,Derry City,Ireland,IRL,Historical domestic league
110,Dundalk,Ireland,IRL,Historical domestic league
111,Shamrock Rovers,Ireland,IRL,Historical domestic league
112,Beitar Jerusalem,Israel,ISR,Historical domestic league
113,Hapoel Beer-Sheva,Israel,ISR,Historical domestic league
114,Maccabi Haifa,Israel,ISR,Historical domestic league
115,Maccabi Tel-Aviv,Israel,ISR,Historical domestic league
