season,country,country_code,points_t_minus_4,points_t_minus_3,points_t_minus_2,points_t_minus_1,points_t,official_five_year_total,official_country_rank
2024/25,Albania,ALB,0.75,2.0,1.625,0.875,2.125,7.375,47
2024/25,Andorra,AND,1.5,0.666,1.5,0.666,1.666,5.998,51
2024/25,Armenia,ARM,2.75,1.375,1.875,2.375,2.25,10.625,36
2024/25,Austria,AUT,5.8,6.7,10.4,4.9,4.8,32.6,13
2024/25,Azerbaijan,AZB,3.375,2.5,4.375,4.0,5.875,20.125,28
2024/25,Belarus,BLS,2.5,1.5,0.25,0.625,1.75,6.625,49
2024/25,Belgium,BEL,7.6,6.0,6.6,14.2,14.4,48.8,8
2024/25,Bosnia-Herzegovina,BOS,1.5,2.625,1.625,2.0,2.25,10.0,39
2024/25,Bulgaria,BUL,4.125,4.0,3.375,4.5,4.375,20.375,27
2024/25,Croatia,CRO,4.375,5.9,6.0,3.375,5.875,25.525,20
2024/25,Cyprus,CYP,5.125,4.0,4.125,5.1,3.75,22.1,23
2024/25,Czechia,CZE,2.5,6.6,6.7,6.75,13.5,36.05,10
2024/25,Denmark,DEN,5.125,4.125,7.8,5.9,8.5,31.45,16
2024/25,England,ENG,18.571,24.357,21.0,23.0,17.375,104.303,1
2024/25,Estonia,EST,0.875,1.375,3.666,1.166,0.125,7.207,48
2024/25,Faroe Islands,FAR,1.125,2.75,1.5,2.25,2.75,10.375,38
2024/25,Finland,FIN,1.625,1.375,3.75,2.625,1.75,11.125,34
2024/25,France,FRA,11.666,7.916,18.416,12.583,16.25,66.831,5
2024/25,Georgia,GEO,2.25,1.75,1.25,1.125,1.25,7.625,46
2024/25,Germany,GER,18.714,15.214,16.214,17.125,19.357,86.624,4
2024/25,Gibraltar,GIB,1.0,1.666,1.25,0.875,0.166,4.957,54
2024/25,Greece,GRE,4.9,5.1,8.0,2.125,11.4,31.525,15
2024/25,Hungary,HUN,4.5,4.25,2.75,5.875,4.5,21.875,24
2024/25,Iceland,ISL,0.625,0.625,1.5,3.0,3.833,9.583,41
2024/25,Ireland,IRL,1.25,1.875,2.875,3.375,1.5,10.875,35
2024/25,Israel,ISR,2.375,7.0,6.75,6.25,8.75,31.125,17
2024/25,Italy,ITA,14.928,16.285,15.714,22.357,21.0,90.284,2
2024/25,Kazakhstan,KAZ,3.375,1.0,2.875,1.125,3.125,11.5,33
2024/25,Kosovo,KOS,1.5,1.833,2.333,2.875,3.0,11.541,32
2024/25,Latvia,LAT,2.25,1.375,2.625,2.75,1.625,10.625,37
2024/25,Liechtenstein,LIE,2.5,0.5,0.0,6.5,0.5,10.0,40
2024/25,Lithuania,LIT,1.625,1.625,1.75,2.375,1.125,8.5,44
2024/25,Luxembourg,LUX,3.0,1.0,1.25,1.125,2.25,8.625,43
2024/25,Malta,MLT,0.75,1.5,1.875,2.625,1.5,8.25,45
2024/25,Moldova,MOL,0.75,1.375,5.25,3.75,2.0,13.125,31
2024/25,Montenegro,MON,1.0,1.625,0.75,1.0,1.333,5.708,53
2024/25,Netherlands,NED,9.4,9.2,19.2,13.5,10.0,61.3,6
2024/25,North Macedonia,MAC,0.5,1.75,0.625,1.625,1.5,6.0,50
2024/25,Northern Ireland,NIR,2.375,2.833,1.625,1.25,1.125,9.208,42
2024/25,Norway,NOR,3.75,6.5,7.625,5.75,8.0,31.625,14
2024/25,Poland,POL,2.125,4.0,4.625,7.75,6.875,25.375,21
2024/25,Portugal,POR,10.3,9.6,12.916,12.5,11.0,56.316,7
2024/25,Romania,ROM,5.875,3.75,2.25,6.25,3.25,21.375,26
2024/25,San Marino,SMA,0.0,0.5,0.166,0.833,0.333,1.832,55
2024/25,Scotland,SCO,9.75,8.5,7.9,3.5,6.4,36.05,11
2024/25,Serbia,SRB,6.0,5.5,9.5,5.375,1.4,27.775,19
2024/25,Slovakia,SVK,3.0,1.5,4.125,6.0,5.0,19.625,29
2024/25,Slovenia,SLO,2.0,2.25,3.0,2.125,3.875,13.25,30
2024/25,Spain,ESP,18.928,19.5,18.428,16.571,16.062,89.489,3
2024/25,Sweden,SWE,5.75,2.5,5.125,6.25,1.875,21.5,25
2024/25,Switzerland,SUI,6.4,5.125,7.75,8.5,5.2,32.975,12
2024/25,Türkiye,TUR,5.0,3.1,6.7,11.8,12.0,38.6,9
2024/25,Ukraine,UKR,7.2,6.8,4.2,5.7,4.1,28.0,18
2024/25,Wales,WAL,1.0,1.5,1.5,1.166,0.625,5.791,52
