season,team_id,domestic_position,league_team_count,is_league_champion,is_cup_winner,european_entry_type,competition,entry_round
2021/22,1,,,False,False,N4,UECL,ECL-Q1
2021/22,2,,,False,False,N3,UECL,ECL-Q1
2021/22,3,,,True,False,CH,UECL,CL-Q1
2021/22,4,,,False,True,CW,UECL,ECL-Q1
2021/22,5,,,False,False,N3,UECL,ECL-Q1
2021/22,6,,,True,False,CH,UECL,CL-PR
2021/22,7,,,False,True,CW,UECL,ECL-Q1
2021/22,8,,,True,False,CH,UECL,CL-Q1
2021/22,9,,,False,True,CW,UECL,ECL-Q1
2021/22,10,,,False,False,N2,UECL,ECL-Q1
2021/22,11,,,False,False,N3,UECL,ECL-Q1
2021/22,12,,,False,False,N5,UECL,ECL-Q2
2021/22,13,,,True,True,CH,UCL,CL-PO
2021/22,14,,,False,False,N4,UECL,ECL-Q3
2021/22,15,,,False,False,N2,UECL,CL-Q2nc
2021/22,16,,,False,False,N3,UEL,EL-PO
2021/22,17,,,False,True,CW,UECL,ECL-Q2
2021/22,18,,,True,False,CH,UECL,CL-Q1
2021/22,19,,,False,False,N2,UECL,ECL-Q2
2021/22,20,,,False,False,N3,UECL,ECL-Q2
2021/22,21,,,False,True,CW,UECL,ECL-Q2
2021/22,22,,,False,False,N4,UECL,ECL-Q2
2021/22,23,,,True,False,CH,UECL,CL-Q1
2021/22,24,,,False,False,N3,UECL,ECL-Q2
2021/22,25,,,False,False,N5,UECL,ECL-Q2
2021/22,26,,,False,False,N4,UECL,ECL-Q3
2021/22,27,,,True,False,CH,UCL,CL-GS
2021/22,28,,,False,True,N2,UEL,CL-Q3nc
2021/22,29,,,False,False,N3,UEL,EL-PO
2021/22,30,,,False,False,Historical participant,UECL,UECL
2021/22,31,,,False,True,CW,UECL,ECL-Q1
2021/22,32,,,False,False,N4,UECL,ECL-Q1
2021/22,33,,,False,False,N3,UECL,ECL-Q1
2021/22,34,,,False,False,N4,UECL,ECL-Q2
2021/22,35,,,False,True,CW,UECL,ECL-Q2
2021/22,36,,,False,False,N2,UECL,ECL-Q2
2021/22,37,,,True,False,CH,UEL,CL-Q1
2021/22,38,,,True,True,CH,UEL,CL-Q1
2021/22,39,,,False,False,N4,UECL,ECL-Q2
2021/22,40,,,False,False,N2,UECL,ECL-Q2
2021/22,41,,,False,False,N3,UECL,ECL-Q2
2021/22,42,,,False,False,N3,UECL,ECL-Q2
2021/22,43,,,False,True,CW,UECL,EL-Q3
2021/22,44,,,False,False,N2,UECL,ECL-Q2
2021/22,45,,,True,False,CH,UECL,CL-Q2
2021/22,46,,,False,False,N4,UECL,ECL-Q2
2021/22,47,,,False,False,N3,UECL,EL-Q3
2021/22,48,,,True,True,CH,UECL,CL-Q3
2021/22,49,,,False,False,N2,UECL,CL-Q2nc
2021/22,50,,,False,False,N5,UECL,ECL-Q2
2021/22,51,,,False,False,N4,UECL,ECL-Q2
2021/22,52,,,True,False,CH,UEL,CL-PO
2021/22,53,,,False,False,N3,UECL,ECL-Q2
2021/22,54,,,False,False,N2,UECL,CL-Q2nc
2021/22,55,,,False,True,CW,UECL,EL-PO
2021/22,56,,,False,False,N4,UCL,CL-GS
2021/22,57,,,False,True,CW,UECL,EL-GS
2021/22,58,,,False,False,N3,UCL,CL-GS
2021/22,59,,,True,True,CH,UCL,CL-GS
2021/22,60,,,False,False,N2,UCL,CL-GS
2021/22,61,,,False,False,N7,UECL,ECL-PO
2021/22,62,,,False,False,N6,UEL,EL-GS
2021/22,63,,,True,False,CH,UECL,CL-Q1
2021/22,64,,,False,True,CW,UECL,ECL-Q1
2021/22,65,,,False,False,N2,UECL,ECL-Q1
2021/22,66,,,True,False,CH,UECL,CL-PR
2021/22,67,,,False,False,N3,UECL,ECL-Q1
2021/22,68,,,False,False,N2,UECL,ECL-Q1
2021/22,69,,,True,False,CH,UECL,CL-Q1
2021/22,70,,,False,False,N4,UECL,ECL-Q1
2021/22,71,,,False,False,N2,UECL,ECL-Q1
2021/22,72,,,False,False,N3,UECL,ECL-Q1
2021/22,73,,,False,False,N3,UEL,CL-Q3nc
2021/22,74,,,True,False,CH,UCL,CL-GS
2021/22,75,,,False,False,N4,UEL,EL-GS
2021/22,76,,,False,False,N5,UECL,EL-GS
2021/22,77,,,False,True,N2,UCL,CL-GS
2021/22,78,,,False,False,N6,UECL,ECL-PO
2021/22,79,,,False,False,N3,UECL,ECL-Q1
2021/22,80,,,False,False,N2,UECL,ECL-Q1
2021/22,81,,,True,False,CH,UECL,CL-Q1
2021/22,82,,,False,True,CW,UECL,ECL-Q1
2021/22,83,,,False,False,N6,UEL,EL-GS
2021/22,84,,,True,False,CH,UCL,CL-GS
2021/22,85,,,False,True,N3,UEL,CL-GS
2021/22,86,,,False,False,N5,UEL,EL-GS
2021/22,87,,,False,False,N2,UEL,CL-GS
2021/22,88,,,False,False,N7,UECL,ECL-PO
2021/22,89,,,False,False,N4,UCL,CL-GS
2021/22,90,,,False,False,N2,UECL,ECL-Q1
2021/22,91,,,True,True,CH,UECL,CL-Q1
2021/22,92,,,False,False,N4,UECL,ECL-Q1
2021/22,93,,,False,False,N3,UECL,ECL-Q1
2021/22,94,,,False,False,N4,UECL,ECL-Q2
