season,competition,round,home_team_id,away_team_id,home_team_name,away_team_name,home_goals,away_goals
2022/23,UCL,Preliminary Round,64,106,Levadia Tallinn,Vikingur Reykjavik,1,6
2022/23,UCL,Preliminary Round,186,6,La Fiorita,Inter Club d'Escaldes,1,2
2022/23,UCL,Preliminary Round,6,106,Inter Club d'Escaldes,Vikingur Reykjavik,0,1
2022/23,UCL,1st Qualifying Round,11,182,Pyunik Yerevan,CFR Cluj,0,0
2022/23,UCL,1st Qualifying Round,182,11,CFR Cluj,Pyunik Yerevan,2,2
2022/23,UCL,1st Qualifying Round,204,24,NK Maribor,Shakhtior Saligorsk,0,0
2022/23,UCL,1st Qualifying Round,24,204,Shakhtior Saligorsk,NK Maribor,0,2
2022/23,UCL,1st Qualifying Round,37,154,Ludogorets Razgrad,Sutjeska Niksic,2,0
2022/23,UCL,1st Qualifying Round,154,37,Sutjeska Niksic,Ludogorets Razgrad,0,1
2022/23,UCL,1st Qualifying Round,141,2,F91 Dudelange,KF Tirana,1,0
2022/23,UCL,1st Qualifying Round,2,141,KF Tirana,F91 Dudelange,1,2
2022/23,UCL,1st Qualifying Round,125,101,Tobol Kustanai,Ferencváros,0,0
2022/23,UCL,1st Qualifying Round,101,125,Ferencváros,Tobol Kustanai,5,1
2022/23,UCL,1st Qualifying Round,216,106,Malmö FF,Vikingur Reykjavik,3,2
2022/23,UCL,1st Qualifying Round,106,216,Vikingur Reykjavik,Malmö FF,3,3
2022/23,UCL,1st Qualifying Round,126,138,FC Ballkani,Zalgiris Vilnius,1,1
2022/23,UCL,1st Qualifying Round,138,126,Zalgiris Vilnius,FC Ballkani,1,0
2022/23,UCL,1st Qualifying Round,70,131,HJK Helsinki,RFS Riga,1,0
2022/23,UCL,1st Qualifying Round,131,70,RFS Riga,HJK Helsinki,2,1
2022/23,UCL,1st Qualifying Round,168,68,Bodø/Glimt,KI Klaksvik,3,0
2022/23,UCL,1st Qualifying Round,68,168,KI Klaksvik,Bodø/Glimt,3,1
2022/23,UCL,1st Qualifying Round,233,167,The New Saints,Linfield Belfast,1,0
2022/23,UCL,1st Qualifying Round,167,233,Linfield Belfast,The New Saints,2,0
2022/23,UCL,1st Qualifying Round,108,146,Shamrock Rovers,Hibernians FC,3,0
2022/23,UCL,1st Qualifying Round,146,108,Hibernians FC,Shamrock Rovers,0,0
2022/23,UCL,1st Qualifying Round,172,19,Lech Poznan,Qarabag FK,1,0
2022/23,UCL,1st Qualifying Round,19,172,Qarabag FK,Lech Poznan,5,1
2022/23,UCL,1st Qualifying Round,161,94,FK Shkupi,Lincoln Red Imps,3,0
2022/23,UCL,1st Qualifying Round,94,161,Lincoln Red Imps,FK Shkupi,2,0
2022/23,UCL,1st Qualifying Round,33,150,Zrinjski Mostar,Sheriff Tiraspol,0,0
2022/23,UCL,1st Qualifying Round,150,33,Sheriff Tiraspol,Zrinjski Mostar,1,0
2022/23,UCL,1st Qualifying Round,200,81,Slovan Bratislava,Dinamo Batumi,0,0
2022/23,UCL,1st Qualifying Round,81,200,Dinamo Batumi,Slovan Bratislava,1,2
2022/23,UCL,2nd Qualifying Round,101,200,Ferencváros,Slovan Bratislava,1,2
2022/23,UCL,2nd Qualifying Round,200,101,Slovan Bratislava,Ferencváros,1,4
2022/23,UCL,2nd Qualifying Round,38,161,Dinamo Zagreb,FK Shkupi,2,2
2022/23,UCL,2nd Qualifying Round,161,38,FK Shkupi,Dinamo Zagreb,0,1
2022/23,UCL,2nd Qualifying Round,19,219,Qarabag FK,FC Zürich,3,2
2022/23,UCL,2nd Qualifying Round,219,19,FC Zürich,Qarabag FK,2,2
2022/23,UCL,2nd Qualifying Round,70,50,HJK Helsinki,Viktoria Plzen,1,2
2022/23,UCL,2nd Qualifying Round,50,70,Viktoria Plzen,HJK Helsinki,5,0
2022/23,UCL,2nd Qualifying Round,167,168,Linfield Belfast,Bodø/Glimt,1,0
2022/23,UCL,2nd Qualifying Round,168,167,Bodø/Glimt,Linfield Belfast,8,0
