season,team_id,team_name_source,country_code,club_points_t_minus_4,played_t_minus_4,matches_t_minus_4,match_cap_t_minus_4,club_points_t_minus_3,played_t_minus_3,matches_t_minus_3,match_cap_t_minus_3,club_points_t_minus_2,played_t_minus_2,matches_t_minus_2,match_cap_t_minus_2,club_points_t_minus_1,played_t_minus_1,matches_t_minus_1,match_cap_t_minus_1,club_points_t,played_t,matches_t,match_cap_t,official_club_coefficient,country_part
2023/24,1,Egnatia Rrogozhinë,ALB,0.0,0,0,6,0.0,0,0,6,0.0,0,0,6,0.0,0,0,6,0.0,0,0,6,0.0,0.0
2023/24,2,KF Tirana,ALB,0.0,0,0,6,0.0,0,0,6,2.5,1,3,6,0.0,0,0,6,1.5,1,4,6,4.0,1.25
2023/24,3,Partizani Tirana,ALB,1.0,1,2,6,1.5,1,4,6,0.0,0,0,6,1.5,1,4,6,1.0,1,2,6,5.0,1.25
2023/24,4,Vllaznia Shkodër,ALB,0.0,0,0,6,0.0,0,0,6,0.0,0,0,6,1.5,1,4,6,1.5,1,2,6,3.0,1.25
2023/24,5,Atlètic Club d'Escaldes,AND,0.0,0,0,6,0.0,0,0,6,0.0,0,0,6,0.0,0,0,6,1.0,1,2,6,1.0,1.033
2023/24,6,FC Santa Coloma,AND,1.5,1,3,6,1.5,1,4,6,0.5,1,1,6,1.5,1,4,6,0.0,0,0,6,5.0,1.033
2023/24,7,Inter Club d'Escaldes,AND,0.0,0,0,6,0.0,0,0,6,1.5,1,2,6,1.5,1,4,6,1.5,1,4,6,4.5,1.033
2023/24,8,Alashkert FC,ARM,2.0,1,6,6,1.5,1,4,6,1.0,1,1,6,2.5,1,14,6,1.0,1,2,6,8.0,1.975
2023/24,9,Ararat-Armenia,ARM,0.0,0,0,6,2.5,1,8,6,2.5,1,4,6,0.0,0,0,6,1.5,1,2,6,6.5,1.975
2023/24,10,Pyunik Yerevan,ARM,2.0,1,6,6,2.0,1,6,6,0.0,0,0,6,0.0,0,0,6,4.0,1,14,6,8.0,1.975
2023/24,11,Urartu FC,ARM,1.0,1,2,6,1.0,1,2,6,0.0,0,0,6,1.0,1,2,6,0.0,0,0,6,3.0,1.975
2023/24,12,Austria Wien,AUT,0.0,0,0,6,2.0,1,2,6,0.0,0,0,6,1.5,1,2,6,2.5,1,8,6,6.0,6.8
2023/24,13,FC Salzburg,AUT,16.0,1,14,6,10.0,1,8,6,7.0,1,10,6,17.0,1,10,6,9.0,1,8,6,59.0,6.8
2023/24,14,LASK,AUT,2.0,1,4,6,12.0,1,14,6,7.0,1,8,6,15.0,1,12,6,0.0,0,0,6,36.0,6.8
2023/24,15,Rapid Wien,AUT,7.0,1,12,6,0.0,0,0,6,5.0,1,8,6,4.0,1,14,6,2.5,1,6,6,18.5,6.8
2023/24,16,Sturm Graz,AUT,2.0,1,4,6,1.5,1,2,6,0.0,0,0,6,3.0,1,8,6,6.0,1,8,6,12.5,6.8
2023/24,17,Gabala FK,AZB,1.0,1,2,6,1.5,1,2,6,0.0,0,0,6,0.0,0,0,6,1.5,1,2,6,4.0,3.325
2023/24,18,Neftchi Baku,AZB,1.0,1,2,6,2.0,1,6,6,1.5,1,2,6,2.5,1,8,6,2.0,1,4,6,9.0,3.325
2023/24,19,Qarabag FK,AZB,3.0,1,14,6,4.0,1,14,6,3.0,1,10,6,9.0,1,14,6,6.0,1,16,6,25.0,3.325
2023/24,20,Sabah FK,AZB,0.0,0,0,6,0.0,0,0,6,0.0,0,0,6,0.0,0,0,6,0.0,0,0,6,0.0,0.0
2023/24,21,BATE Borisov,BLS,8.0,1,14,6,2.5,1,8,6,1.5,1,1,6,1.5,1,2,6,1.5,1,2,6,15.0,1.975
2023/24,22,Dinamo Minsk,BLS,2.0,1,6,6,1.0,1,2,6,1.0,1,1,6,0.0,0,0,6,1.5,1,4,6,5.5,1.975
2023/24,23,Neman Grodno,BLS,0.0,0,0,6,0.0,0,0,6,0.0,0,0,6,0.0,0,0,6,0.0,0,0,6,0.0,0.0
2023/24,24,Torpedo Zhodino,BLS,0.0,0,0,6,0.0,0,0,6,0.0,0,0,6,1.5,1,2,6,0.0,0,0,6,1.5,1.975
2023/24,25,AA Gent,BEL,2.5,1,4,6,10.0,1,14,6,3.0,1,9,6,11.0,1,14,6,11.0,1,14,6,37.5,8.44
2023/24,26,Club Brugge,BEL,11.0,1,8,6,8.0,1,12,6,11.0,1,8,6,7.0,1,6,6,17.0,1,8,6,54.0,8.44
2023/24,27,Racing Genk,BEL,9.0,1,14,6,5.0,1,6,6,0.0,0,0,6,4.0,1,8,6,0.0,0,0,6,18.0,8.44
