season,team_id,domestic_position,league_team_count,is_league_champion,is_cup_winner,european_entry_type,competition,entry_round
2019/20,1,2.0,10,False,True,CW,UEL,eu/Q1
2019/20,2,6.0,10,False,False,EL3,UEL,eu/Q1
2019/20,3,1.0,10,True,False,CL,UEL,ch/Q1
2019/20,4,3.0,10,False,False,EL2,UEL,eu/Q1
2019/20,5,1.0,8,True,False,CL,UEL,ch/P
2019/20,6,1.0,8,False,False,EL2,UEL,eu/P
2019/20,7,4.0,8,False,True,CW,UEL,eu/P
2019/20,8,4.0,9,False,True,CW,UEL,eu/Q1
2019/20,9,1.0,9,True,False,CL,UEL,ch/Q1
2019/20,10,2.0,9,False,False,EL2,UEL,eu/Q1
2019/20,11,3.0,9,False,False,EL3,UEL,eu/Q1
2019/20,12,5.0,12,False,False,EL2,UEL,eu/Q3
2019/20,13,1.0,12,True,False,CL1,UEL,ch/GS
2019/20,14,2.0,12,False,False,CL2,UEL,nc/Q3
2019/20,15,3.0,12,False,False,EL3,UEL,eu/Q2
2019/20,16,4.0,12,False,False,EL1,UEL,eu/GS
2019/20,17,4.0,8,False,True,CW,UEL,eu/Q2
2019/20,18,2.0,8,False,False,EL2,UEL,eu/Q1
2019/20,19,1.0,8,False,False,Historical participant,UEL,UEL
2019/20,20,3.0,8,False,False,EL3,UEL,eu/Q1
2019/20,21,1.0,16,True,False,CL,UEL,ch/Q1
2019/20,22,3.0,16,False,False,EL2,UEL,eu/Q1
2019/20,23,4.0,16,False,False,EL3,UEL,eu/Q1
2019/20,24,2.0,16,False,True,CW,UEL,eu/Q1
2019/20,25,5.0,16,False,False,EL3,UEL,eu/Q2
2019/20,26,2.0,16,False,False,CL2,UEL,nc/Q3
2019/20,27,1.0,16,True,False,CL1,UCL,ch/GS
2019/20,28,6.0,16,False,False,EL2,UEL,eu/Q3
2019/20,29,3.0,16,False,False,EL1,UEL,eu/GS
2019/20,30,1.0,12,True,False,CL,UEL,ch/Q1
2019/20,31,5.0,12,False,False,EL3,UEL,eu/Q1
2019/20,32,3.0,12,False,False,EL2,UEL,eu/Q1
2019/20,33,2.0,12,False,False,EL1,UEL,eu/Q1
2019/20,34,2.0,14,False,False,EL2,UEL,eu/Q1
2019/20,35,3.0,14,False,False,EL3,UEL,eu/Q1
2019/20,36,8.0,14,False,True,CW,UEL,eu/Q2
2019/20,37,1.0,14,True,False,CL,UEL,ch/Q1
2019/20,38,1.0,10,True,False,CL,UCL,ch/Q2
2019/20,39,4.0,10,False,False,EL3,UEL,eu/Q1
2019/20,40,3.0,10,False,False,EL2,UEL,eu/Q2
2019/20,41,2.0,10,False,True,CW,UEL,eu/Q3
2019/20,42,4.0,12,False,False,EL2,UEL,eu/Q1
2019/20,43,3.0,12,False,True,CW,UEL,eu/Q2
2019/20,44,1.0,12,True,False,CL,UEL,ch/Q2
2019/20,45,2.0,12,False,False,EL3,UEL,eu/Q1
2019/20,46,4.0,16,False,False,EL2,UEL,eu/Q2
2019/20,47,7.0,16,False,False,EL3,UEL,eu/Q2
2019/20,48,1.0,16,True,False,CL1,UCL,ch/PO
2019/20,49,3.0,16,False,False,EL1,UEL,eu/Q3
2019/20,50,2.0,16,False,False,CL2,UEL,nc/Q2
2019/20,51,4.0,14,False,False,EL3,UEL,eu/Q1
2019/20,52,5.0,14,False,False,EL2,UEL,eu/Q2
2019/20,53,1.0,14,True,False,CL,UEL,ch/Q2
2019/20,54,1.0,14,False,True,CW,UEL,eu/Q3
2019/20,55,5.0,20,False,False,EL1,UEL,eu/GS
2019/20,56,3.0,20,False,False,EL-TH,UCL,ch/GS
2019/20,57,2.0,20,False,False,CL-TH,UCL,ch/GS
2019/20,58,1.0,20,True,False,CL1,UCL,ch/GS
2019/20,59,6.0,20,False,False,EL2,UEL,eu/GS
2019/20,60,4.0,20,False,False,CL4,UCL,ch/GS
2019/20,61,7.0,20,False,False,EL3,UEL,eu/Q2
2019/20,62,3.0,10,False,False,EL3,UEL,eu/Q1
2019/20,63,1.0,10,True,False,CL,UEL,ch/Q1
2019/20,64,2.0,10,False,False,EL2,UEL,eu/Q1
2019/20,65,4.0,10,False,True,CW,UEL,eu/Q1
2019/20,66,3.0,10,False,True,CW,UEL,eu/Q1
2019/20,67,1.0,10,True,False,CL,UEL,ch/Q1
2019/20,68,4.0,10,False,False,EL3,UEL,eu/P
2019/20,69,2.0,10,False,False,EL2,UEL,eu/P
2019/20,70,1.0,12,True,False,CL,UEL,ch/Q1
2019/20,71,7.0,12,False,True,CW,UEL,eu/Q1
2019/20,72,3.0,12,False,False,EL3,UEL,eu/Q1
2019/20,73,2.0,12,False,False,EL2,UEL,eu/Q1
2019/20,74,4.0,20,False,False,EL2,UEL,eu/GS
2019/20,75,2.0,20,False,False,CL2,UCL,ch/GS
2019/20,76,3.0,20,False,False,CL3,UCL,ch/GS
2019/20,77,1.0,20,True,False,CL1,UCL,ch/GS
