season,competition,round,home_team_id,away_team_id,home_team_name,away_team_name,home_goals,away_goals
2021/22,UCL,Preliminary Round,189,126,Folgore,FC Prishtina,0,2
2021/22,UCL,Preliminary Round,66,6,HB Torshavn,Inter Club d'Escaldes,0,1
2021/22,UCL,Preliminary Round,126,6,FC Prishtina,Inter Club d'Escaldes,2,0
2021/22,UCL,1st Qualifying Round,137,91,CS Fola Esch,Lincoln Red Imps,2,2
2021/22,UCL,1st Qualifying Round,91,137,Lincoln Red Imps,CS Fola Esch,5,0
2021/22,UCL,1st Qualifying Round,203,108,Slovan Bratislava,Shamrock Rovers,2,0
2021/22,UCL,1st Qualifying Round,108,203,Shamrock Rovers,Slovan Bratislava,2,1
2021/22,UCL,1st Qualifying Round,219,130,Malmö FF,Riga FC,1,0
2021/22,UCL,1st Qualifying Round,130,219,Riga FC,Malmö FF,1,1
2021/22,UCL,1st Qualifying Round,166,170,Bodø/Glimt,Legia Warsaw,2,3
2021/22,UCL,1st Qualifying Round,170,166,Legia Warsaw,Bodø/Glimt,2,0
2021/22,UCL,1st Qualifying Round,235,8,Connah's Quay,Alashkert FC,2,2
2021/22,UCL,1st Qualifying Round,8,235,Alashkert FC,Connah's Quay,1,0
2021/22,UCL,1st Qualifying Round,69,149,HJK Helsinki,Buducnost Podgorica,3,1
2021/22,UCL,1st Qualifying Round,149,69,Buducnost Podgorica,HJK Helsinki,0,4
2021/22,UCL,1st Qualifying Round,180,30,CFR Cluj,Borac Banja Luka,3,1
2021/22,UCL,1st Qualifying Round,30,180,Borac Banja Luka,CFR Cluj,2,1
2021/22,UCL,1st Qualifying Round,160,205,Shkendija Tetovo,Mura Murska Sobota,0,1
2021/22,UCL,1st Qualifying Round,205,160,Mura Murska Sobota,Shkendija Tetovo,5,0
2021/22,UCL,1st Qualifying Round,3,148,Teuta Durrës,Sheriff Tiraspol,0,4
2021/22,UCL,1st Qualifying Round,148,3,Sheriff Tiraspol,Teuta Durrës,1,0
2021/22,UCL,1st Qualifying Round,81,18,Dinamo Tbilisi,Neftchi Baku,1,2
2021/22,UCL,1st Qualifying Round,18,81,Neftchi Baku,Dinamo Tbilisi,2,1
2021/22,UCL,1st Qualifying Round,112,122,Maccabi Haifa,Kairat Almaty,1,1
2021/22,UCL,1st Qualifying Round,122,112,Kairat Almaty,Maccabi Haifa,2,0
2021/22,UCL,1st Qualifying Round,37,23,Ludogorets Razgrad,Shakhtior Saligorsk,1,0
2021/22,UCL,1st Qualifying Round,23,37,Shakhtior Saligorsk,Ludogorets Razgrad,0,1
2021/22,UCL,1st Qualifying Round,99,126,Ferencváros,FC Prishtina,3,0
2021/22,UCL,1st Qualifying Round,126,99,FC Prishtina,Ferencváros,1,3
2021/22,UCL,1st Qualifying Round,136,165,Zalgiris Vilnius,Linfield Belfast,3,1
2021/22,UCL,1st Qualifying Round,165,136,Linfield Belfast,Zalgiris Vilnius,1,2
2021/22,UCL,1st Qualifying Round,63,143,Flora Tallinn,Hibernians FC,2,0
2021/22,UCL,1st Qualifying Round,143,63,Hibernians FC,Flora Tallinn,0,3
2021/22,UCL,1st Qualifying Round,38,105,Dinamo Zagreb,Valur Reykjavik,3,2
2021/22,UCL,1st Qualifying Round,105,38,Valur Reykjavik,Dinamo Zagreb,0,2
2021/22,UCL,2nd Qualifying Round,38,45,Dinamo Zagreb,Omonia Nicosia,2,0
2021/22,UCL,2nd Qualifying Round,45,38,Omonia Nicosia,Dinamo Zagreb,0,1
2021/22,UCL,2nd Qualifying Round,203,223,Slovan Bratislava,Young Boys,0,0
2021/22,UCL,2nd Qualifying Round,223,203,Young Boys,Slovan Bratislava,3,2
2021/22,UCL,2nd Qualifying Round,170,63,Legia Warsaw,Flora Tallinn,2,1
2021/22,UCL,2nd Qualifying Round,63,170,Flora Tallinn,Legia Warsaw,0,1
2021/22,UCL,2nd Qualifying Round,8,148,Alashkert FC,Sheriff Tiraspol,0,1
2021/22,UCL,2nd Qualifying Round,148,8,Sheriff Tiraspol,Alashkert FC,3,1
2021/22,UCL,2nd Qualifying Round,96,18,Olympiakos Piraeus,Neftchi Baku,1,0
2021/22,UCL,2nd Qualifying Round,18,96,Neftchi Baku,Olympiakos Piraeus,0,1
2021/22,UCL,2nd Qualifying Round,122,199,Kairat Almaty,Red Star Belgrade,2,1
2021/22,UCL,2nd Qualifying Round,199,122,Red Star Belgrade,Kairat Almaty,5,0
2021/22,UCL,2nd Qualifying Round,91,180,Lincoln Red Imps,CFR Cluj,1,2
2021/22,UCL,2nd Qualifying Round,180,91,CFR Cluj,Lincoln Red Imps,2,0
2021/22,UCL,2nd Qualifying Round,219,69,Malmö FF,HJK Helsinki,2,1
2021/22,UCL,2nd Qualifying Round,69,219,HJK Helsinki,Malmö FF,2,2
2021/22,UCL,2nd Qualifying Round,99,136,Ferencváros,Zalgiris Vilnius,2,0
2021/22,UCL,2nd Qualifying Round,136,99,Zalgiris Vilnius,Ferencváros,1,3
2021/22,UCL,2nd Qualifying Round,205,37,Mura Murska Sobota,Ludogorets Razgrad,0,0
2021/22,UCL,2nd Qualifying Round,37,205,Ludogorets Razgrad,Mura Murska Sobota,3,1
2021/22,UCL,2nd Qualifying Round,15,49,Rapid Wien,Sparta Praha,2,1
2021/22,UCL,2nd Qualifying Round,49,15,Sparta Praha,Rapid Wien,2,0
2021/22,UCL,2nd Qualifying Round,193,54,Celtic,FC Midtjylland,1,1
2021/22,UCL,2nd Qualifying Round,54,193,FC Midtjylland,Celtic,2,1
2021/22,UCL,2nd Qualifying Round,156,226,PSV Eindhoven,Galatasaray,5,1
2021/22,UCL,2nd Qualifying Round,226,156,Galatasaray,PSV Eindhoven,1,2
2021/22,UCL,3rd Qualifying Round,96,37,Olympiakos Piraeus,Ludogorets Razgrad,1,1
2021/22,UCL,3rd Qualifying Round,37,96,Ludogorets Razgrad,Olympiakos Piraeus,2,2
2021/22,UCL,3rd Qualifying Round,219,194,Malmö FF,Glasgow Rangers,2,1
2021/22,UCL,3rd Qualifying Round,194,219,Glasgow Rangers,Malmö FF,1,2
2021/22,UCL,3rd Qualifying Round,38,170,Dinamo Zagreb,Legia Warsaw,1,1
2021/22,UCL,3rd Qualifying Round,170,38,Legia Warsaw,Dinamo Zagreb,0,1
2021/22,UCL,3rd Qualifying Round,180,223,CFR Cluj,Young Boys,1,1
2021/22,UCL,3rd Qualifying Round,223,180,Young Boys,CFR Cluj,3,1
2021/22,UCL,3rd Qualifying Round,199,148,Red Star Belgrade,Sheriff Tiraspol,1,1
2021/22,UCL,3rd Qualifying Round,148,199,Sheriff Tiraspol,Red Star Belgrade,1,0
2021/22,UCL,3rd Qualifying Round,99,48,Ferencváros,Slavia Praha,2,0
