season,team_id,team_name_source,country_code,club_points_t_minus_4,played_t_minus_4,matches_t_minus_4,match_cap_t_minus_4,club_points_t_minus_3,played_t_minus_3,matches_t_minus_3,match_cap_t_minus_3,club_points_t_minus_2,played_t_minus_2,matches_t_minus_2,match_cap_t_minus_2,club_points_t_minus_1,played_t_minus_1,matches_t_minus_1,match_cap_t_minus_1,club_points_t,played_t,matches_t,match_cap_t,official_club_coefficient,country_part
2022/23,1,KF Laçi,ALB,0.0,0,0,6,1.5,1,4,6,1.0,1,2,6,1.5,1,2,6,2.0,1,6,6,6.0,1.6
2022/23,2,KF Tirana,ALB,0.25,1,2,6,0.0,0,0,6,0.0,0,0,6,2.5,1,3,6,0.0,0,0,6,2.75,1.6
2022/23,3,Partizani Tirana,ALB,0.25,1,2,6,1.0,1,2,6,1.5,1,4,6,0.0,0,0,6,1.5,1,4,6,4.25,1.6
2022/23,4,Vllaznia Shkodër,ALB,0.0,0,0,6,0.0,0,0,6,0.0,0,0,6,0.0,0,0,6,1.5,1,4,6,1.5,1.6
2022/23,5,Atlètic Club d'Escaldes,AND,0.0,0,0,6,0.0,0,0,6,0.0,0,0,6,0.0,0,0,6,0.0,0,0,6,0.0,0.0
2022/23,6,Inter Club d'Escaldes,AND,0.0,0,0,6,0.0,0,0,6,0.0,0,0,6,1.5,1,2,6,1.5,1,4,6,3.0,0.933
2022/23,7,UE Santa Coloma,AND,0.25,1,2,6,0.0,0,0,6,0.0,0,0,6,0.0,0,0,6,0.0,0,0,6,0.25,0.933
2022/23,8,Alashkert FC,ARM,1.0,1,4,6,2.0,1,6,6,1.5,1,4,6,1.0,1,1,6,2.5,1,14,6,8.0,1.625
2022/23,9,Ararat Yerevan,ARM,0.0,0,0,6,0.0,0,0,6,0.0,0,0,6,0.0,0,0,6,1.5,1,4,6,1.5,1.625
2022/23,10,Ararat-Armenia,ARM,0.0,0,0,6,0.0,0,0,6,2.5,1,8,6,2.5,1,4,6,0.0,0,0,6,5.0,1.625
2022/23,11,Pyunik Yerevan,ARM,0.25,1,2,6,2.0,1,6,6,2.0,1,6,6,0.0,0,0,6,0.0,0,0,6,4.25,1.625
2022/23,12,Austria Wien,AUT,4.0,1,10,6,0.0,0,0,6,2.0,1,2,6,0.0,0,0,6,1.5,1,2,6,7.5,7.77
2022/23,13,FC Salzburg,AUT,21.0,1,20,6,16.0,1,14,6,10.0,1,8,6,7.0,1,10,6,17.0,1,10,6,71.0,7.77
2022/23,14,Rapid Wien,AUT,0.0,0,0,6,7.0,1,12,6,0.0,0,0,6,5.0,1,8,6,4.0,1,14,6,16.0,7.77
2022/23,15,Sturm Graz,AUT,1.0,1,4,6,2.0,1,4,6,1.5,1,2,6,0.0,0,0,6,3.0,1,8,6,7.5,7.77
2022/23,16,Wolfsberger AC,AUT,0.0,0,0,6,0.0,0,0,6,4.0,1,6,6,7.0,1,8,6,0.0,0,0,6,11.0,7.77
2022/23,17,Gabala FK,AZB,1.0,1,4,6,1.0,1,2,6,1.5,1,2,6,0.0,0,0,6,0.0,0,0,6,3.5,3.4
2022/23,18,Neftchi Baku,AZB,0.0,0,0,6,1.0,1,2,6,2.0,1,6,6,1.5,1,2,6,2.5,1,8,6,7.0,3.4
2022/23,19,Qarabag FK,AZB,6.0,1,12,6,3.0,1,14,6,4.0,1,14,6,3.0,1,10,6,9.0,1,14,6,25.0,3.4
