season,country,country_code,points_t_minus_4,points_t_minus_3,points_t_minus_2,points_t_minus_1,points_t,official_five_year_total,official_country_rank
2022/23,Albania,ALB,2.625,1.0,0.75,2.0,1.625,8.0,43
2022/23,Andorra,AND,0.166,0.833,1.5,0.666,1.5,4.665,54
2022/23,Armenia,ARM,0.625,1.5,2.75,1.375,1.875,8.125,41
2022/23,Austria,AUT,9.75,6.2,5.8,6.7,10.4,38.85,8
2022/23,Azerbaijan,AZB,4.375,2.375,3.375,2.5,4.375,17.0,26
2022/23,Belarus,BLS,3.25,5.0,2.5,1.5,0.25,12.5,32
2022/23,Belgium,BEL,2.6,7.8,7.6,6.0,6.6,30.6,13
2022/23,Bosnia-Herzegovina,BOS,1.375,2.0,1.5,2.625,1.625,9.125,35
2022/23,Bulgaria,BUL,4.0,4.0,4.125,4.0,3.375,19.5,24
2022/23,Croatia,CRO,5.125,5.75,4.375,5.9,6.0,27.15,19
2022/23,Cyprus,CYP,7.0,6.125,5.125,4.0,4.125,26.375,21
2022/23,Czechia,CZE,5.5,6.5,2.5,6.6,6.7,27.8,16
2022/23,Denmark,DEN,5.25,4.875,5.125,4.125,7.8,27.175,18
2022/23,England,ENG,20.071,22.642,18.571,24.357,21.0,106.641,1
2022/23,Estonia,EST,0.625,0.5,0.875,1.375,3.666,7.041,45
2022/23,Faroe Islands,FAR,0.75,1.125,1.125,2.75,1.5,7.25,44
2022/23,Finland,FIN,1.25,0.875,1.625,1.375,3.75,8.875,36
2022/23,France,FRA,11.5,10.583,11.666,7.916,18.416,60.081,5
2022/23,Georgia,GEO,0.125,1.625,2.25,1.75,1.25,7.0,47
2022/23,Germany,GER,9.857,15.214,18.714,15.214,16.214,75.213,4
2022/23,Gibraltar,GIB,0.5,1.0,1.0,1.666,1.25,5.416,51
2022/23,Greece,GRE,5.1,5.1,4.9,5.1,8.0,28.2,15
2022/23,Hungary,HUN,1.625,3.25,4.5,4.25,2.75,16.375,27
2022/23,Iceland,ISL,1.125,1.5,0.625,0.625,1.5,5.375,52
2022/23,Ireland,IRL,1.125,1.0,1.25,1.875,2.875,8.125,40
2022/23,Israel,ISR,5.625,2.625,2.375,7.0,6.75,24.375,22
2022/23,Italy,ITA,17.333,12.642,14.928,16.285,15.714,76.902,3
2022/23,Kazakhstan,KAZ,4.25,4.25,3.375,1.0,2.875,15.75,29
2022/23,Kosovo,KOS,0.0,2.5,1.5,1.833,2.333,8.166,39
2022/23,Latvia,LAT,0.75,1.625,2.25,1.375,2.625,8.625,38
2022/23,Liechtenstein,LIE,2.0,1.5,2.5,0.5,0.0,6.5,49
2022/23,Lithuania,LIT,2.375,2.625,1.625,1.625,1.75,10.0,34
2022/23,Luxembourg,LUX,0.875,2.625,3.0,1.0,1.25,8.75,37
2022/23,Malta,MLT,1.375,1.5,0.75,1.5,1.875,7.0,46
2022/23,Moldova,MOL,2.75,1.125,0.75,1.375,5.25,11.25,33
2022/23,Montenegro,MON,1.125,0.375,1.0,1.625,0.75,4.875,53
2022/23,Netherlands,NED,2.9,8.6,9.4,9.2,19.2,49.3,7
2022/23,North Macedonia,MAC,3.125,1.0,0.5,1.75,0.625,7.0,48
2022/23,Northern Ireland,NIR,0.75,0.5,2.375,2.833,1.625,8.083,42
2022/23,Norway,NOR,4.0,5.375,3.75,6.5,7.625,27.25,17
2022/23,Poland,POL,2.875,2.25,2.125,4.0,4.625,15.875,28
2022/23,Portugal,POR,9.666,10.9,10.3,9.6,12.916,53.382,6
2022/23,Romania,ROM,2.9,2.375,5.875,3.75,2.25,17.15,25
2022/23,San Marino,SMA,0.166,0.5,0.0,0.5,0.166,1.332,55
2022/23,Scotland,SCO,4.0,6.75,9.75,8.5,7.9,36.9,9
2022/23,Serbia,SRB,6.375,6.0,6.0,5.5,9.5,33.375,11
2022/23,Slovakia,SVK,1.875,5.125,3.0,1.5,4.125,15.625,30
2022/23,Slovenia,SLO,4.625,3.125,2.0,2.25,3.0,15.0,31
2022/23,Spain,ESP,19.714,19.571,18.928,19.5,18.428,96.141,2
2022/23,Sweden,SWE,5.375,4.125,5.75,2.5,5.125,22.875,23
2022/23,Switzerland,SUI,6.5,3.9,6.4,5.125,7.75,29.675,14
2022/23,Türkiye,TUR,6.8,5.5,5.0,3.1,6.7,27.1,20
2022/23,Ukraine,UKR,8.0,5.6,7.2,6.8,4.2,31.8,12
2022/23,Wales,WAL,0.5,1.0,1.0,1.5,1.5,5.5,50
