team_id,team_name,country,country_code,domestic_league
1,Egnatia Rrogozhinë,Albania,ALB,Historical domestic league
2,KF Tirana,Albania,ALB,Historical domestic league
3,Partizani Tirana,Albania,ALB,Historical domestic league
4,Vllaznia Shkodër,Albania,ALB,Historical domestic league
5,Atlètic Club d'Escaldes,Andorra,AND,Historical domestic league
6,FC Santa Coloma,Andorra,AND,Historical domestic league
7,Inter Club d'Escaldes,Andorra,AND,Historical domestic league
8,Alashkert FC,Armenia,ARM,Historical domestic league
9,Ararat-Armenia,Armenia,ARM,Historical domestic league
10,Pyunik Yerevan,Armenia,ARM,Historical domestic league
11,Urartu FC,Armenia,ARM,Historical domestic league
12,Austria Wien,Austria,AUT,Historical domestic league
13,FC Salzburg,Austria,AUT,Historical domestic league
14,LASK,Austria,AUT,Historical domestic league
15,Rapid Wien,Austria,AUT,Historical domestic league
16,Sturm Graz,Austria,AUT,Historical domestic league
17,Gabala FK,Azerbaijan,AZB,Historical domestic league
18,Neftchi Baku,Azerbaijan,AZB,Historical domestic league
19,Qarabag FK,Azerbaijan,AZB,Historical domestic league
20,Sabah FK,Azerbaijan,AZB,Historical domestic league
21,BATE Borisov,Belarus,BLS,Historical domestic league
22,Dinamo Minsk,Belarus,BLS,Historical domestic league
23,Neman Grodno,Belarus,BLS,Historical domestic league
24,Torpedo Zhodino,Belarus,BLS,Historical domestic league
25,AA Gent,Belgium,BEL,Historical domestic league
26,Club Brugge,Belgium,BEL,Historical domestic league
27,Racing Genk,Belgium,BEL,Historical domestic league
28,Royal Antwerp,Belgium,BEL,Historical domestic league
29,Union Saint-Gilloise,Belgium,BEL,Historical domestic league
30,Borac Banja Luka,Bosnia-Herzegovina,BOS,Historical domestic league
31,FK Sarajevo,Bosnia-Herzegovina,BOS,Historical domestic league
32,Zeljeznicar Sarajevo,Bosnia-Herzegovina,BOS,Historical domestic league
33,Zrinjski Mostar,Bosnia-Herzegovina,BOS,Historical domestic league
34,CSKA 1948 Sofia,Bulgaria,BUL,Historical domestic league
