season,team_id,domestic_position,league_team_count,is_league_champion,is_cup_winner,european_entry_type,competition,entry_round,domestic_position_source
2021/22,1,4.0,10,False,False,N4,UECL,ECL-Q1,qualification_route
2021/22,2,3.0,10,False,False,N3,UECL,ECL-Q1,qualification_route
2021/22,3,1.0,10,True,False,CH,UECL,CL-Q1,qualification_champion
2021/22,4,2.0,10,False,True,CW,UECL,ECL-Q1,league_table_substring
2021/22,5,3.0,8,False,False,N3,UECL,ECL-Q1,qualification_route
2021/22,6,1.0,8,True,False,CH,UECL,CL-PR,qualification_champion
2021/22,7,3.0,8,False,True,CW,UECL,ECL-Q1,league_table_exact
2021/22,8,1.0,10,True,False,CH,UECL,CL-Q1,qualification_champion
2021/22,9,3.0,10,False,True,CW,UECL,ECL-Q1,league_table_exact
2021/22,10,2.0,10,False,False,N2,UECL,ECL-Q1,qualification_route
2021/22,11,3.0,10,False,False,N3,UECL,ECL-Q1,qualification_route
2021/22,12,5.0,12,False,False,N5,UECL,ECL-Q2,qualification_route
2021/22,13,1.0,12,True,True,CH,UCL,CL-PO,qualification_champion
2021/22,14,4.0,12,False,False,N4,UECL,ECL-Q3,qualification_route
2021/22,15,2.0,12,False,False,N2,UECL,CL-Q2nc,qualification_route
2021/22,16,3.0,12,False,False,N3,UEL,EL-PO,qualification_route
2021/22,17,6.0,8,False,True,CW,UECL,ECL-Q2,league_table_substring
2021/22,18,1.0,8,True,False,CH,UECL,CL-Q1,qualification_champion
2021/22,19,2.0,8,False,False,N2,UECL,ECL-Q2,qualification_route
2021/22,20,3.0,8,False,False,N3,UECL,ECL-Q2,qualification_route
2021/22,21,2.0,16,False,True,CW,UECL,ECL-Q2,league_table_exact
2021/22,22,4.0,16,False,False,N4,UECL,ECL-Q2,qualification_route
2021/22,23,1.0,16,True,False,CH,UECL,CL-Q1,qualification_champion
2021/22,24,3.0,16,False,False,N3,UECL,ECL-Q2,qualification_route
2021/22,25,5.0,18,False,False,N5,UECL,ECL-Q2,qualification_route
2021/22,26,4.0,18,False,False,N4,UECL,ECL-Q3,qualification_route
2021/22,27,1.0,18,True,False,CH,UCL,CL-GS,qualification_champion
2021/22,28,2.0,18,False,True,N2,UEL,CL-Q3nc,qualification_route
2021/22,29,3.0,18,False,False,N3,UEL,EL-PO,qualification_route
2021/22,30,1.0,12,False,False,Historical participant,UECL,UECL,league_table_exact
2021/22,31,2.0,12,False,True,CW,UECL,ECL-Q1,league_table_substring
2021/22,32,4.0,12,False,False,N4,UECL,ECL-Q1,qualification_route
2021/22,33,3.0,12,False,False,N3,UECL,ECL-Q1,qualification_route
2021/22,34,4.0,14,False,False,N4,UECL,ECL-Q2,qualification_route
2021/22,35,3.0,14,False,True,CW,UECL,ECL-Q2,league_table_exact
2021/22,36,2.0,14,False,False,N2,UECL,ECL-Q2,qualification_route
2021/22,37,1.0,14,True,False,CH,UEL,CL-Q1,qualification_champion
2021/22,38,1.0,10,True,True,CH,UEL,CL-Q1,qualification_champion
2021/22,39,4.0,10,False,False,N4,UECL,ECL-Q2,qualification_route
2021/22,40,2.0,10,False,False,N2,UECL,ECL-Q2,qualification_route
2021/22,41,3.0,10,False,False,N3,UECL,ECL-Q2,qualification_route
2021/22,42,3.0,14,False,False,N3,UECL,ECL-Q2,qualification_route
