season,country,check,status,detail
2021/22,Albania,league_team_count_plausible,PASS,10
2021/22,Albania,participant_position_coverage,PASS,all=4/4; required=3/3
2021/22,Andorra,league_team_count_plausible,PASS,8
2021/22,Andorra,participant_position_coverage,PASS,all=3/3; required=2/2
2021/22,Armenia,league_team_count_plausible,PASS,10
2021/22,Armenia,participant_position_coverage,PASS,all=4/4; required=3/3
2021/22,Austria,league_team_count_plausible,PASS,12
2021/22,Austria,participant_position_coverage,PASS,all=5/5; required=4/4
2021/22,Azerbaijan,league_team_count_plausible,PASS,8
2021/22,Azerbaijan,participant_position_coverage,PASS,all=4/4; required=3/3
2021/22,Belarus,league_team_count_plausible,PASS,16
2021/22,Belarus,participant_position_coverage,PASS,all=4/4; required=3/3
2021/22,Belgium,league_team_count_plausible,PASS,18
2021/22,Belgium,participant_position_coverage,PASS,all=5/5; required=4/4
2021/22,Bosnia-Herzegovina,league_team_count_plausible,PASS,12
2021/22,Bosnia-Herzegovina,participant_position_coverage,PASS,all=4/4; required=3/3
2021/22,Bulgaria,league_team_count_plausible,PASS,14
2021/22,Bulgaria,participant_position_coverage,PASS,all=4/4; required=3/3
2021/22,Croatia,league_team_count_plausible,PASS,10
2021/22,Croatia,participant_position_coverage,PASS,all=4/4; required=3/3
2021/22,Cyprus,league_team_count_plausible,PASS,14
2021/22,Cyprus,participant_position_coverage,PASS,all=4/4; required=3/3
2021/22,Czechia,league_team_count_plausible,PASS,18
2021/22,Czechia,participant_position_coverage,PASS,all=5/5; required=4/4
2021/22,Denmark,league_team_count_plausible,PASS,12
2021/22,Denmark,participant_position_coverage,PASS,all=5/5; required=4/4
2021/22,England,league_team_count_plausible,PASS,20
2021/22,England,participant_position_coverage,PASS,all=7/7; required=5/5
2021/22,Estonia,league_team_count_plausible,PASS,10
2021/22,Estonia,participant_position_coverage,PASS,all=2/3; required=2/2
2021/22,Faroe Islands,league_team_count_plausible,PASS,10
2021/22,Faroe Islands,participant_position_coverage,PASS,all=3/3; required=3/3
2021/22,Finland,league_team_count_plausible,PASS,12
2021/22,Finland,participant_position_coverage,PASS,all=4/4; required=4/4
2021/22,France,league_team_count_plausible,PASS,20
2021/22,France,participant_position_coverage,PASS,all=6/6; required=5/5
2021/22,Georgia,league_team_count_plausible,PASS,10
2021/22,Georgia,participant_position_coverage,PASS,all=3/4; required=3/3
2021/22,Germany,league_team_count_plausible,PASS,18
2021/22,Germany,participant_position_coverage,PASS,all=7/7; required=6/6
2021/22,Gibraltar,league_team_count_plausible,PASS,12
2021/22,Gibraltar,participant_position_coverage,PASS,all=4/4; required=3/3
2021/22,Greece,league_team_count_plausible,PASS,14
2021/22,Greece,participant_position_coverage,PASS,all=4/4; required=3/3
2021/22,Hungary,league_team_count_plausible,PASS,12
2021/22,Hungary,participant_position_coverage,PASS,all=4/4; required=3/3
2021/22,Iceland,league_team_count_plausible,PASS,12
2021/22,Iceland,participant_position_coverage,PASS,all=4/4; required=4/4
2021/22,Ireland,league_team_count_plausible,PASS,10
2021/22,Ireland,participant_position_coverage,PASS,all=4/4; required=3/3
2021/22,Israel,league_team_count_plausible,PASS,14
2021/22,Israel,participant_position_coverage,PASS,all=4/4; required=3/3
2021/22,Italy,league_team_count_plausible,PASS,20
2021/22,Italy,participant_position_coverage,PASS,all=7/7; required=6/6
2021/22,Kazakhstan,league_team_count_plausible,PASS,12
2021/22,Kazakhstan,participant_position_coverage,PASS,all=4/4; required=4/4
2021/22,Kosovo,league_team_count_plausible,PASS,10
2021/22,Kosovo,participant_position_coverage,PASS,all=3/3; required=2/2
2021/22,Latvia,league_team_count_plausible,PASS,10
2021/22,Latvia,participant_position_coverage,PASS,all=4/4; required=3/3
2021/22,Liechtenstein,league_table_read,PASS,ValueError; optional_cup_only=True
2021/22,Lithuania,league_team_count_plausible,PASS,6
2021/22,Lithuania,participant_position_coverage,PASS,all=4/4; required=3/3
2021/22,Luxembourg,league_team_count_plausible,PASS,16
2021/22,Luxembourg,participant_position_coverage,PASS,all=4/4; required=4/4
2021/22,Malta,league_team_count_plausible,PASS,16
2021/22,Malta,participant_position_coverage,PASS,all=4/4; required=4/4
2021/22,Moldova,league_team_count_plausible,PASS,10
2021/22,Moldova,participant_position_coverage,PASS,all=4/4; required=3/3
2021/22,Montenegro,league_team_count_plausible,PASS,10
2021/22,Montenegro,participant_position_coverage,PASS,all=4/4; required=3/3
2021/22,Netherlands,league_team_count_plausible,PASS,18
2021/22,Netherlands,participant_position_coverage,PASS,all=5/5; required=4/4
2021/22,North Macedonia,league_team_count_plausible,PASS,12
2021/22,North Macedonia,participant_position_coverage,PASS,all=4/4; required=3/3
2021/22,Northern Ireland,league_team_count_plausible,PASS,12
2021/22,Northern Ireland,participant_position_coverage,PASS,all=4/4; required=3/3
2021/22,Norway,league_team_count_plausible,PASS,16
2021/22,Norway,participant_position_coverage,PASS,all=4/4; required=4/4
2021/22,Poland,league_team_count_plausible,PASS,16
2021/22,Poland,participant_position_coverage,PASS,all=4/4; required=3/3
2021/22,Portugal,league_team_count_plausible,PASS,18
2021/22,Portugal,participant_position_coverage,PASS,all=6/6; required=5/5
2021/22,Romania,league_team_count_plausible,PASS,16
2021/22,Romania,participant_position_coverage,PASS,all=4/4; required=3/3
2021/22,Russia,league_team_count_plausible,PASS,16
2021/22,Russia,participant_position_coverage,PASS,all=5/5; required=4/4
2021/22,San Marino,league_team_count_plausible,PASS,15
2021/22,San Marino,participant_position_coverage,PASS,all=3/3; required=2/2
2021/22,Scotland,league_team_count_plausible,PASS,12
2021/22,Scotland,participant_position_coverage,PASS,all=5/5; required=4/4
2021/22,Serbia,league_team_count_plausible,PASS,20
2021/22,Serbia,participant_position_coverage,PASS,all=4/4; required=3/3
2021/22,Slovakia,league_team_count_plausible,PASS,13
2021/22,Slovakia,participant_position_coverage,PASS,all=4/4; required=3/3
2021/22,Slovenia,league_team_count_plausible,PASS,10
2021/22,Slovenia,participant_position_coverage,PASS,all=4/4; required=3/3
2021/22,Spain,league_team_count_plausible,PASS,20
2021/22,Spain,participant_position_coverage,PASS,all=7/7; required=6/6
2021/22,Sweden,league_team_count_plausible,PASS,16
2021/22,Sweden,participant_position_coverage,PASS,all=4/4; required=3/3
2021/22,Switzerland,league_team_count_plausible,PASS,10
2021/22,Switzerland,participant_position_coverage,PASS,all=4/4; required=3/3
2021/22,Türkiye,league_team_count_plausible,PASS,21
2021/22,Türkiye,participant_position_coverage,PASS,all=5/5; required=4/4
2021/22,Ukraine,league_team_count_plausible,PASS,14
2021/22,Ukraine,participant_position_coverage,PASS,all=5/5; required=4/4
2021/22,Wales,league_team_count_plausible,PASS,12
2021/22,Wales,participant_position_coverage,PASS,all=4/4; required=4/4
2021/22,ALL,all_teams_enriched,PASS,237
2022/23,Albania,league_team_count_plausible,PASS,10
2022/23,Albania,participant_position_coverage,PASS,all=4/4; required=3/3
2022/23,Andorra,league_team_count_plausible,PASS,8
2022/23,Andorra,participant_position_coverage,PASS,all=3/3; required=2/2
2022/23,Armenia,league_team_count_plausible,PASS,10
2022/23,Armenia,participant_position_coverage,PASS,all=4/4; required=4/4
2022/23,Austria,league_team_count_plausible,PASS,12
2022/23,Austria,participant_position_coverage,PASS,all=5/5; required=4/4
2022/23,Azerbaijan,league_team_count_plausible,PASS,8
2022/23,Azerbaijan,participant_position_coverage,PASS,all=4/4; required=3/3
2022/23,Belarus,league_team_count_plausible,PASS,16
2022/23,Belarus,participant_position_coverage,PASS,all=4/4; required=3/3
2022/23,Belgium,league_team_count_plausible,PASS,18
2022/23,Belgium,participant_position_coverage,PASS,all=5/5; required=4/4
