club_id,uefa_team_id,canonical_name,country_code,first_season,last_season,seasons_observed,observed_names,name_variant_count,resolution_methods,identity_status
AO-UEFA-1652,1652,Tottenham,ENG,2018/19,2025/26,7,Tottenham Hotspur,1,exact_name_country,VERIFIED
AO-UEFA-2600097,2600097,Kalev,EST,2024/25,2024/25,1,Kalev Tallinn,1,fixture_graph_unique,VERIFIED
AO-UEFA-2600103,2600103,Titograd,MON,2018/19,2019/20,2,OFK Titograd,1,exact_name_country,VERIFIED
AO-UEFA-2600105,2600105,Dečić,MON,2021/22,2025/26,4,Decic Tuzi,1,fixture_graph_unique,VERIFIED
AO-UEFA-2600277,2600277,Jagiellonia,POL,2018/19,2025/26,3,Jagiellonia Bialystok,1,fixture_graph_unique,VERIFIED
AO-UEFA-2600288,2600288,Başakşehir,TUR,2018/19,2025/26,6,Istanbul Basaksehir,1,exact_name_country,VERIFIED
AO-UEFA-2600293,2600293,Asteras,GRE,2018/19,2018/19,1,Asteras Tripolis,1,fixture_graph_unique,VERIFIED
AO-UEFA-2600371,2600371,Kalju,EST,2018/19,2025/26,4,Kalju Nomme,1,fixture_graph_unique,VERIFIED
AO-UEFA-2600431,2600431,Hoffenheim,GER,2018/19,2024/25,3,1899 Hoffenheim,1,fixture_graph_unique,VERIFIED
AO-UEFA-2600542,2600542,UE Santa Coloma,AND,2022/23,2024/25,2,UE Santa Coloma,1,exact_name_country,VERIFIED
AO-UEFA-2600544,2600544,Gagra,GEO,2021/22,2021/22,1,Gagra Tbilisi,1,fixture_graph_unique,VERIFIED
AO-UEFA-2600545,2600545,Piast,POL,2019/20,2020/21,2,Piast Gliwice,1,exact_name_country,VERIFIED
AO-UEFA-2600598,2600598,Paide,EST,2020/21,2025/26,6,Paide Linnameeskond,1,exact_name_country,VERIFIED
AO-UEFA-2600605,2600605,Astana,KAZ,2018/19,2025/26,8,FK Astana,1,fixture_graph_unique,VERIFIED
AO-UEFA-2600714,2600714,Milsami,MOL,2018/19,2025/26,7,Milsami Orhei,1,fixture_graph_unique,VERIFIED
AO-UEFA-2600716,2600716,FCSG,MOL,2020/21,2022/23,3,Sfântul Gheorghe,1,fixture_graph_unique,VERIFIED
AO-UEFA-2600717,2600717,Bala,WAL,2018/19,2024/25,5,Bala Town,1,fixture_graph_unique,VERIFIED
AO-UEFA-2600783,2600783,Lokomotiva Zagreb,CRO,2020/21,2020/21,1,Lokomotiva Zagreb,1,exact_name_country,VERIFIED
AO-UEFA-2601038,2601038,Krasnodar,RUS,2018/19,2020/21,3,FK Krasnodar,1,fixture_graph_unique,VERIFIED
AO-UEFA-2601074,2601074,Hartberg,AUT,2020/21,2020/21,1,TSV Hartberg,1,exact_name_country,VERIFIED
AO-UEFA-2601090,2601090,Novi Pazar,SRB,2025/26,2025/26,1,Novi Pazar,1,exact_name_country,VERIFIED
AO-UEFA-2601105,2601105,Brighton,ENG,2023/24,2023/24,1,Brighton & Hove Albion,1,exact_name_country,VERIFIED
AO-UEFA-2601306,2601306,Brest,FRA,2024/25,2024/25,1,Stade Brestois,1,fixture_graph_unique,VERIFIED
AO-UEFA-2602334,2602334,Žalgiris,LIT,2018/19,2025/26,8,Zalgiris Vilnius,1,fixture_graph_unique,VERIFIED
AO-UEFA-2602511,2602511,Ilves,FIN,2018/19,2025/26,4,Ilves Tampere,1,exact_name_country,VERIFIED
AO-UEFA-2602520,2602520,SJK,FIN,2022/23,2025/26,2,SJK Seinäjoki,1,exact_name_country,VERIFIED
AO-UEFA-2602798,2602798,Girona,ESP,2024/25,2024/25,1,Girona FC,1,exact_name_country,VERIFIED
AO-UEFA-2602858,2602858,Iskra,MON,2020/21,2022/23,2,Iskra Danilovgrad,1,fixture_graph_unique,VERIFIED
AO-UEFA-2602893,2602893,Granada,ESP,2020/21,2020/21,1,Granada CF,1,exact_name_country,VERIFIED
AO-UEFA-2602918,2602918,Spartaks Jūrmala,LAT,2018/19,2018/19,1,Spartaks Jurmala,1,exact_name_country,VERIFIED
AO-UEFA-2602920,2602920,Valmiera,LAT,2020/21,2023/24,4,Valmieras FK,1,fixture_graph_unique,VERIFIED
AO-UEFA-2602955,2602955,Arouca,POR,2023/24,2023/24,1,FC Arouca,1,exact_name_country,VERIFIED
AO-UEFA-2603092,2603092,UNA Strassen,LUX,2024/25,2025/26,2,UNA Strassen,1,exact_name_country,VERIFIED
AO-UEFA-2603104,2603104,Ludogorets,BUL,2018/19,2025/26,8,Ludogorets Razgrad,1,fixture_graph_unique,VERIFIED
AO-UEFA-2603729,2603729,Dinamo-Auto,MOL,2020/21,2020/21,1,Dinamo-Auto Tiraspol,1,fixture_graph_unique,VERIFIED
AO-UEFA-2603790,2603790,Leipzig,GER,2018/19,2024/25,7,RB Leipzig,1,exact_name_country,VERIFIED
AO-UEFA-2603791,2603791,Heidenheim,GER,2024/25,2024/25,1,1.FC Heidenheim,1,fixture_graph_unique,VERIFIED
AO-UEFA-2603921,2603921,Sumqayıt,AZB,2020/21,2024/25,3,Sumgayit FK,1,fixture_graph_unique,VERIFIED
AO-UEFA-2603990,2603990,Wolfsberger,AUT,2019/20,2025/26,4,Wolfsberger AC,1,exact_name_country,VERIFIED
AO-UEFA-2604186,2604186,Kukës,ALB,2018/19,2020/21,3,FK Kukësi,1,exact_name_country,VERIFIED
AO-UEFA-2604478,2604478,Adana Demirspor,TUR,2023/24,2023/24,1,Adana Demirspor,1,exact_name_country,VERIFIED
AO-UEFA-2604479,2604479,Akhisar,TUR,2018/19,2018/19,1,Akhisarspor,1,fixture_graph_unique,VERIFIED
AO-UEFA-2604486,2604486,Sarpsborg,NOR,2018/19,2018/19,1,Sarpsborg 08,1,fixture_graph_unique,VERIFIED
AO-UEFA-2604753,2604753,Farul Constanța,ROM,2018/19,2023/24,3,Farul Constanta | Viitorul Constanta,2,exact_name_country,VERIFIED
AO-UEFA-2605051,2605051,Desna,UKR,2020/21,2020/21,1,Desna Chernihiv,1,fixture_graph_unique,VERIFIED
