match_id,action,reason,source_event_id,sportsdb_league_id,country_code,provider_season,ao_season,kickoff_utc,home_source_team_id,away_source_team_id,home_goals,away_goals
TSD-4330-1009391,KEEP_BASE_REMOVE_EXPANSION,IDENTICAL_PROVIDER_OBSERVATION,1009391,AO-DOMESTIC:SCO,SCO,2020-2021,2020/21,2020-08-01T14:00:00+00:00,AO:AO-UEFA-50079,AO:AO-UEFA-64249,1,1
TSD-4330-1009392,KEEP_BASE_REMOVE_EXPANSION,IDENTICAL_PROVIDER_OBSERVATION,1009392,AO-DOMESTIC:SCO,SCO,2020-2021,2020/21,2020-08-01T14:00:00+00:00,AO:AO-UEFA-52821,AO:AO-UEFA-62178,2,1
TSD-4330-1009393,KEEP_BASE_REMOVE_EXPANSION,IDENTICAL_PROVIDER_OBSERVATION,1009393,AO-DOMESTIC:SCO,SCO,2020-2021,2020/21,2020-08-01T14:00:00+00:00,AO:AO-UEFA-52552,134133,1,0
TSD-4330-1009394,KEEP_BASE_REMOVE_EXPANSION,IDENTICAL_PROVIDER_OBSERVATION,1009394,AO-DOMESTIC:SCO,SCO,2020-2021,2020/21,2020-08-01T11:30:00+00:00,AO:AO-UEFA-50122,AO:AO-UEFA-50121,0,1
TSD-4330-1009395,KEEP_BASE_REMOVE_EXPANSION,IDENTICAL_PROVIDER_OBSERVATION,1009395,AO-DOMESTIC:SCO,SCO,2020-2021,2020/21,2020-08-02T16:30:00+00:00,AO:AO-UEFA-50050,133812,5,1
TSD-4330-1009396,KEEP_BASE_REMOVE_EXPANSION,IDENTICAL_PROVIDER_OBSERVATION,1009396,AO-DOMESTIC:SCO,SCO,2020-2021,2020/21,2020-08-03T19:45:00+00:00,133940,AO:AO-UEFA-53035,1,0
TSD-4330-1009398,KEEP_BASE_REMOVE_EXPANSION,IDENTICAL_PROVIDER_OBSERVATION,1009398,AO-DOMESTIC:SCO,SCO,2020-2021,2020/21,2020-08-08T15:00:00+00:00,133812,133940,0,1
TSD-4330-1009399,KEEP_BASE_REMOVE_EXPANSION,IDENTICAL_PROVIDER_OBSERVATION,1009399,AO-DOMESTIC:SCO,SCO,2020-2021,2020/21,2020-08-08T15:00:00+00:00,134133,AO:AO-UEFA-52821,1,4
TSD-4330-1009400,KEEP_BASE_REMOVE_EXPANSION,IDENTICAL_PROVIDER_OBSERVATION,1009400,AO-DOMESTIC:SCO,SCO,2020-2021,2020/21,2020-08-08T15:00:00+00:00,AO:AO-UEFA-53035,AO:AO-UEFA-50079,0,1
TSD-4330-1009401,KEEP_BASE_REMOVE_EXPANSION,IDENTICAL_PROVIDER_OBSERVATION,1009401,AO-DOMESTIC:SCO,SCO,2020-2021,2020/21,2020-08-09T15:00:00+00:00,AO:AO-UEFA-50121,AO:AO-UEFA-52552,3,0
TSD-4330-1009402,KEEP_BASE_REMOVE_EXPANSION,IDENTICAL_PROVIDER_OBSERVATION,1009402,AO-DOMESTIC:SCO,SCO,2020-2021,2020/21,2020-08-09T16:30:00+00:00,AO:AO-UEFA-62178,AO:AO-UEFA-50050,1,1
TSD-4330-1012869,KEEP_BASE_REMOVE_EXPANSION,IDENTICAL_PROVIDER_OBSERVATION,1012869,AO-DOMESTIC:SCO,SCO,2020-2021,2020/21,2020-08-11T18:00:00+00:00,AO:AO-UEFA-50079,AO:AO-UEFA-52821,0,1
TSD-4330-1012872,KEEP_BASE_REMOVE_EXPANSION,IDENTICAL_PROVIDER_OBSERVATION,1012872,AO-DOMESTIC:SCO,SCO,2020-2021,2020/21,2020-08-12T19:45:00+00:00,AO:AO-UEFA-53035,134133,2,2
TSD-4330-1012873,KEEP_BASE_REMOVE_EXPANSION,IDENTICAL_PROVIDER_OBSERVATION,1012873,AO-DOMESTIC:SCO,SCO,2020-2021,2020/21,2020-08-12T19:45:00+00:00,133940,AO:AO-UEFA-62178,2,2
TSD-4330-1012874,KEEP_BASE_REMOVE_EXPANSION,IDENTICAL_PROVIDER_OBSERVATION,1012874,AO-DOMESTIC:SCO,SCO,2020-2021,2020/21,2020-08-12T19:45:00+00:00,AO:AO-UEFA-50121,AO:AO-UEFA-64249,3,0
TSD-4330-1012876,KEEP_BASE_REMOVE_EXPANSION,IDENTICAL_PROVIDER_OBSERVATION,1012876,AO-DOMESTIC:SCO,SCO,2020-2021,2020/21,2020-08-15T15:00:00+00:00,133940,AO:AO-UEFA-50079,1,2
TSD-4330-1012877,KEEP_BASE_REMOVE_EXPANSION,IDENTICAL_PROVIDER_OBSERVATION,1012877,AO-DOMESTIC:SCO,SCO,2020-2021,2020/21,2020-08-15T15:00:00+00:00,133812,AO:AO-UEFA-52552,0,1
TSD-4330-1012878,KEEP_BASE_REMOVE_EXPANSION,IDENTICAL_PROVIDER_OBSERVATION,1012878,AO-DOMESTIC:SCO,SCO,2020-2021,2020/21,2020-08-15T15:00:00+00:00,AO:AO-UEFA-62178,AO:AO-UEFA-64249,1,2
TSD-4330-1012879,KEEP_BASE_REMOVE_EXPANSION,IDENTICAL_PROVIDER_OBSERVATION,1012879,AO-DOMESTIC:SCO,SCO,2020-2021,2020/21,2020-08-15T17:30:00+00:00,AO:AO-UEFA-52821,AO:AO-UEFA-53035,0,0
TSD-4330-1012880,KEEP_BASE_REMOVE_EXPANSION,IDENTICAL_PROVIDER_OBSERVATION,1012880,AO-DOMESTIC:SCO,SCO,2020-2021,2020/21,2020-08-16T16:30:00+00:00,134133,AO:AO-UEFA-50121,0,0
TSD-4330-1012881,KEEP_BASE_REMOVE_EXPANSION,IDENTICAL_PROVIDER_OBSERVATION,1012881,AO-DOMESTIC:SCO,SCO,2020-2021,2020/21,2020-08-23T15:00:00+00:00,AO:AO-UEFA-50122,134133,2,1
TSD-4330-1012882,KEEP_BASE_REMOVE_EXPANSION,IDENTICAL_PROVIDER_OBSERVATION,1012882,AO-DOMESTIC:SCO,SCO,2020-2021,2020/21,2020-08-22T15:00:00+00:00,AO:AO-UEFA-52552,133940,1,1
