country_code,sportsdb_league_id,provider_season,completed_matches_before_cutoff,status
ALB,4617,2026-2027,5,ACCEPTED
ARM,4619,2026-2027,24,ACCEPTED
AUT,4621,2026-2027,22,ACCEPTED
AZB,4693,2026-2027,10,ACCEPTED
BEL,4338,2026-2027,25,ACCEPTED
BUL,4626,2026-2027,42,ACCEPTED
CRO,4629,2026-2027,19,ACCEPTED
CYP,4630,2026-2027,2,ACCEPTED
CZE,4631,2026-2027,36,ACCEPTED
DEN,4340,2026-2027,29,ACCEPTED
ENG,4328,2026-2027,11,ACCEPTED
ESP,4335,2026-2027,22,ACCEPTED
FRA,4334,2026-2027,10,ACCEPTED
GEO,4638,2026,108,ACCEPTED
GER,4331,2026-2027,1,ACCEPTED
GRE,4336,2026-2027,6,ACCEPTED
HUN,4690,2026-2027,29,ACCEPTED
ISR,4644,2026-2027,5,ACCEPTED
ITA,4332,2026-2027,11,ACCEPTED
KAZ,4649,2026,173,ACCEPTED
LIT,4651,2026,125,ACCEPTED
NED,4337,2026-2027,25,ACCEPTED
NOR,4358,2026,136,ACCEPTED
POL,4422,2026-2027,40,ACCEPTED
POR,4344,2026-2027,25,ACCEPTED
ROM,4691,2026-2027,49,ACCEPTED
SCO,4330,2026-2027,13,ACCEPTED
SLO,4692,2026-2027,29,ACCEPTED
SRB,4671,2026-2027,38,ACCEPTED
SUI,4675,2026-2027,21,ACCEPTED
SVK,4672,2026-2027,28,ACCEPTED
SWE,4347,2026,142,ACCEPTED
TUR,4339,2026-2027,19,ACCEPTED
UKR,4354,2026-2027,23,ACCEPTED
