ao_club_id,baseline_state_eligible,baseline_coverage_status,baseline_domestic_matches,baseline_domestic_seasons,country_code,team_name,selection_reason,provider_identity_rows,identity_ok,candidate_domestic_matches,candidate_domestic_seasons,minimum_matches,minimum_seasons,candidate_state_eligible,candidate_coverage_status,is_expansion_target_country,coverage_transition
AO-UEFA-88148,False,FALLBACK_REQUIRED,0,0,ALB,Egnatia Rrogozhinë,UPCOMING_UEL_PLAYOFF,1,True,188,5,40,2,True,COVERED,True,FALLBACK_REQUIRED->COVERED
AO-UEFA-2610304,False,FALLBACK_REQUIRED,0,0,ARM,Ararat-Armenia,UPCOMING_UEL_PLAYOFF,1,True,245,8,40,2,True,COVERED,True,FALLBACK_REQUIRED->COVERED
AO-UEFA-50030,True,COVERED,192,6,AUT,FC Salzburg,UPCOMING_UEL_PLAYOFF,1,True,192,6,40,2,True,COVERED,False,COVERED->COVERED
AO-UEFA-63405,True,COVERED,196,6,AUT,LASK,UPCOMING_UCL_PLAYOFF,1,True,196,6,40,2,True,COVERED,False,COVERED->COVERED
AO-UEFA-2609356,False,FALLBACK_REQUIRED,0,0,AZB,Sabah FK,UPCOMING_UCL_PLAYOFF,1,True,197,6,40,2,True,COVERED,True,FALLBACK_REQUIRED->COVERED
AO-UEFA-50074,True,COVERED,194,5,BEL,Anderlecht,UPCOMING_UEL_PLAYOFF,1,True,194,5,40,2,True,COVERED,False,COVERED->COVERED
AO-UEFA-50043,True,COVERED,200,5,BEL,Club Brugge,DIRECT_CL-LS,1,True,200,5,40,2,True,COVERED,False,COVERED->COVERED
AO-UEFA-52883,False,FALLBACK_REQUIRED,0,0,BEL,Sint-Truiden,UPCOMING_UEL_PLAYOFF,1,True,178,5,40,2,True,COVERED,False,FALLBACK_REQUIRED->COVERED
AO-UEFA-2608297,False,FALLBACK_REQUIRED,0,0,BUL,CSKA Sofia,UPCOMING_UEL_PLAYOFF,1,True,206,6,40,2,True,COVERED,True,FALLBACK_REQUIRED->COVERED
AO-UEFA-50044,False,FALLBACK_REQUIRED,0,0,BUL,Levski Sofia,UPCOMING_UCL_PLAYOFF,1,True,206,6,40,2,True,COVERED,True,FALLBACK_REQUIRED->COVERED
AO-UEFA-50164,False,FALLBACK_REQUIRED,0,0,CRO,Dinamo Zagreb,UPCOMING_UCL_PLAYOFF,1,True,324,9,40,2,True,COVERED,True,FALLBACK_REQUIRED->COVERED
AO-UEFA-50077,True,COVERED,212,6,CYP,Omonia Nicosia,UPCOMING_UEL_PLAYOFF,1,True,212,6,40,2,True,COVERED,False,COVERED->COVERED
