ao_club_id,country_code,ao_team_name,source_alias,source_rows,override_status
AO-UEFA-52883,BEL,Sint-Truiden,St.Truiden,1,APPLIED
AO-UEFA-52498,CZE,Slavia Praha,Slavia Prague,1,APPLIED
AO-UEFA-2601124,ENG,AFC Bournemouth,Bournemouth,1,APPLIED
AO-UEFA-53360,ENG,Sunderland AFC,Sunderland,1,APPLIED
AO-UEFA-50124,ESP,Atlético Madrid,Ath Madrid,1,APPLIED
AO-UEFA-53043,ESP,Celta de Vigo,Celta Vigo,1,APPLIED
AO-UEFA-52265,ESP,Real Betis,Betis,1,APPLIED
AO-UEFA-50123,ESP,Real Sociedad,Sociedad,1,APPLIED
AO-UEFA-52747,FRA,Paris Saint-Germain,Paris SG,1,APPLIED
AO-UEFA-50037,GER,Bayern München,Bayern Munich,1,APPLIED
AO-UEFA-52758,GER,Borussia Dortmund,Dortmund,1,APPLIED
AO-UEFA-2603790,GER,RB Leipzig,RasenBallsport Leipzig,1,APPLIED
AO-UEFA-50129,GRE,AEK Athens,AEK,1,APPLIED
AO-UEFA-52953,GRE,OFI Heraklion,OFI,1,APPLIED
AO-UEFA-79946,ITA,Como 1907,Como,1,APPLIED
AO-UEFA-52330,NED,NEC Nijmegen,Nijmegen,1,APPLIED
AO-UEFA-59333,NOR,Bodø/Glimt,Bodoe/Glimt,1,APPLIED
AO-UEFA-52314,NOR,Lillestrøm SK,Lillestroem,1,APPLIED
AO-UEFA-2603107,POR,União Torreense,Torreense,1,APPLIED
AO-UEFA-74233,SWE,Mjällby AIF,Mjallby,1,APPLIED
