country_code,source_team_id,source_club_key,source_team_name,ao_club_id,identity_method,identity_score,runner_up_score,identity_ambiguous
AUT,133970,THESPORTSDB:133970,SV Salzburg,AO-UEFA-50030,EXACT_NAME,1.0,1.0,False
AUT,133993,THESPORTSDB:133993,SV Josko Ried,,NO_AO_COUNTERPART,0.42105263157894735,0.4,False
AUT,134008,THESPORTSDB:134008,FC Trenkwalder Admira,,NO_AO_COUNTERPART,0.5,0.35714285714285715,False
AUT,134021,THESPORTSDB:134021,Rapid Vienna,,NO_AO_COUNTERPART,0.8181818181818182,0.5,False
AUT,134390,THESPORTSDB:134390,Austria Vienna,,NO_AO_COUNTERPART,0.8461538461538461,0.5,False
AUT,134607,THESPORTSDB:134607,SKN St. Polten,,NO_AO_COUNTERPART,0.4,0.32,False
AUT,137252,THESPORTSDB:137252,Wolfsberger AC,AO-UEFA-2603990,EXACT_NAME,1.0,1.0,False
AUT,137261,THESPORTSDB:137261,LASK,AO-UEFA-63405,EXACT_NAME,1.0,1.0,False
AUT,137742,THESPORTSDB:137742,SC Rheindorf Altach,,NO_AO_COUNTERPART,0.2857142857142857,0.27586206896551724,False
AUT,137743,THESPORTSDB:137743,Sturm Graz,AO-UEFA-50111,EXACT_NAME,1.0,1.0,False
AUT,137805,THESPORTSDB:137805,TSV Hartberg,AO-UEFA-2601074,EXACT_NAME,1.0,1.0,False
AUT,137807,THESPORTSDB:137807,WSG Swarovski Tirol,,NO_AO_COUNTERPART,0.3870967741935484,0.2857142857142857,False
AUT,139411,THESPORTSDB:139411,Austria Klagenfurt,,NO_AO_COUNTERPART,0.6666666666666666,0.45161290322580644,False
AUT,139412,THESPORTSDB:139412,FC BW Linz,,NO_AO_COUNTERPART,0.625,0.35294117647058826,False
AUT,139415,THESPORTSDB:139415,Grazer AK,,NO_AO_COUNTERPART,0.42105263157894735,0.36363636363636365,False
AUT,139425,THESPORTSDB:139425,Austria Lustenau,,NO_AO_COUNTERPART,0.7142857142857143,0.4,False
BEL,133775,THESPORTSDB:133775,Oud-Heverlee Leuven,,NO_AO_COUNTERPART,0.3448275862068966,0.3125,False
BEL,133776,THESPORTSDB:133776,Anderlecht,AO-UEFA-50074,EXACT_NAME,1.0,1.0,False
BEL,133778,THESPORTSDB:133778,Standard,,NO_AO_COUNTERPART,0.7272727272727273,0.4444444444444444,False
BEL,133779,THESPORTSDB:133779,Genk,AO-UEFA-61582,EXACT_NAME,1.0,1.0,False
BEL,133781,THESPORTSDB:133781,Gent,AO-UEFA-4608,EXACT_NAME,1.0,1.0,False
BEL,133782,THESPORTSDB:133782,Cercle Brugge,AO-UEFA-52884,EXACT_NAME,1.0,1.0,False
BEL,133783,THESPORTSDB:133783,Kortrijk,,NO_AO_COUNTERPART,0.23529411764705882,0.2222222222222222,False
BEL,133786,THESPORTSDB:133786,Waregem,,NO_AO_COUNTERPART,0.47619047619047616,0.46153846153846156,False
BEL,133787,THESPORTSDB:133787,Mechelen,,NO_AO_COUNTERPART,0.47058823529411764,0.38095238095238093,False
BEL,133789,THESPORTSDB:133789,Club Brugge,AO-UEFA-50043,EXACT_NAME,1.0,1.0,False
BEL,133790,THESPORTSDB:133790,Westerlo,,NO_AO_COUNTERPART,0.4,0.35294117647058826,False
BEL,133825,THESPORTSDB:133825,Eupen,,NO_AO_COUNTERPART,0.4444444444444444,0.4444444444444444,False
BEL,133826,THESPORTSDB:133826,Charleroi,AO-UEFA-52886,EXACT_NAME,1.0,1.0,False
BEL,133863,THESPORTSDB:133863,Dender,,NO_AO_COUNTERPART,0.5,0.46153846153846156,False
BEL,133931,THESPORTSDB:133931,KV Oostende,,NO_AO_COUNTERPART,0.4,0.3333333333333333,False
BEL,133941,THESPORTSDB:133941,Waasland-Beveren,,NO_AO_COUNTERPART,0.4666666666666667,0.46153846153846156,False
BEL,134245,THESPORTSDB:134245,Antwerp,AO-UEFA-50113,EXACT_NAME,1.0,1.0,False
BEL,134552,THESPORTSDB:134552,Mouscron-Peruwelz,,NO_AO_COUNTERPART,0.3333333333333333,0.3333333333333333,False
BEL,135461,THESPORTSDB:135461,St.Truiden,,NO_AO_COUNTERPART,0.4166666666666667,0.375,False
BEL,135924,THESPORTSDB:135924,Molenbeek,,NO_AO_COUNTERPART,0.46153846153846156,0.36363636363636365,False
BEL,138141,THESPORTSDB:138141,St. Gilloise,,NO_AO_COUNTERPART,0.7096774193548387,0.4,False
BEL,138142,THESPORTSDB:138142,Beerschot VA,,NO_AO_COUNTERPART,0.45454545454545453,0.32,False
BEL,138143,THESPORTSDB:138143,Lommel,,NO_AO_COUNTERPART,0.26666666666666666,0.25,False
BEL,140081,THESPORTSDB:140081,RFC Seraing,,NO_AO_COUNTERPART,0.4,0.3870967741935484,False
BEL,143872,THESPORTSDB:143872,RFC Liège,,NO_AO_COUNTERPART,0.6086956521739131,0.45454545454545453,False
BEL,147430,THESPORTSDB:147430,Patro Eisden,,NO_AO_COUNTERPART,0.42105263157894735,0.38461538461538464,False
BEL,148488,THESPORTSDB:148488,RAAL La Louvière,,NO_AO_COUNTERPART,0.4827586206896552,0.4,False
CYP,133986,THESPORTSDB:133986,Omonia Nicosia,AO-UEFA-50077,EXACT_NAME,1.0,1.0,False
CYP,133994,THESPORTSDB:133994,Anorthosis Famagusta,AO-UEFA-52897,EXACT_NAME,1.0,1.0,False
CYP,133999,THESPORTSDB:133999,Apoel Nicosia,AO-UEFA-50118,EXACT_NAME,1.0,1.0,False
CYP,134407,THESPORTSDB:134407,Apollon Limassol,AO-UEFA-52741,EXACT_NAME,1.0,1.0,False
CYP,134628,THESPORTSDB:134628,Ermis Aradippou,,NO_AO_COUNTERPART,0.42857142857142855,0.4,False
