club_id,uefa_team_id,ao_team_name,country_code,opta_team_id,opta_team_name,opta_association,match_method,exact_candidate_count,identity_status
AO-UEFA-52280,52280,Arsenal,ENG,4dsgumo7d4zupm2ugsvm4zm4d,Arsenal,England,UEFA_NAME_COUNTRY_EXACT,4,VERIFIED
AO-UEFA-50037,50037,Bayern München,GER,apoawtpvac4zqlancmvw4nk4o,Bayern München,Germany,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-52747,52747,Paris Saint-Germain,FRA,2b3mar72yy8d6uvat1ka6tn3r,Paris Saint-Germain,France,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-52683,52683,Aston Villa,ENG,b496gs285it6bheuikox6z9mj,Aston Villa,England,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-50080,50080,FC Barcelona,ESP,agh9ifb2mw3ivjusgedj7c3fe,Barcelona,Spain,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-50051,50051,Real Madrid,ESP,3kq9cckrnlogidldtdie2fkbl,Real Madrid,Spain,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-7889,7889,Liverpool,ENG,c8h9bw1l82s06h77xxrelzhur,Liverpool,England,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-1652,1652,Tottenham Hotspur,ENG,22doj4sgsocqpxw45h607udje,Tottenham Hotspur,England,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-50124,50124,Atlético Madrid,ESP,4ku8o6uf87yd8iecdalipo6wd,Atlético de Madrid,Spain,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-50109,50109,Bayer Leverkusen,GER,7ad69ngbpjuyzv96drf8d9sn2,Bayer Leverkusen,Germany,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-50149,50149,Sporting CP Lisbon,POR,7catg5lpivcmpf4xhggh6d8rk,Sporting CP,Portugal,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-52914,52914,Chelsea,ENG,9q0arba2kbnywth8bkxlhgmdr,Chelsea,England,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-52919,52919,Manchester City,ENG,a3nyxabgsqlnqfkeg41m6tnpp,Manchester City,England,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-50137,50137,AS Roma,ITA,2tk2l9sgktwc9jhzqdd4mpdtb,Roma,Italy,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-50138,50138,Internazionale,ITA,3vo5mpj7catp66nrwwqiuhuup,Internazionale,Italy,UEFA_NAME_COUNTRY_EXACT,3,VERIFIED
AO-UEFA-59333,59333,Bodø/Glimt,NOR,ctvzi2jbl1q6xzq0s3sexj73g,Bodø / Glimt,Norway,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-75795,75795,FC Midtjylland,DEN,59as3grjvj19voay31j3yfgni,Midtjylland,Denmark,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-52336,52336,Sporting Braga,POR,26t6lvlpql4w5wu1ih73qpy36,Sporting Braga,Portugal,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-52758,52758,Borussia Dortmund,GER,dt4pinj0vw0t0cvz7za6mhmzy,Borussia Dortmund,Germany,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-50139,50139,Juventus,ITA,bqbbqm98ud8obe45ds9ohgyrd,Juventus,Italy,UEFA_NAME_COUNTRY_EXACT,3,VERIFIED
AO-UEFA-50043,50043,Club Brugge,BEL,1oyb7oym5nwzny8vxf03szd2h,Club Brugge,Belgium,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-50064,50064,FC Porto,POR,66bsnl0zjb7l5akwo00h0y5me,Porto,Portugal,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-52816,52816,Atalanta,ITA,e75syeuawg3ql8nwpi3vr2btz,Atalanta,Italy,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-52681,52681,Nottingham Forest,ENG,1qtaiy11gswx327s0vkibf70n,Nottingham Forest,England,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-50147,50147,Benfica,POR,9ldqu49smv1xg2va0n2cy28zl,Benfica,Portugal,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-59324,59324,Newcastle United,ENG,7vn2i2kd35zuetw6b38gw9jsz,Newcastle United,England,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-52265,52265,Real Betis,ESP,ah8dala7suqqkj04n2l8xz4zd,Real Betis,Spain,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-52916,52916,Crystal Palace,ENG,1c8m2ko0wxq1asfkuykurdr0y,Crystal Palace,England,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-64388,64388,Viktoria Plzen,CZE,c6fx1460nlkawjgh67sp7a1hd,Viktoria Plzeň,Czechia,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-50062,50062,PSV Eindhoven,NED,24fvcruwqrqvqa3aonf8c3zuy,PSV,Netherlands,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-2610,2610,Olympiakos Piraeus,GRE,9ghx7vbghs3628n5chm9r8ig3,Olympiakos Piraeus,Greece,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-50067,50067,Galatasaray,TUR,esa748l653sss1wurz5ps3228,Galatasaray,Türkiye,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-59880,59880,SC Freiburg,GER,6k5zscdm9ufw0tguvzyjlp5hq,Freiburg,Germany,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-52298,52298,Ferencváros,HUN,b3o0wckz4w3fusytybpgxftgm,Ferencváros,Hungary,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-5312,5312,Olympique Lyon,FRA,121le8unjfzug3iu9pgkqa1c7,Olympique Lyonnais,France,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-52817,52817,Fiorentina,ITA,4raiad4l2j5lkfaz92pk4osb,Fiorentina,Italy,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-52692,52692,Fenerbahçe,TUR,8lroq0cbhdxj8124qtxwrhvmm,Fenerbahçe,Türkiye,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-50069,50069,Red Star Belgrade,SRB,81lpho34qr3dad0xzalq0abja,Crvena zvezda,Serbia,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-50023,50023,AS Monaco,FRA,4t4hod56fsj7utpjdor8so5q6,Monaco,France,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-52969,52969,Bologna,ITA,ej5er0oyngdw138yuumwqbyqt,Bologna,Italy,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-50136,50136,Napoli,ITA,gi0l1habji5hpgar77dl5jqe,Napoli,Italy,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-52709,52709,FC København,DEN,b3r6d8ydtmtjckam6pku9y400,København,Denmark,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-52327,52327,AZ Alkmaar,NED,3kfktv64h7kg7zryax1wktr5r,AZ,Netherlands,MANUAL_ALIAS_VERIFIED,1,VERIFIED
AO-UEFA-50084,50084,Panathinaikos,GRE,4ws3k9155net1ydbvr8c940dy,Panathinaikos,Greece,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-64125,64125,Union Saint-Gilloise,BEL,ecj1gmc7pqcjo4sc9hvghj5u3,Union Saint-Gilloise,Belgium,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-75797,75797,Lille OSC,FRA,be2k34rut1lz79jxenabttqlc,Lille,France,UEFA_NAME_COUNTRY_EXACT,2,VERIFIED
AO-UEFA-52748,52748,Olympique Marseille,FRA,27xvwccz8kpmqsefjv2b2sc0o,Olympique Marseille,France,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-50050,50050,Celtic,SCO,dvnjvad3p09dugr79gktlrtll,Celtic,Scotland,UEFA_NAME_COUNTRY_EXACT,2,VERIFIED
AO-UEFA-61582,61582,Racing Genk,BEL,89xivtxk59uzvhdsd6miao6tm,Genk,Belgium,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-53043,53043,Celta de Vigo,ESP,6f27yvbqcngegwsg2ozxxdj4,Celta de Vigo,Spain,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-50072,50072,Eintracht Frankfurt,GER,c5hderjlkcoaze51e5wgvptk,Eintracht Frankfurt,Germany,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-50125,50125,Athletic Bilbao,ESP,3czravw89omgc9o4s0w3l1bg5,Athletic Club,Spain,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-50143,50143,Ajax,NED,d0zdg647gvgc95xdtk1vpbkys,Ajax,Netherlands,UEFA_NAME_COUNTRY_EXACT,3,VERIFIED
AO-UEFA-64227,64227,Lech Poznan,POL,duvz7klp081jpg8fx5nze7ks7,Lech Poznań,Poland,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-74070,74070,Rayo Vallecano,ESP,3budh3j9xivsid3ptm8ptpy4k,Rayo Vallecano,Spain,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-52707,52707,Shakhtar Donetsk,UKR,cf8plcmeniaen0fc5emyb5j93,Shakhtar Donetsk,Ukraine,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-52749,52749,Feyenoord,NED,20vymiy7bo8wkyxai3ew494fz,Feyenoord,Netherlands,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-2609532,2609532,Pafos FC,CYP,d6e2elufz1jf4h68k21uahq7d,Pafos,Cyprus,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
