club_id,uefa_team_id,ao_team_name,country_code,opta_team_id,opta_association,match_method,exact_candidate_count,identity_status,opta_power_rating,opta_numeric_id,opta_global_rank,opta_team_name,opta_short_name,opta_club_name,opta_team_code,opta_competition_id
AO-UEFA-52280,52280,Arsenal,ENG,4dsgumo7d4zupm2ugsvm4zm4d,England,UEFA_NAME_COUNTRY_EXACT,4,VERIFIED,99.5032179528,3.0000000000,2,Arsenal,Arsenal,Arsenal FC,ARS,51r6ph2woavlbbpk8f29nynf8
AO-UEFA-50037,50037,Bayern München,GER,apoawtpvac4zqlancmvw4nk4o,Germany,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED,96.4497371061,156.0000000000,6,Bayern München,Bayern München,FC Bayern München,FCB,73zebisnu1109jix9yoc09yc4
AO-UEFA-52747,52747,Paris Saint-Germain,FRA,2b3mar72yy8d6uvat1ka6tn3r,France,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED,99.2571588142,149.0000000000,3,PSG,PSG,Paris Saint-Germain FC,PSG,a7htj8rtzib7a2xx7b3xs04d0
AO-UEFA-52683,52683,Aston Villa,ENG,b496gs285it6bheuikox6z9mj,England,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED,95.4551145159,7.0000000000,8,Aston Villa,Aston Villa,Aston Villa FC,AVL,51r6ph2woavlbbpk8f29nynf8
AO-UEFA-50080,50080,FC Barcelona,ESP,agh9ifb2mw3ivjusgedj7c3fe,Spain,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED,97.5770773315,178.0000000000,5,Barcelona,Barcelona,FC Barcelona,BAR,4x7uzww3jur4re7sgt3mslyj8
AO-UEFA-50051,50051,Real Madrid,ESP,3kq9cckrnlogidldtdie2fkbl,Spain,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED,96.3629361019,186.0000000000,7,Real Madrid,Real Madrid,Real Madrid CF,RMA,4x7uzww3jur4re7sgt3mslyj8
AO-UEFA-7889,7889,Liverpool,ENG,c8h9bw1l82s06h77xxrelzhur,England,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED,100.0000000000,14.0000000000,1,Liverpool,Liverpool,Liverpool FC,LIV,51r6ph2woavlbbpk8f29nynf8
AO-UEFA-1652,1652,Tottenham Hotspur,ENG,22doj4sgsocqpxw45h607udje,England,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED,90.8550921001,6.0000000000,29,Tottenham Hotspur,Tottenham,Tottenham Hotspur FC,TOT,51r6ph2woavlbbpk8f29nynf8
AO-UEFA-50124,50124,Atlético Madrid,ESP,4ku8o6uf87yd8iecdalipo6wd,Spain,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED,93.0587858134,175.0000000000,14,Atlético de Madrid,Atlético,Club Atlético de Madrid,ATM,4x7uzww3jur4re7sgt3mslyj8
AO-UEFA-50109,50109,Bayer Leverkusen,GER,7ad69ngbpjuyzv96drf8d9sn2,Germany,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED,92.5605853752,164.0000000000,16,Bayer Leverkusen,Leverkusen,Bayer 04 Leverkusen,LEV,73zebisnu1109jix9yoc09yc4
AO-UEFA-50149,50149,Sporting CP Lisbon,POR,7catg5lpivcmpf4xhggh6d8rk,Portugal,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED,91.8704955018,255.0000000000,21,Sporting CP,Sporting,Sporting Clube de Portugal,SCP,5fhu9jbajfxnsuu1x77033sic
AO-UEFA-52914,52914,Chelsea,ENG,9q0arba2kbnywth8bkxlhgmdr,England,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED,95.3231202379,8.0000000000,10,Chelsea,Chelsea,Chelsea FC,CHE,51r6ph2woavlbbpk8f29nynf8
AO-UEFA-52919,52919,Manchester City,ENG,a3nyxabgsqlnqfkeg41m6tnpp,England,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED,98.6768046858,43.0000000000,4,Manchester City,Man City,Manchester City FC,MCI,51r6ph2woavlbbpk8f29nynf8
AO-UEFA-50137,50137,AS Roma,ITA,2tk2l9sgktwc9jhzqdd4mpdtb,Italy,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED,91.5738723581,121.0000000000,24,Roma,Roma,AS Roma,ROM,emdmtfr1v8rey2qru3xzfwges
AO-UEFA-50138,50138,Internazionale,ITA,3vo5mpj7catp66nrwwqiuhuup,Italy,UEFA_NAME_COUNTRY_EXACT,3,VERIFIED,95.2126468302,127.0000000000,11,Internazionale,Inter,FC Internazionale Milano,INT,emdmtfr1v8rey2qru3xzfwges
AO-UEFA-59333,59333,Bodø/Glimt,NOR,ctvzi2jbl1q6xzq0s3sexj73g,Norway,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED,83.5031705317,2744.0000000000,116,Bodø / Glimt,Bodø/Glimt,FK Bodø / Glimt,BOD,59ghbl9ewb73y9y90c1d8hclw
