club_id,uefa_team_id,opta_team_id,opta_global_rank,opta_power_rating,opta_team_name,opta_club_name,opta_association,opta_domestic_league
AO-UEFA-52280,52280,4dsgumo7d4zupm2ugsvm4zm4d,1,100.0000000000,Arsenal,Arsenal FC,England,Premier League
AO-UEFA-50037,50037,apoawtpvac4zqlancmvw4nk4o,2,99.9583242438,Bayern München,FC Bayern München,Germany,Bundesliga
AO-UEFA-52747,52747,2b3mar72yy8d6uvat1ka6tn3r,4,97.2871506849,Paris Saint-Germain,Paris Saint-Germain FC,France,Ligue 1
AO-UEFA-52683,52683,b496gs285it6bheuikox6z9mj,7,95.0316250976,Aston Villa,Aston Villa FC,England,Premier League
AO-UEFA-50080,50080,agh9ifb2mw3ivjusgedj7c3fe,5,96.2000272776,Barcelona,FC Barcelona,Spain,Primera División
AO-UEFA-50051,50051,3kq9cckrnlogidldtdie2fkbl,8,94.9950536857,Real Madrid,Real Madrid CF,Spain,Primera División
AO-UEFA-7889,7889,c8h9bw1l82s06h77xxrelzhur,10,94.4728025704,Liverpool,Liverpool FC,England,Premier League
AO-UEFA-1652,1652,22doj4sgsocqpxw45h607udje,30,90.8204653225,Tottenham Hotspur,Tottenham Hotspur FC,England,Premier League
AO-UEFA-50124,50124,4ku8o6uf87yd8iecdalipo6wd,28,91.0941076203,Atlético de Madrid,Club Atlético de Madrid,Spain,Primera División
AO-UEFA-50109,50109,7ad69ngbpjuyzv96drf8d9sn2,26,91.2631189451,Bayer Leverkusen,Bayer 04 Leverkusen,Germany,Bundesliga
AO-UEFA-50149,50149,7catg5lpivcmpf4xhggh6d8rk,16,92.1311862198,Sporting CP,Sporting Clube de Portugal,Portugal,Primeira Liga
AO-UEFA-52914,52914,9q0arba2kbnywth8bkxlhgmdr,18,91.8476900945,Chelsea,Chelsea FC,England,Premier League
AO-UEFA-52919,52919,a3nyxabgsqlnqfkeg41m6tnpp,3,98.1570042630,Manchester City,Manchester City FC,England,Premier League
AO-UEFA-50137,50137,2tk2l9sgktwc9jhzqdd4mpdtb,22,91.5949158407,Roma,AS Roma,Italy,Serie A
AO-UEFA-50138,50138,3vo5mpj7catp66nrwwqiuhuup,9,94.5814237758,Internazionale,FC Internazionale Milano,Italy,Serie A
AO-UEFA-59333,59333,ctvzi2jbl1q6xzq0s3sexj73g,38,89.9727939407,Bodø / Glimt,FK Bodø / Glimt,Norway,Eliteserien
AO-UEFA-75795,75795,59as3grjvj19voay31j3yfgni,98,85.1790480431,Midtjylland,FC Midtjylland,Denmark,Superliga
AO-UEFA-52336,52336,26t6lvlpql4w5wu1ih73qpy36,63,87.3661155255,Sporting Braga,Sporting Braga,Portugal,Primeira Liga
AO-UEFA-52758,52758,dt4pinj0vw0t0cvz7za6mhmzy,15,92.5478223862,Borussia Dortmund,BV Borussia 09 Dortmund,Germany,Bundesliga
AO-UEFA-50139,50139,bqbbqm98ud8obe45ds9ohgyrd,25,91.3351858411,Juventus,Juventus FC,Italy,Serie A
AO-UEFA-50043,50043,1oyb7oym5nwzny8vxf03szd2h,19,91.8096462521,Club Brugge,Club Brugge KV,Belgium,First Division A
AO-UEFA-50064,50064,66bsnl0zjb7l5akwo00h0y5me,31,90.6185221803,Porto,FC Porto,Portugal,Primeira Liga
AO-UEFA-52816,52816,e75syeuawg3ql8nwpi3vr2btz,36,90.0851128650,Atalanta,Atalanta Bergamasca Calcio,Italy,Serie A
AO-UEFA-52681,52681,1qtaiy11gswx327s0vkibf70n,17,92.1011908059,Nottingham Forest,Nottingham Forest FC,England,Premier League
AO-UEFA-50147,50147,9ldqu49smv1xg2va0n2cy28zl,20,91.7913559017,Benfica,SL Benfica,Portugal,Primeira Liga
AO-UEFA-59324,59324,7vn2i2kd35zuetw6b38gw9jsz,13,92.8788535357,Newcastle United,Newcastle United FC,England,Premier League
AO-UEFA-52265,52265,ah8dala7suqqkj04n2l8xz4zd,51,88.1792083987,Real Betis,Real Betis Balompié,Spain,Primera División
AO-UEFA-52916,52916,1c8m2ko0wxq1asfkuykurdr0y,21,91.6256441001,Crystal Palace,Crystal Palace FC,England,Premier League
AO-UEFA-64388,64388,c6fx1460nlkawjgh67sp7a1hd,165,83.2478176343,Viktoria Plzeň,FC Viktoria Plzeň,Czechia,Czech Liga
AO-UEFA-50062,50062,24fvcruwqrqvqa3aonf8c3zuy,46,88.9457775549,PSV,PSV Eindhoven,Netherlands,Eredivisie
AO-UEFA-2610,2610,9ghx7vbghs3628n5chm9r8ig3,70,86.9094123711,Olympiakos Piraeus,Olympiakos FC,Greece,Super League 1
AO-UEFA-50067,50067,esa748l653sss1wurz5ps3228,57,87.7818171352,Galatasaray,Galatasaray Spor Kulübü,Türkiye,Süper Lig
AO-UEFA-59880,59880,6k5zscdm9ufw0tguvzyjlp5hq,60,87.5344471624,Freiburg,SC Freiburg,Germany,Bundesliga
AO-UEFA-52298,52298,b3o0wckz4w3fusytybpgxftgm,118,84.4579863493,Ferencváros,Ferencvárosi TC,Hungary,NB I
AO-UEFA-5312,5312,121le8unjfzug3iu9pgkqa1c7,54,87.9223326913,Olympique Lyonnais,Lyon,France,Ligue 1
AO-UEFA-52817,52817,4raiad4l2j5lkfaz92pk4osb,71,86.8665955410,Fiorentina,ACF Fiorentina,Italy,Serie A
AO-UEFA-52692,52692,8lroq0cbhdxj8124qtxwrhvmm,50,88.3500898830,Fenerbahçe,Fenerbahçe Spor Kulübü,Türkiye,Süper Lig
AO-UEFA-50069,50069,81lpho34qr3dad0xzalq0abja,124,84.1578355693,Crvena zvezda,FK Crvena zvezda Beograd,Serbia,Super Liga
AO-UEFA-50023,50023,4t4hod56fsj7utpjdor8so5q6,52,88.1598148421,Monaco,AS Monaco FC,France,Ligue 1
