uefa_team_id,uefa_rank,uefa_coefficient,uefa_club_points,uefa_association_floor,uefa_display_name,uefa_short_name,uefa_official_name,uefa_international_name,uefa_country_code,uefa_target_season_year,uefa_base_season_year
50037,1,147.5000000000,147.5000000000,18.5800000000,Bayern München,Bayern München,FC Bayern München,FC Bayern München,GER,2026,2022
50051,2,144.5000000000,144.5000000000,19.4090000000,Real Madrid,Real Madrid,Real Madrid C.F.,Real Madrid C.F.,ESP,2026,2022
52747,3,132.0000000000,132.0000000000,16.6990000000,Paris,Paris,Paris Saint-Germain,Paris Saint-Germain,FRA,2026,2022
7889,4,130.0000000000,130.0000000000,23.9030000000,Liverpool,Liverpool,Liverpool FC,Liverpool FC,ENG,2026,2022
50138,5,127.0000000000,127.0000000000,19.9890000000,Inter,Inter,FC Internazionale Milano,FC Internazionale Milano,ITA,2026,2022
52919,6,125.5000000000,125.5000000000,23.9030000000,Man City,Man City,Manchester City,Manchester City,ENG,2026,2022
52280,7,119.0000000000,119.0000000000,23.9030000000,Arsenal,Arsenal,Arsenal FC,Arsenal FC,ENG,2026,2022
50080,8,113.2500000000,113.2500000000,19.4090000000,Barcelona,Barcelona,FC Barcelona,FC Barcelona,ESP,2026,2022
50109,9,105.0000000000,105.0000000000,18.5800000000,Leverkusen,Leverkusen,Bayer 04 Leverkusen,Bayer 04 Leverkusen,GER,2026,2022
50124,10,104.7500000000,104.7500000000,19.4090000000,Atleti,Atleti,Atlético de Madrid,Atlético de Madrid,ESP,2026,2022
52758,11,100.7500000000,100.7500000000,18.5800000000,B. Dortmund,B. Dortmund,Borussia Dortmund,Borussia Dortmund,GER,2026,2022
52914,12,99.2500000000,99.2500000000,23.9030000000,Chelsea,Chelsea,Chelsea FC,Chelsea FC,ENG,2026,2022
50137,13,97.7500000000,97.7500000000,19.9890000000,Roma,Roma,AS Roma,AS Roma,ITA,2026,2022
50147,14,90.0000000000,90.0000000000,14.6330000000,Benfica,Benfica,SL Benfica,SL Benfica,POR,2026,2022
50149,15,84.0000000000,84.0000000000,14.6330000000,Sporting CP,Sporting CP,Sporting Clube de Portugal,Sporting Clube de Portugal,POR,2026,2022
52816,16,84.0000000000,84.0000000000,19.9890000000,Atalanta,Atalanta,Atalanta BC,Atalanta BC,ITA,2026,2022
52683,17,83.0000000000,83.0000000000,23.9030000000,Aston Villa,Aston Villa,Aston Villa,Aston Villa,ENG,2026,2022
50072,18,83.0000000000,83.0000000000,18.5800000000,Frankfurt,Frankfurt,Eintracht Frankfurt,Eintracht Frankfurt,GER,2026,2022
1652,19,82.0000000000,82.0000000000,23.9030000000,Tottenham,Tottenham,Tottenham Hotspur,Tottenham Hotspur,ENG,2026,2022
50064,20,80.7500000000,80.7500000000,14.6330000000,Porto,Porto,FC Porto,FC Porto,POR,2026,2022
52682,21,76.5000000000,76.5000000000,23.9030000000,Man Utd,Man Utd,Manchester United,Manchester United,ENG,2026,2022
52817,22,76.2500000000,76.2500000000,19.9890000000,Fiorentina,Fiorentina,ACF Fiorentina,ACF Fiorentina,ITA,2026,2022
50043,23,75.2500000000,75.2500000000,12.4500000000,Club Brugge,Club Brugge,Club Brugge KV,Club Brugge KV,BEL,2026,2022
52265,24,74.5000000000,74.5000000000,19.4090000000,Real Betis,Real Betis,Real Betis Balompié,Real Betis Balompié,ESP,2026,2022
50139,25,72.2500000000,72.2500000000,19.9890000000,Juventus,Juventus,Juventus,Juventus,ITA,2026,2022
50062,26,71.2500000000,71.2500000000,13.5850000000,PSV,PSV,PSV Eindhoven,PSV Eindhoven,NED,2026,2022
52749,27,71.0000000000,71.0000000000,13.5850000000,Feyenoord,Feyenoord,Feyenoord,Feyenoord,NED,2026,2022
53358,28,69.0000000000,69.0000000000,23.9030000000,West Ham,West Ham,West Ham United FC,West Ham United FC,ENG,2026,2022
