team_id,team_name,country,country_code,domestic_league
1,Metro Albion,Empireland,EXA,Empire Premier
2,Midoria Champions,Midoria,EXB,Midoria Super League
3,Smallia Kings,Smallia,EXC,Smallia First League
4,Cupmark Rangers,Cupmark,EXD,Cupmark League
5,Few Match Wanderers,Empireland,EXA,Empire Premier
6,Continental Giants,Empireland,EXA,Empire Premier
7,Low Score Veterans,Empireland,EXA,Empire Premier
8,Last Season Sparks,Midoria,EXB,Midoria Super League
9,Distant History FC,Cupmark,EXD,Cupmark League
10,Double Crown Athletic,Midoria,EXB,Midoria Super League
