season,team_id,team_name_source,country_code,club_points_t_minus_4,played_t_minus_4,matches_t_minus_4,match_cap_t_minus_4,club_points_t_minus_3,played_t_minus_3,matches_t_minus_3,match_cap_t_minus_3,club_points_t_minus_2,played_t_minus_2,matches_t_minus_2,match_cap_t_minus_2,club_points_t_minus_1,played_t_minus_1,matches_t_minus_1,match_cap_t_minus_1,club_points_t,played_t,matches_t,match_cap_t,official_club_coefficient,country_part
2026/27,AO-UEFA-50048,AF Elbasani,ALB,0.0,0,0,6,0.0,0,0,6,0.0,0,0,6,0.0,0,0,6,0.0,0,0,6,0.0,0.0
2026/27,AO-UEFA-52792,Dinamo Tirana,ALB,0.0,0,0,6,0.0,0,0,6,0.0,0,0,6,0.0,0,0,6,2.5,1,6,6,2.5,1.625
2026/27,AO-UEFA-88148,Egnatia Rrogozhinë,ALB,0.0,0,0,6,0.0,0,0,6,1.0,1,2,6,1.5,1,4,6,2.0,1,6,6,4.5,1.625
2026/27,AO-UEFA-52878,Vllaznia Shkodër,ALB,1.5,1,4,6,1.5,1,2,6,1.0,1,2,6,1.0,1,2,6,1.5,1,4,6,6.5,1.625
2026/27,AO-UEFA-88371,Atlètic Club d'Escaldes,AND,0.0,0,0,6,1.0,1,2,6,1.5,1,3,6,1.0,1,2,6,1.5,1,4,6,5.0,1.366
2026/27,AO-UEFA-62180,FC Santa Coloma,AND,1.5,1,4,6,0.0,0,0,6,2.0,1,6,6,0.0,0,0,6,1.5,1,4,6,5.0,1.366
2026/27,AO-UEFA-63401,Inter Club d'Escaldes,AND,1.5,1,4,6,1.5,1,4,6,1.5,1,4,6,1.5,1,4,6,1.5,1,4,6,7.5,1.366
2026/27,AO-UEFA-2605268,Alashkert FC,ARM,2.5,1,14,6,1.0,1,2,6,1.5,1,4,6,0.0,0,0,6,0.0,0,0,6,5.0,3.012
2026/27,AO-UEFA-2610304,Ararat-Armenia,ARM,0.0,0,0,6,1.5,1,2,6,1.5,1,4,6,2.0,1,4,6,2.0,1,4,6,7.0,3.012
2026/27,AO-UEFA-2609987,FC Noah,ARM,1.0,1,2,6,0.0,0,0,6,0.0,0,0,6,3.0,1,14,6,6.75,1,16,6,10.75,3.012
2026/27,AO-UEFA-77431,Pyunik Yerevan,ARM,0.0,0,0,6,4.0,1,14,6,2.0,1,6,6,2.5,1,8,6,1.5,1,4,6,10.0,3.012
2026/27,AO-UEFA-50110,Austria Wien,AUT,1.5,1,2,6,2.5,1,8,6,2.0,1,4,6,1.5,1,2,6,2.0,1,4,6,9.5,6.77
2026/27,AO-UEFA-50030,FC Salzburg,AUT,17.0,1,10,6,9.0,1,8,6,7.0,1,6,6,8.0,1,12,8,4.0,1,12,8,45.0,6.77
2026/27,AO-UEFA-63405,LASK,AUT,15.0,1,12,6,0.0,0,0,6,3.0,1,8,6,3.0,1,8,6,0.0,0,0,6,21.0,6.77
2026/27,AO-UEFA-50042,Rapid Wien,AUT,4.0,1,14,6,2.5,1,6,6,2.5,1,4,6,18.25,1,16,6,2.5,1,12,6,29.75,6.77
2026/27,AO-UEFA-50111,Sturm Graz,AUT,3.0,1,8,6,6.0,1,8,6,4.0,1,12,6,10.0,1,8,8,5.0,1,10,8,28.0,6.77
2026/27,AO-UEFA-59890,Neftchi Baku,AZB,2.5,1,8,6,2.0,1,4,6,2.0,1,4,6,0.0,0,0,6,0.0,0,0,6,6.5,4.587
2026/27,AO-UEFA-60609,Qarabag FK,AZB,9.0,1,14,6,6.0,1,16,6,11.0,1,18,6,3.0,1,14,8,13.75,1,16,8,42.75,4.587
2026/27,AO-UEFA-2609356,Sabah FK,AZB,0.0,0,0,6,0.0,0,0,6,2.0,1,4,6,2.0,1,4,6,2.0,1,6,6,6.0,4.587
2026/27,AO-UEFA-2607480,Zira FK,AZB,0.0,0,0,6,1.5,1,2,6,0.0,0,0,6,2.5,1,8,6,1.5,1,2,6,5.5,4.587
2026/27,AO-UEFA-66168,BATE Borisov,BLS,1.5,1,2,6,1.5,1,2,6,2.5,1,8,6,0.0,0,0,6,0.0,0,0,6,5.5,1.325
2026/27,AO-UEFA-50161,Dinamo Minsk,BLS,0.0,0,0,6,1.5,1,4,6,1.0,1,2,6,2.5,1,14,6,1.5,1,4,6,6.5,1.325
2026/27,AO-UEFA-2613945,ML Vitebsk,BLS,0.0,0,0,6,0.0,0,0,6,0.0,0,0,6,0.0,0,0,6,0.0,0,0,6,0.0,0.0
2026/27,AO-UEFA-4608,AA Gent,BEL,11.0,1,14,6,11.0,1,14,6,10.0,1,14,6,7.0,1,14,6,0.0,0,0,6,39.0,12.45
2026/27,AO-UEFA-50074,Anderlecht,BEL,2.5,1,4,6,12.0,1,16,6,0.0,0,0,6,13.75,1,12,8,2.5,1,6,6,30.75,12.45
2026/27,AO-UEFA-50043,Club Brugge,BEL,7.0,1,6,6,17.0,1,8,6,21.0,1,18,6,15.75,1,12,8,14.5,1,14,8,75.25,12.45
2026/27,AO-UEFA-52883,Sint-Truiden,BEL,0.0,0,0,6,0.0,0,0,6,0.0,0,0,6,0.0,0,0,6,0.0,0,0,6,0.0,0.0
2026/27,AO-UEFA-64125,Union Saint-Gilloise,BEL,0.0,0,0,6,19.0,1,12,6,8.0,1,12,6,9.0,1,12,8,12.0,1,8,8,48.0,12.45
2026/27,AO-UEFA-50104,Borac Banja Luka,BOS,1.5,1,4,6,1.0,1,2,6,1.5,1,2,6,8.12,1,18,6,1.0,1,2,6,13.125,2.743
2026/27,AO-UEFA-64378,FK Sarajevo,BOS,1.0,1,2,6,0.0,0,0,6,1.0,1,2,6,1.5,1,4,6,1.5,1,2,6,5.0,2.743
2026/27,AO-UEFA-50163,Velez Mostar,BOS,2.0,1,6,6,1.5,1,2,6,0.0,0,0,6,1.0,1,2,6,0.0,0,0,6,4.5,2.743
2026/27,AO-UEFA-73390,Zrinjski Mostar,BOS,0.0,0,0,6,2.5,1,8,6,3.0,1,14,6,2.5,1,6,6,5.25,1,16,6,13.25,2.743
2026/27,AO-UEFA-2610262,CSKA 1948 Sofia,BUL,0.0,0,0,6,0.0,0,0,6,1.5,1,2,6,2.0,1,4,6,0.0,0,0,6,3.5,4.212
2026/27,AO-UEFA-2608297,CSKA Sofia,BUL,2.5,1,12,6,2.5,1,6,6,1.5,1,2,6,0.0,0,0,6,0.0,0,0,6,6.5,4.212
2026/27,AO-UEFA-50044,Levski Sofia,BUL,0.0,0,0,6,2.0,1,4,6,2.5,1,6,6,0.0,0,0,6,2.5,1,8,6,7.0,4.212
2026/27,AO-UEFA-2603104,Ludogorets Razgrad,BUL,3.0,1,14,6,5.0,1,16,6,9.0,1,16,6,4.0,1,16,8,7.75,1,18,8,28.75,4.212
2026/27,AO-UEFA-50164,Dinamo Zagreb,CRO,9.0,1,16,6,7.0,1,12,6,9.0,1,16,6,14.0,1,10,8,7.5,1,10,8,46.5,5.631
2026/27,AO-UEFA-52359,Hajduk Split,CRO,1.5,1,2,6,2.5,1,4,6,2.0,1,2,6,2.0,1,4,6,2.0,1,4,6,10.0,5.631
2026/27,AO-UEFA-52356,NK Rijeka,CRO,2.5,1,6,6,1.5,1,2,6,2.5,1,6,6,2.5,1,6,6,9.62,1,16,6,18.625,5.631
2026/27,AO-UEFA-60514,NK Varazdin,CRO,0.0,0,0,6,0.0,0,0,6,0.0,0,0,6,0.0,0,0,6,1.5,1,2,6,1.5,5.631
2026/27,AO-UEFA-54191,AEK Larnaca,CYP,0.0,0,0,6,4.0,1,16,6,2.0,1,4,6,1.5,1,2,6,12.75,1,16,6,20.25,7.138
2026/27,AO-UEFA-52741,Apollon Limassol,CYP,1.5,1,2,6,5.0,1,10,6,0.0,0,0,6,0.0,0,0,6,0.0,0,0,6,6.5,7.138
2026/27,AO-UEFA-50077,Omonia Nicosia,CYP,4.0,1,12,6,3.0,1,8,6,2.0,1,4,6,5.38,1,14,6,6.88,1,14,6,21.25,7.138
2026/27,AO-UEFA-2609532,Pafos FC,CYP,0.0,0,0,6,0.0,0,0,6,0.0,0,0,6,11.12,1,18,6,13.0,1,14,8,24.125,7.138
2026/27,AO-UEFA-62169,FK Jablonec,CZE,5.0,1,10,6,0.0,0,0,6,0.0,0,0,6,0.0,0,0,6,0.0,0,0,6,5.0,9.705
2026/27,AO-UEFA-59878,Hradec Kralove,CZE,0.0,0,0,6,0.0,0,0,6,0.0,0,0,6,0.0,0,0,6,0.0,0,0,6,0.0,0.0
2026/27,AO-UEFA-52498,Slavia Praha,CZE,10.0,1,16,6,6.0,1,12,6,15.0,1,12,6,4.0,1,12,8,9.0,1,8,8,44.0,9.705
2026/27,AO-UEFA-50033,Sparta Praha,CZE,5.0,1,12,6,1.5,1,2,6,10.0,1,14,6,9.0,1,14,8,12.75,1,14,6,38.25,9.705
2026/27,AO-UEFA-64388,Viktoria Plzen,CZE,2.5,1,6,6,4.0,1,12,6,17.0,1,16,6,13.25,1,16,8,13.75,1,14,8,50.5,9.705
2026/27,AO-UEFA-50019,AGF Aarhus,DEN,1.5,1,2,6,0.0,0,0,6,1.5,1,2,6,0.0,0,0,6,0.0,0,0,6,3.0,8.421
2026/27,AO-UEFA-52709,FC København,DEN,13.0,1,14,6,7.0,1,8,6,15.0,1,14,6,7.38,1,16,6,12.0,1,14,8,54.375,8.421
2026/27,AO-UEFA-75795,FC Midtjylland,DEN,7.0,1,12,6,8.0,1,12,6,2.5,1,6,6,9.25,1,16,8,21.5,1,16,8,48.25,8.421
2026/27,AO-UEFA-79940,FC Nordsjælland,DEN,0.0,0,0,6,0.0,0,0,6,7.0,1,10,6,0.0,0,0,6,0.0,0,0,6,7.0,8.421
2026/27,AO-UEFA-2601124,AFC Bournemouth,ENG,0.0,0,0,6,0.0,0,0,6,0.0,0,0,6,0.0,0,0,6,0.0,0,0,6,0.0,0.0
2026/27,AO-UEFA-52280,Arsenal,ENG,0.0,0,0,6,17.0,1,8,6,22.0,1,10,6,36.0,1,14,8,44.0,1,15,8,119.0,23.903
2026/27,AO-UEFA-52683,Aston Villa,ENG,0.0,0,0,6,0.0,0,0,6,17.0,1,14,6,30.25,1,12,8,35.75,1,15,8,83.0,23.903
2026/27,AO-UEFA-2601105,Brighton & Hove Albion,ENG,0.0,0,0,6,0.0,0,0,6,16.0,1,8,6,0.0,0,0,6,0.0,0,0,6,16.0,23.903
2026/27,AO-UEFA-52916,Crystal Palace,ENG,0.0,0,0,6,0.0,0,0,6,0.0,0,0,6,0.0,0,0,6,21.88,1,17,6,21.88,23.903
2026/27,AO-UEFA-7889,Liverpool,ENG,33.0,1,13,6,19.0,1,8,6,20.0,1,10,6,29.5,1,10,8,28.5,1,12,8,130.0,23.903
