season,country,country_code,points_t_minus_4,points_t_minus_3,points_t_minus_2,points_t_minus_1,points_t,official_five_year_total,official_country_rank
2026/27,Albania,ALB,1.625,0.875,2.125,1.25,2.25,8.125,44
2026/27,Andorra,AND,1.5,0.666,1.666,1.0,2.0,6.832,49
2026/27,Armenia,ARM,1.875,2.375,2.25,4.375,4.187,15.062,33
2026/27,Austria,AUT,10.4,4.9,4.8,9.65,4.1,33.85,17
2026/27,Azerbaijan,AZB,4.375,4.0,5.875,2.875,5.812,22.937,27
2026/27,Belgium,BEL,6.6,14.2,14.4,15.65,11.4,62.25,8
2026/27,Belarus,BLS,0.25,0.625,1.75,1.875,2.125,6.625,50
2026/27,Bosnia-Herzegovina,BOS,1.625,2.0,2.25,4.531,3.312,13.718,38
2026/27,Bulgaria,BUL,3.375,4.5,4.375,3.625,5.187,21.062,30
2026/27,Croatia,CRO,6.0,3.375,5.875,5.875,7.031,28.156,20
2026/27,Cyprus,CYP,4.125,5.1,3.75,10.562,12.156,35.693,15
2026/27,Czechia,CZE,6.7,6.75,13.5,10.55,11.025,48.525,10
2026/27,Denmark,DEN,7.8,5.9,8.5,7.656,12.25,42.106,13
2026/27,England,ENG,21.0,23.0,17.375,29.464,28.68,119.519,1
2026/27,Spain,ESP,18.428,16.571,16.062,23.892,22.093,97.046,3
2026/27,Estonia,EST,3.666,1.166,0.125,1.625,1.625,8.207,43
2026/27,Faroe Islands,FAR,1.5,2.25,2.75,1.5,1.75,9.75,40
2026/27,Finland,FIN,3.75,2.625,1.75,2.25,3.625,14.0,35
2026/27,France,FRA,18.416,12.583,16.25,17.928,18.321,83.498,5
2026/27,Georgia,GEO,1.25,1.125,1.25,1.25,1.125,6.0,53
2026/27,Germany,GER,16.214,17.125,19.357,18.421,21.785,92.902,4
2026/27,Gibraltar,GIB,1.25,0.875,0.166,1.5,3.333,7.124,48
2026/27,Greece,GRE,8.0,2.125,11.4,12.687,14.2,48.412,11
2026/27,Hungary,HUN,2.75,5.875,4.5,6.625,7.437,27.187,22
2026/27,Ireland,IRL,2.875,3.375,1.5,5.343,4.25,17.343,31
2026/27,Iceland,ISL,1.5,3.0,3.833,4.562,3.625,16.52,32
2026/27,Israel,ISR,6.75,6.25,8.75,2.875,2.875,27.5,21
2026/27,Italy,ITA,15.714,22.357,21.0,21.875,19.0,99.946,2
2026/27,Kazakhstan,KAZ,2.875,1.125,3.125,3.0,3.625,13.75,37
2026/27,Kosovo,KOS,2.333,2.875,3.0,2.0,3.781,13.989,36
2026/27,Latvia,LAT,2.625,2.75,1.625,3.875,2.0,12.875,39
2026/27,Liechtenstein,LIE,0.0,6.5,0.5,0.5,1.0,8.5,42
2026/27,Lithuania,LIT,1.75,2.375,1.125,1.375,1.125,7.75,46
2026/27,Luxembourg,LUX,1.25,1.125,2.25,1.25,0.75,6.625,51
2026/27,North Macedonia,MAC,0.625,1.625,1.5,0.666,3.343,7.759,45
2026/27,Malta,MLT,1.875,2.625,1.5,1.0,2.0,9.0,41
2026/27,Moldova,MOL,5.25,3.75,2.0,2.125,1.5,14.625,34
2026/27,Montenegro,MON,0.75,1.0,1.333,2.5,1.0,6.583,52
2026/27,Netherlands,NED,19.2,13.5,10.0,15.25,9.979,67.929,7
2026/27,Northern Ireland,NIR,1.625,1.25,1.125,1.5,1.75,7.25,47
2026/27,Norway,NOR,7.625,5.75,8.0,11.812,8.05,41.237,14
2026/27,Poland,POL,4.625,7.75,6.875,11.75,15.75,46.75,12
2026/27,Portugal,POR,12.916,12.5,11.0,16.25,20.5,73.166,6
2026/27,Romania,ROM,2.25,6.25,3.25,7.75,5.75,25.25,25
2026/27,Scotland,SCO,7.9,3.5,6.4,9.25,5.0,32.05,18
2026/27,Slovenia,SLO,3.0,2.125,3.875,9.093,6.375,24.468,26
2026/27,San Marino,SMA,0.166,0.833,0.333,0.666,0.833,2.831,55
2026/27,Serbia,SRB,9.5,5.375,1.4,3.725,5.75,25.75,24
2026/27,Switzerland,SUI,7.75,8.5,5.2,7.05,6.2,34.7,16
2026/27,Slovakia,SVK,4.125,6.0,5.0,4.625,2.625,22.375,29
2026/27,Sweden,SWE,5.125,6.25,1.875,11.375,5.0,29.625,19
2026/27,Türkiye,TUR,6.7,11.8,12.0,10.3,11.075,51.875,9
2026/27,Ukraine,UKR,4.2,5.7,4.1,3.6,8.312,25.912,23
2026/27,Wales,WAL,1.5,1.166,0.625,2.0,0.333,5.624,54
