check,status,actual,expected
participant_count,PASS,237,237
team_id_unique,PASS,237,237
uefa_identity_complete,PASS,237,237
uefa_identity_unique,PASS,237,237
country_rows_complete,PASS,54,54
domestic_rows_complete,PASS,237,237
club_history_rows_complete,PASS,237,237
explicit_zero_history_rows,PASS,28,>0
domestic_history_coverage_audited,PASS,237,237
current_domestic_vintage_complete,PASS,237,237
current_domestic_source_cached,PASS,237,237
cup_route_stale_fallback_zero,PASS,0,0
cup_route_current_source_audited,PASS,36,36
domestic_history_window_current,PASS,237,237
completed_match_count_positive,PASS,428,>0
upcoming_fixture_count_positive,PASS,396,>0
completed_match_id_unique,PASS,428,428
upcoming_match_id_unique,PASS,396,396
completed_upcoming_match_ids_disjoint,PASS,0,0
match_team_identity_coverage,PASS,195,subset
rating_rows_complete,PASS,237,237
rating_finite,PASS,237,237
validation_warnings_zero,PASS,0,0
