season,team_id,domestic_position,league_team_count,is_league_champion,is_cup_winner,european_entry_type,competition,entry_round,history_position_t_minus_5,history_team_count_t_minus_5,history_position_t_minus_4,history_team_count_t_minus_4,history_position_t_minus_3,history_team_count_t_minus_3,history_position_t_minus_2,history_team_count_t_minus_2,history_position_t_minus_1,history_team_count_t_minus_1
2026/27,AO-UEFA-50048,2.0,10.0,False,False,N2,UECL,CO-Q1,,,,,,,,,5.0,10.0
2026/27,AO-UEFA-52792,4.0,10.0,False,True,CW,UECL,CO-Q1,,,9.0,10.0,,,7.0,10.0,3.0,10.0
2026/27,AO-UEFA-88148,1.0,10.0,True,False,CH,UCL,CL-Q1,,,8.0,10.0,3.0,10.0,1.0,10.0,1.0,10.0
2026/27,AO-UEFA-52878,3.0,10.0,False,False,N3,UECL,CO-Q1,2.0,10.0,5.0,10.0,4.0,10.0,3.0,10.0,2.0,10.0
2026/27,AO-UEFA-88371,5.0,10.0,False,True,CW,UECL,CO-Q1,4.0,8.0,4.0,8.0,2.0,10.0,3.0,10.0,2.0,10.0
2026/27,AO-UEFA-62180,4.0,10.0,False,False,N4,UECL,CO-Q1,2.0,8.0,5.0,8.0,4.0,10.0,4.0,10.0,3.0,10.0
2026/27,AO-UEFA-63401,1.0,10.0,True,False,CH,UCL,CL-Q1,1.0,8.0,1.0,8.0,4.0,10.0,2.0,10.0,1.0,10.0
2026/27,AO-UEFA-2605268,4.0,10.0,False,False,N4,UECL,CO-Q1,1.0,10.0,3.0,10.0,4.0,10.0,5.0,10.0,9.0,11.0
2026/27,AO-UEFA-2610304,1.0,10.0,True,False,CH,UCL,CL-Q1,5.0,10.0,2.0,10.0,3.0,10.0,3.0,10.0,2.0,11.0
2026/27,AO-UEFA-2609987,2.0,10.0,False,True,CW,UECL,CO-Q2,2.0,10.0,6.0,10.0,8.0,10.0,2.0,10.0,1.0,11.0
2026/27,AO-UEFA-77431,3.0,10.0,False,False,N3,UECL,CO-Q1,7.0,10.0,1.0,10.0,2.0,10.0,1.0,10.0,4.0,11.0
2026/27,AO-UEFA-50110,4.0,12.0,False,False,N4,UECL,CO-Q2,8.0,12.0,4.0,12.0,5.0,12.0,7.0,12.0,2.0,12.0
2026/27,AO-UEFA-50030,3.0,12.0,False,False,N3,UEL,EL-Q3,1.0,12.0,1.0,12.0,1.0,12.0,1.0,12.0,5.0,12.0
2026/27,AO-UEFA-63405,1.0,12.0,True,True,CH,UCL,CL-PO,3.0,12.0,8.0,12.0,3.0,12.0,3.0,12.0,7.0,12.0
2026/27,AO-UEFA-50042,5.0,12.0,False,False,N5,UECL,CO-Q2,2.0,12.0,5.0,12.0,4.0,12.0,6.0,12.0,5.0,12.0
2026/27,AO-UEFA-50111,2.0,12.0,False,False,N2,UCL,CL-Q2nc,4.0,12.0,2.0,12.0,2.0,12.0,2.0,12.0,1.0,12.0
2026/27,AO-UEFA-59890,4.0,12.0,False,False,N4,UECL,CO-Q2,1.0,8.0,2.0,8.0,3.0,10.0,5.0,10.0,6.0,10.0
