event_order,match_id,uefa_match_id,season,kickoff_utc,competition,round,source_round,tie_id,leg_number,is_knockout,is_tie_decider,is_single_match_tie,stage,home_team_id,away_team_id,home_team_name,away_team_name,is_neutral,home_goals,away_goals,actual_home_score,goal_difference,result_basis,decided_on_penalties,home_penalty_goals,away_penalty_goals,advanced_team_id,xg_home,xg_away,xg_analysis_eligible,xg_fallback
1,UEFA-2048621,2048621,2026/27,2026-07-07T16:00:00Z,UCL,1st Qualifying Round,First qualifying round,UEFA-TIE-2048621,1,True,False,False,QUALIFYING,AO-UEFA-2609356,AO-UEFA-60457,Sabah,The New Saints,False,2,0,1.0,2,UEFA_FIELD_SCORE_90_OR_120_EXCLUDES_SHOOTOUT,False,,,,,,False,GOAL_MARGIN_ONLY
2,UEFA-2048624,2048624,2026/27,2026-07-07T16:00:00Z,UCL,1st Qualifying Round,First qualifying round,UEFA-TIE-2048624,1,True,False,False,QUALIFYING,AO-UEFA-2605572,AO-UEFA-63401,L. Red Imps,Inter Escaldes,False,3,1,1.0,2,UEFA_FIELD_SCORE_90_OR_120_EXCLUDES_SHOOTOUT,False,,,,,,False,GOAL_MARGIN_ONLY
3,UEFA-2048626,2048626,2026/27,2026-07-07T16:00:00Z,UCL,1st Qualifying Round,First qualifying round,UEFA-TIE-2048626,1,True,False,False,QUALIFYING,AO-UEFA-2610304,AO-UEFA-2607924,Ararat-Armenia,Riga,False,2,0,1.0,2,UEFA_FIELD_SCORE_90_OR_120_EXCLUDES_SHOOTOUT,False,,,,,,False,GOAL_MARGIN_ONLY
4,UEFA-2048628,2048628,2026/27,2026-07-07T16:00:00Z,UCL,1st Qualifying Round,First qualifying round,UEFA-TIE-2048628,1,True,False,False,QUALIFYING,AO-UEFA-2605907,AO-UEFA-2608290,Kauno Žalgiris,Drita,False,1,1,0.5,0,UEFA_FIELD_SCORE_90_OR_120_EXCLUDES_SHOOTOUT,False,,,,,,False,GOAL_MARGIN_ONLY
5,UEFA-2048627,2048627,2026/27,2026-07-07T17:00:00Z,UCL,1st Qualifying Round,First qualifying round,UEFA-TIE-2048627,1,True,False,False,QUALIFYING,AO-UEFA-53080,AO-UEFA-52350,Vardar,KuPS Kuopio,False,0,2,0.0,2,UEFA_FIELD_SCORE_90_OR_120_EXCLUDES_SHOOTOUT,False,,,,,,False,GOAL_MARGIN_ONLY
6,UEFA-2048685,2048685,2026/27,2026-07-07T17:15:00Z,UECL,1st Qualifying Round,First qualifying round,UEFA-TIE-2048685,1,True,False,False,QUALIFYING,AO-UEFA-2603092,AO-UEFA-64508,UNA Strassen,La Fiorita,False,1,0,1.0,1,UEFA_FIELD_SCORE_90_OR_120_EXCLUDES_SHOOTOUT,False,,,,,,False,GOAL_MARGIN_ONLY
7,UEFA-2048622,2048622,2026/27,2026-07-07T17:30:00Z,UCL,1st Qualifying Round,First qualifying round,UEFA-TIE-2048622,1,True,False,False,QUALIFYING,AO-UEFA-50092,AO-UEFA-52381,Floriana,Shamrock Rovers,False,2,0,1.0,2,UEFA_FIELD_SCORE_90_OR_120_EXCLUDES_SHOOTOUT,False,,,,,,False,GOAL_MARGIN_ONLY
8,UEFA-2048669,2048669,2026/27,2026-07-07T18:00:00Z,UECL,1st Qualifying Round,First qualifying round,UEFA-TIE-2048669,1,True,False,False,QUALIFYING,AO-UEFA-50048,AO-UEFA-66168,ElbasanI,BATE,False,1,1,0.5,0,UEFA_FIELD_SCORE_90_OR_120_EXCLUDES_SHOOTOUT,False,,,,,,False,GOAL_MARGIN_ONLY
9,UEFA-2048625,2048625,2026/27,2026-07-07T18:30:00Z,UCL,1st Qualifying Round,First qualifying round,UEFA-TIE-2048625,1,True,False,False,QUALIFYING,AO-UEFA-64514,AO-UEFA-85009,Tre Fiori,Larne,False,0,1,0.0,1,UEFA_FIELD_SCORE_90_OR_120_EXCLUDES_SHOOTOUT,False,,,,,,False,GOAL_MARGIN_ONLY
10,UEFA-2048631,2048631,2026/27,2026-07-07T18:30:00Z,UCL,1st Qualifying Round,First qualifying round,UEFA-TIE-2048631,1,True,False,False,QUALIFYING,AO-UEFA-50104,AO-UEFA-50044,Borac,Levski Sofia,False,1,1,0.5,0,UEFA_FIELD_SCORE_90_OR_120_EXCLUDES_SHOOTOUT,False,,,,,,False,GOAL_MARGIN_ONLY
11,UEFA-2048634,2048634,2026/27,2026-07-07T18:45:00Z,UCL,1st Qualifying Round,First qualifying round,UEFA-TIE-2048634,1,True,False,False,QUALIFYING,AO-UEFA-57475,AO-UEFA-2605351,Klaksvík,Atert Bissen,False,2,1,1.0,1,UEFA_FIELD_SCORE_90_OR_120_EXCLUDES_SHOOTOUT,False,,,,,,False,GOAL_MARGIN_ONLY
12,UEFA-2048632,2048632,2026/27,2026-07-07T19:00:00Z,UCL,1st Qualifying Round,First qualifying round,UEFA-TIE-2048632,1,True,False,False,QUALIFYING,AO-UEFA-52697,AO-UEFA-52287,Víkingur R.,Győri ETO,False,1,0,1.0,1,UEFA_FIELD_SCORE_90_OR_120_EXCLUDES_SHOOTOUT,False,,,,3.28,0.34,True,FOTMOB_PRIMARY
13,UEFA-2048633,2048633,2026/27,2026-07-08T15:00:00Z,UCL,1st Qualifying Round,First qualifying round,UEFA-TIE-2048633,1,True,False,False,QUALIFYING,AO-UEFA-79970,AO-UEFA-73936,Kairat Almaty,Sutjeska,False,2,1,1.0,1,UEFA_FIELD_SCORE_90_OR_120_EXCLUDES_SHOOTOUT,False,,,,,,False,GOAL_MARGIN_ONLY
14,UEFA-2048623,2048623,2026/27,2026-07-08T16:00:00Z,UCL,1st Qualifying Round,First qualifying round,UEFA-TIE-2048623,1,True,False,False,QUALIFYING,AO-UEFA-59341,AO-UEFA-2605905,Flora Tallinn,Iberia Tbilisi,False,2,3,0.0,1,UEFA_FIELD_SCORE_90_OR_120_EXCLUDES_SHOOTOUT,False,,,,,,False,GOAL_MARGIN_ONLY
15,UEFA-2048665,2048665,2026/27,2026-07-08T16:00:00Z,UECL,1st Qualifying Round,First qualifying round,UEFA-TIE-2048665,1,True,False,False,QUALIFYING,AO-UEFA-2607480,AO-UEFA-64471,Zire,Torpedo Kutaisi,False,3,0,1.0,3,UEFA_FIELD_SCORE_90_OR_120_EXCLUDES_SHOOTOUT,False,,,,,,False,GOAL_MARGIN_ONLY
16,UEFA-2048629,2048629,2026/27,2026-07-08T17:00:00Z,UCL,1st Qualifying Round,First qualifying round,UEFA-TIE-2048629,1,True,False,False,QUALIFYING,AO-UEFA-2613945,AO-UEFA-2606501,ML Vitebsk,U. Craiova,False,1,4,0.0,3,UEFA_FIELD_SCORE_90_OR_120_EXCLUDES_SHOOTOUT,False,,,,,,False,GOAL_MARGIN_ONLY
17,UEFA-2048630,2048630,2026/27,2026-07-08T17:00:00Z,UCL,1st Qualifying Round,First qualifying round,UEFA-TIE-2048630,1,True,False,False,QUALIFYING,AO-UEFA-2607112,AO-UEFA-88148,Petrocub,Egnatia,False,1,1,0.5,0,UEFA_FIELD_SCORE_90_OR_120_EXCLUDES_SHOOTOUT,False,,,,,,False,GOAL_MARGIN_ONLY
18,UEFA-2048664,2048664,2026/27,2026-07-08T17:30:00Z,UECL,1st Qualifying Round,First qualifying round,UEFA-TIE-2048664,1,True,False,False,QUALIFYING,AO-UEFA-64275,AO-UEFA-2609552,Connah's Quay,Ballkani,False,0,0,0.5,0,UEFA_FIELD_SCORE_90_OR_120_EXCLUDES_SHOOTOUT,False,,,,,,False,GOAL_MARGIN_ONLY
19,UEFA-2048666,2048666,2026/27,2026-07-08T17:30:00Z,UECL,1st Qualifying Round,First qualifying round,UEFA-TIE-2048666,1,True,False,False,QUALIFYING,AO-UEFA-52309,AO-UEFA-2602511,Differdange,Ilves,False,0,0,0.5,0,UEFA_FIELD_SCORE_90_OR_120_EXCLUDES_SHOOTOUT,False,,,,,,False,GOAL_MARGIN_ONLY
20,UEFA-2048671,2048671,2026/27,2026-07-09T14:00:00Z,UECL,1st Qualifying Round,First qualifying round,UEFA-TIE-2048671,1,True,False,False,QUALIFYING,AO-UEFA-88371,AO-UEFA-89562,At. Escaldes,Mornar,False,2,1,1.0,1,UEFA_FIELD_SCORE_90_OR_120_EXCLUDES_SHOOTOUT,False,,,,,,False,GOAL_MARGIN_ONLY
21,UEFA-2048650,2048650,2026/27,2026-07-09T16:00:00Z,UEL,1st Qualifying Round,First qualifying round,UEFA-TIE-2048650,1,True,False,False,QUALIFYING,AO-UEFA-60609,AO-UEFA-2610384,Qarabağ,Vestri,False,3,0,1.0,3,UEFA_FIELD_SCORE_90_OR_120_EXCLUDES_SHOOTOUT,False,,,,2.43,0.14,True,FOTMOB_PRIMARY
22,UEFA-2048668,2048668,2026/27,2026-07-09T16:00:00Z,UECL,1st Qualifying Round,First qualifying round,UEFA-TIE-2048668,1,True,False,False,QUALIFYING,AO-UEFA-2606320,AO-UEFA-2600105,Liepāja,Dečić,False,1,0,1.0,1,UEFA_FIELD_SCORE_90_OR_120_EXCLUDES_SHOOTOUT,False,,,,,,False,GOAL_MARGIN_ONLY
23,UEFA-2048676,2048676,2026/27,2026-07-09T16:00:00Z,UECL,1st Qualifying Round,First qualifying round,UEFA-TIE-2048676,1,True,False,False,QUALIFYING,AO-UEFA-2607108,AO-UEFA-2600598,Hegelmann,Paide,False,1,1,0.5,0,UEFA_FIELD_SCORE_90_OR_120_EXCLUDES_SHOOTOUT,False,,,,,,False,GOAL_MARGIN_ONLY
24,UEFA-2048677,2048677,2026/27,2026-07-09T16:00:00Z,UECL,1st Qualifying Round,First qualifying round,UEFA-TIE-2048677,1,True,False,False,QUALIFYING,AO-UEFA-2605268,AO-UEFA-79966,Alashkert,Elimai,False,1,1,0.5,0,UEFA_FIELD_SCORE_90_OR_120_EXCLUDES_SHOOTOUT,False,,,,,,False,GOAL_MARGIN_ONLY
