season,team_id,club_id,uefa_team_id,team_name,uefa_team_name,country,country_code,identity_method,identity_source,identity_verified
2026/27,AO-UEFA-50048,AO-UEFA-50048,50048,AF Elbasani,ElbasanI,Albania,ALB,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-52792,AO-UEFA-52792,52792,Dinamo Tirana,Dinamo City,Albania,ALB,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-88148,AO-UEFA-88148,88148,Egnatia Rrogozhinë,Egnatia,Albania,ALB,HISTORICAL_UEFA_REGISTRY_EXACT,/Users/buycell/Desktop/Akil Oyunu Elo/data/club_identity/club_registry.csv,True
2026/27,AO-UEFA-52878,AO-UEFA-52878,52878,Vllaznia Shkodër,Vllaznia,Albania,ALB,HISTORICAL_UEFA_REGISTRY_EXACT,/Users/buycell/Desktop/Akil Oyunu Elo/data/club_identity/club_registry.csv,True
2026/27,AO-UEFA-88371,AO-UEFA-88371,88371,Atlètic Club d'Escaldes,At. Escaldes,Andorra,AND,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-62180,AO-UEFA-62180,62180,FC Santa Coloma,FC Santa Coloma,Andorra,AND,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-63401,AO-UEFA-63401,63401,Inter Club d'Escaldes,Inter Escaldes,Andorra,AND,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-2605268,AO-UEFA-2605268,2605268,Alashkert FC,Alashkert,Armenia,ARM,HISTORICAL_UEFA_REGISTRY_EXACT,/Users/buycell/Desktop/Akil Oyunu Elo/data/club_identity/club_registry.csv,True
2026/27,AO-UEFA-2610304,AO-UEFA-2610304,2610304,Ararat-Armenia,Ararat-Armenia,Armenia,ARM,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-2609987,AO-UEFA-2609987,2609987,FC Noah,Noah,Armenia,ARM,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
