competition,round,matches,stats_covered,stats_coverage_rate,xg_covered,xg_coverage_rate,xg_placeholder_suspected,xg_analysis_eligible,xg_analysis_eligible_rate,timeline_covered,timeline_coverage_rate,lineup_covered,lineup_coverage_rate
ALL,ALL,961,648,0.6742976067,648,0.6742976067,211,437,0.4547346514,938,0.9760665973,845,0.8792924037
UCL,ALL,281,215,0.7651245552,215,0.7651245552,54,161,0.5729537367,281,1,264,0.9395017794
UECL,ALL,409,195,0.4767726161,195,0.4767726161,83,112,0.2738386308,394,0.9633251834,338,0.826405868
UEL,ALL,271,238,0.8782287823,238,0.8782287823,74,164,0.6051660517,263,0.9704797048,243,0.8966789668
UCL,1,18,18,1,18,1,4,14,0.7777777778,18,1,18,1
UCL,125,8,8,1,8,1,0,8,1,8,1,8,1
UCL,150,4,4,1,4,1,0,4,1,4,1,4,1
UCL,16,16,16,1,16,1,0,16,1,16,1,16,1
UCL,2,18,12,0.6666666667,12,0.6666666667,3,9,0.5,18,1,12,0.6666666667
UCL,200,1,1,1,1,1,0,1,1,1,1,1,1
UCL,3,18,18,1,18,1,4,14,0.7777777778,18,1,18,1
UCL,32,16,16,1,16,1,0,16,1,16,1,16,1
UCL,4,18,18,1,18,1,7,11,0.6111111111,18,1,18,1
UCL,400,92,32,0.347826087,32,0.347826087,32,0,0,92,1,81,0.8804347826
UCL,5,18,18,1,18,1,1,17,0.9444444444,18,1,18,1
UCL,6,18,18,1,18,1,3,15,0.8333333333,18,1,18,1
UCL,7,18,18,1,18,1,0,18,1,18,1,18,1
UCL,8,18,18,1,18,1,0,18,1,18,1,18,1
UECL,1,18,18,1,18,1,10,8,0.4444444444,18,1,18,1
UECL,125,8,8,1,8,1,0,8,1,8,1,8,1
UECL,150,4,4,1,4,1,0,4,1,4,1,4,1
UECL,16,16,16,1,16,1,0,16,1,16,1,16,1
UECL,2,18,18,1,18,1,7,11,0.6111111111,18,1,18,1
UECL,200,1,1,1,1,1,0,1,1,1,1,1,1
UECL,3,18,18,1,18,1,7,11,0.6111111111,18,1,18,1
UECL,32,16,16,1,16,1,0,16,1,16,1,16,1
UECL,4,18,18,1,18,1,3,15,0.8333333333,18,1,18,1
UECL,400,256,42,0.1640625,42,0.1640625,42,0,0,241,0.94140625,185,0.72265625
UECL,5,18,18,1,18,1,6,12,0.6666666667,18,1,18,1
UECL,6,18,18,1,18,1,8,10,0.5555555556,18,1,18,1
UEL,1,18,18,1,18,1,2,16,0.8888888889,18,1,18,1
UEL,125,8,8,1,8,1,0,8,1,8,1,8,1
UEL,150,4,4,1,4,1,0,4,1,4,1,4,1
UEL,16,16,16,1,16,1,0,16,1,16,1,16,1
UEL,2,18,18,1,18,1,3,15,0.8333333333,18,1,18,1
UEL,200,1,1,1,1,1,0,1,1,1,1,1,1
UEL,3,18,18,1,18,1,4,14,0.7777777778,18,1,18,1
UEL,32,16,16,1,16,1,0,16,1,16,1,16,1
UEL,4,18,18,1,18,1,4,14,0.7777777778,18,1,18,1
UEL,400,82,49,0.5975609756,49,0.5975609756,49,0,0,74,0.9024390244,54,0.6585365854
UEL,5,18,18,1,18,1,6,12,0.6666666667,18,1,18,1
UEL,6,18,18,1,18,1,6,12,0.6666666667,18,1,18,1
UEL,7,18,18,1,18,1,0,18,1,18,1,18,1
UEL,8,18,18,1,18,1,0,18,1,18,1,18,1
