match_id,competition,source_event_id,record_order,idAPIfootball,idEvent,idLineup,idPlayer,idTeam,intSquadNumber,strCountry,strCutout,strEvent,strFormation,strHome,strPlayer,strPosition,strPositionShort,strSeason,strSubstitute,strTeam
202526-0001,UCL,2272338,1,1383432,2272338,688931,34175001,134095,45,,,Žalgiris Vilnius vs Ħamrun Spartans,,Yes,Joris Moutachy,Right-Back,D,2025-2026,No,Žalgiris Vilnius
202526-0001,UCL,2272338,2,1383432,2272338,688936,34176133,136188,15,,https://r2.thesportsdb.com/images/media/player/cutout/45f7ex1702646895.png,Žalgiris Vilnius vs Ħamrun Spartans,,Yes,Ebenezer Ofori,Midfielder,M,2025-2026,No,Vejle Boldklub
202526-0001,UCL,2272338,3,1383432,2272338,688950,34193687,133848,19,,,Žalgiris Vilnius vs Ħamrun Spartans,,No,N'Dri Koffi,,F,2025-2026,No,Le Mans
202526-0001,UCL,2272338,4,1383432,2272338,688941,34193815,138133,1,,,Žalgiris Vilnius vs Ħamrun Spartans,,No,Henry Bonello,Goalkeeper,G,2025-2026,No,Ħamrun Spartans
202526-0001,UCL,2272338,5,1383432,2272338,688945,34193817,138133,10,,https://r2.thesportsdb.com/images/media/player/cutout/1v07kf1633349646.png,Žalgiris Vilnius vs Ħamrun Spartans,,No,Joseph Mbong,Right Wing,M,2025-2026,No,Ħamrun Spartans
202526-0001,UCL,2272338,6,1383432,2272338,688940,34223782,137154,80,,,Žalgiris Vilnius vs Ħamrun Spartans,,Yes,Liviu Antal,Right Winger,F,2025-2026,No,_Free Agent Soccer
202526-0001,UCL,2272338,7,1383432,2272338,688937,34223786,134095,77,,,Žalgiris Vilnius vs Ħamrun Spartans,,Yes,Yuri Kendysh,Centre-Back,D,2025-2026,No,Žalgiris Vilnius
202526-0001,UCL,2272338,8,1383432,2272338,688935,34223801,134095,22,,,Žalgiris Vilnius vs Ħamrun Spartans,,Yes,Ovidijus Verbickas,Right Midfield,M,2025-2026,No,VMFD Zalgiris
202526-0001,UCL,2272338,9,1383432,2272338,688944,34224760,147446,3,,,Žalgiris Vilnius vs Ħamrun Spartans,,No,Nikolai Micallef,Defender,D,2025-2026,No,Naxxar Lions
202526-0001,UCL,2272338,10,1383432,2272338,688942,34224800,138133,91,,,Žalgiris Vilnius vs Ħamrun Spartans,,No,Emerson Marcelina,Midfielder,M,2025-2026,No,Ħamrun Spartans
