match_id,competition,source_event_id,record_order,idApiFootball,idEvent,idStatistic,intAway,intHome,strEvent,strStat
202526-0029,UCL,2291180,1,1405447,2291180,436220,0,0,RFS vs Malmo FF,Shots on Goal
202526-0029,UCL,2291180,2,1405447,2291180,436221,0,0,RFS vs Malmo FF,Shots off Goal
202526-0029,UCL,2291180,3,1405447,2291180,436222,0,0,RFS vs Malmo FF,Total Shots
202526-0029,UCL,2291180,4,1405447,2291180,436223,0,0,RFS vs Malmo FF,Blocked Shots
202526-0029,UCL,2291180,5,1405447,2291180,436224,0,0,RFS vs Malmo FF,Shots insidebox
202526-0029,UCL,2291180,6,1405447,2291180,436225,0,0,RFS vs Malmo FF,Shots outsidebox
202526-0029,UCL,2291180,7,1405447,2291180,436226,0,0,RFS vs Malmo FF,Fouls
202526-0029,UCL,2291180,8,1405447,2291180,436227,0,0,RFS vs Malmo FF,Corner Kicks
202526-0029,UCL,2291180,9,1405447,2291180,436228,0,0,RFS vs Malmo FF,Offsides
202526-0029,UCL,2291180,10,1405447,2291180,436229,0,0,RFS vs Malmo FF,Ball Possession
202526-0029,UCL,2291180,11,1405447,2291180,436230,0,0,RFS vs Malmo FF,Yellow Cards
202526-0029,UCL,2291180,12,1405447,2291180,436231,0,0,RFS vs Malmo FF,Red Cards
202526-0029,UCL,2291180,13,1405447,2291180,436232,0,0,RFS vs Malmo FF,Goalkeeper Saves
202526-0029,UCL,2291180,14,1405447,2291180,436233,0,0,RFS vs Malmo FF,Total passes
202526-0029,UCL,2291180,15,1405447,2291180,436234,0,0,RFS vs Malmo FF,Passes accurate
202526-0029,UCL,2291180,16,1405447,2291180,436235,0,0,RFS vs Malmo FF,Passes %
202526-0029,UCL,2291180,17,1405447,2291180,436236,0,0,RFS vs Malmo FF,expected_goals
202526-0029,UCL,2291180,18,1405447,2291180,436237,0,0,RFS vs Malmo FF,goals_prevented
202526-0037,UCL,2291176,1,1405446,2291176,436256,5,3,Noah vs Ferencváros,Shots on Goal
202526-0037,UCL,2291176,2,1405446,2291176,436257,4,6,Noah vs Ferencváros,Shots off Goal
202526-0037,UCL,2291176,3,1405446,2291176,436258,10,10,Noah vs Ferencváros,Total Shots
202526-0037,UCL,2291176,4,1405446,2291176,436259,1,1,Noah vs Ferencváros,Blocked Shots
202526-0037,UCL,2291176,5,1405446,2291176,436260,8,3,Noah vs Ferencváros,Shots insidebox
202526-0037,UCL,2291176,6,1405446,2291176,436261,2,7,Noah vs Ferencváros,Shots outsidebox
202526-0037,UCL,2291176,7,1405446,2291176,436262,9,11,Noah vs Ferencváros,Fouls
202526-0037,UCL,2291176,8,1405446,2291176,436263,5,2,Noah vs Ferencváros,Corner Kicks
202526-0037,UCL,2291176,9,1405446,2291176,436264,0,1,Noah vs Ferencváros,Offsides
202526-0037,UCL,2291176,10,1405446,2291176,436265,44,56,Noah vs Ferencváros,Ball Possession
202526-0037,UCL,2291176,11,1405446,2291176,436266,0,2,Noah vs Ferencváros,Yellow Cards
202526-0037,UCL,2291176,12,1405446,2291176,436267,1,0,Noah vs Ferencváros,Red Cards
202526-0037,UCL,2291176,13,1405446,2291176,436268,3,3,Noah vs Ferencváros,Goalkeeper Saves
202526-0037,UCL,2291176,14,1405446,2291176,436269,323,421,Noah vs Ferencváros,Total passes
202526-0037,UCL,2291176,15,1405446,2291176,436270,252,352,Noah vs Ferencváros,Passes accurate
202526-0037,UCL,2291176,16,1405446,2291176,436271,78,84,Noah vs Ferencváros,Passes %
202526-0037,UCL,2291176,17,1405446,2291176,436272,0,0,Noah vs Ferencváros,expected_goals
202526-0037,UCL,2291176,18,1405446,2291176,436273,0,0,Noah vs Ferencváros,goals_prevented
202526-0038,UCL,2291195,1,1405463,2291195,436724,7,6,Ferencváros vs Noah,Shots on Goal
202526-0038,UCL,2291195,2,1405463,2291195,436725,3,7,Ferencváros vs Noah,Shots off Goal
202526-0038,UCL,2291195,3,1405463,2291195,436726,10,15,Ferencváros vs Noah,Total Shots
202526-0038,UCL,2291195,4,1405463,2291195,436727,0,2,Ferencváros vs Noah,Blocked Shots
202526-0038,UCL,2291195,5,1405463,2291195,436728,6,8,Ferencváros vs Noah,Shots insidebox
202526-0038,UCL,2291195,6,1405463,2291195,436729,4,7,Ferencváros vs Noah,Shots outsidebox
202526-0038,UCL,2291195,7,1405463,2291195,436730,14,15,Ferencváros vs Noah,Fouls
202526-0038,UCL,2291195,8,1405463,2291195,436731,1,3,Ferencváros vs Noah,Corner Kicks
202526-0038,UCL,2291195,9,1405463,2291195,436732,1,5,Ferencváros vs Noah,Offsides
202526-0038,UCL,2291195,10,1405463,2291195,436733,52,48,Ferencváros vs Noah,Ball Possession
202526-0038,UCL,2291195,11,1405463,2291195,436734,4,2,Ferencváros vs Noah,Yellow Cards
202526-0038,UCL,2291195,12,1405463,2291195,436735,0,0,Ferencváros vs Noah,Red Cards
202526-0038,UCL,2291195,13,1405463,2291195,436736,2,4,Ferencváros vs Noah,Goalkeeper Saves
202526-0038,UCL,2291195,14,1405463,2291195,436737,418,384,Ferencváros vs Noah,Total passes
202526-0038,UCL,2291195,15,1405463,2291195,436738,333,324,Ferencváros vs Noah,Passes accurate
202526-0038,UCL,2291195,16,1405463,2291195,436739,80,84,Ferencváros vs Noah,Passes %
202526-0038,UCL,2291195,17,1405463,2291195,436740,0,0,Ferencváros vs Noah,expected_goals
202526-0038,UCL,2291195,18,1405463,2291195,436741,0,0,Ferencváros vs Noah,goals_prevented
202526-0041,UCL,2291179,1,1405448,2291179,436238,1,5,FC Copenhagen vs Drita,Shots on Goal
202526-0041,UCL,2291179,2,1405448,2291179,436239,4,9,FC Copenhagen vs Drita,Shots off Goal
202526-0041,UCL,2291179,3,1405448,2291179,436240,8,16,FC Copenhagen vs Drita,Total Shots
202526-0041,UCL,2291179,4,1405448,2291179,436241,3,2,FC Copenhagen vs Drita,Blocked Shots
202526-0041,UCL,2291179,5,1405448,2291179,436242,5,14,FC Copenhagen vs Drita,Shots insidebox
202526-0041,UCL,2291179,6,1405448,2291179,436243,3,2,FC Copenhagen vs Drita,Shots outsidebox
202526-0041,UCL,2291179,7,1405448,2291179,436244,10,9,FC Copenhagen vs Drita,Fouls
202526-0041,UCL,2291179,8,1405448,2291179,436245,3,6,FC Copenhagen vs Drita,Corner Kicks
202526-0041,UCL,2291179,9,1405448,2291179,436246,1,1,FC Copenhagen vs Drita,Offsides
202526-0041,UCL,2291179,10,1405448,2291179,436247,35,65,FC Copenhagen vs Drita,Ball Possession
202526-0041,UCL,2291179,11,1405448,2291179,436248,3,1,FC Copenhagen vs Drita,Yellow Cards
202526-0041,UCL,2291179,12,1405448,2291179,436249,0,0,FC Copenhagen vs Drita,Red Cards
202526-0041,UCL,2291179,13,1405448,2291179,436250,3,1,FC Copenhagen vs Drita,Goalkeeper Saves
202526-0041,UCL,2291179,14,1405448,2291179,436251,277,536,FC Copenhagen vs Drita,Total passes
202526-0041,UCL,2291179,15,1405448,2291179,436252,204,462,FC Copenhagen vs Drita,Passes accurate
202526-0041,UCL,2291179,16,1405448,2291179,436253,74,86,FC Copenhagen vs Drita,Passes %
202526-0041,UCL,2291179,17,1405448,2291179,436254,0,0,FC Copenhagen vs Drita,expected_goals
202526-0041,UCL,2291179,18,1405448,2291179,436255,0,0,FC Copenhagen vs Drita,goals_prevented
202526-0053,UCL,2272359,1,1383453,2272359,436328,10,2,Brann vs Red Bull Salzburg,Shots on Goal
202526-0053,UCL,2272359,2,1383453,2272359,436329,6,5,Brann vs Red Bull Salzburg,Shots off Goal
202526-0053,UCL,2272359,3,1383453,2272359,436330,21,8,Brann vs Red Bull Salzburg,Total Shots
202526-0053,UCL,2272359,4,1383453,2272359,436331,5,1,Brann vs Red Bull Salzburg,Blocked Shots
202526-0053,UCL,2272359,5,1383453,2272359,436332,19,2,Brann vs Red Bull Salzburg,Shots insidebox
202526-0053,UCL,2272359,6,1383453,2272359,436333,2,6,Brann vs Red Bull Salzburg,Shots outsidebox
202526-0053,UCL,2272359,7,1383453,2272359,436334,18,10,Brann vs Red Bull Salzburg,Fouls
202526-0053,UCL,2272359,8,1383453,2272359,436335,7,1,Brann vs Red Bull Salzburg,Corner Kicks
202526-0053,UCL,2272359,9,1383453,2272359,436336,5,1,Brann vs Red Bull Salzburg,Offsides
202526-0053,UCL,2272359,10,1383453,2272359,436337,53,47,Brann vs Red Bull Salzburg,Ball Possession
202526-0053,UCL,2272359,11,1383453,2272359,436338,1,4,Brann vs Red Bull Salzburg,Yellow Cards
202526-0053,UCL,2272359,12,1383453,2272359,436339,0,0,Brann vs Red Bull Salzburg,Red Cards
202526-0053,UCL,2272359,13,1383453,2272359,436340,1,6,Brann vs Red Bull Salzburg,Goalkeeper Saves
202526-0053,UCL,2272359,14,1383453,2272359,436341,442,399,Brann vs Red Bull Salzburg,Total passes
202526-0053,UCL,2272359,15,1383453,2272359,436342,363,307,Brann vs Red Bull Salzburg,Passes accurate
202526-0053,UCL,2272359,16,1383453,2272359,436343,82,77,Brann vs Red Bull Salzburg,Passes %
202526-0053,UCL,2272359,17,1383453,2272359,436344,0,0,Brann vs Red Bull Salzburg,expected_goals
202526-0053,UCL,2272359,18,1383453,2272359,436345,0,0,Brann vs Red Bull Salzburg,goals_prevented
202526-0054,UCL,2272362,1,1383456,2272362,436688,5,4,Red Bull Salzburg vs Brann,Shots on Goal
202526-0054,UCL,2272362,2,1383456,2272362,436689,3,5,Red Bull Salzburg vs Brann,Shots off Goal
202526-0054,UCL,2272362,3,1383456,2272362,436690,10,11,Red Bull Salzburg vs Brann,Total Shots
202526-0054,UCL,2272362,4,1383456,2272362,436691,2,2,Red Bull Salzburg vs Brann,Blocked Shots
202526-0054,UCL,2272362,5,1383456,2272362,436692,6,5,Red Bull Salzburg vs Brann,Shots insidebox
202526-0054,UCL,2272362,6,1383456,2272362,436693,4,6,Red Bull Salzburg vs Brann,Shots outsidebox
202526-0054,UCL,2272362,7,1383456,2272362,436694,11,19,Red Bull Salzburg vs Brann,Fouls
202526-0054,UCL,2272362,8,1383456,2272362,436695,2,2,Red Bull Salzburg vs Brann,Corner Kicks
202526-0054,UCL,2272362,9,1383456,2272362,436696,3,2,Red Bull Salzburg vs Brann,Offsides
202526-0054,UCL,2272362,10,1383456,2272362,436697,63,37,Red Bull Salzburg vs Brann,Ball Possession
202526-0054,UCL,2272362,11,1383456,2272362,436698,6,5,Red Bull Salzburg vs Brann,Yellow Cards
202526-0054,UCL,2272362,12,1383456,2272362,436699,0,0,Red Bull Salzburg vs Brann,Red Cards
202526-0054,UCL,2272362,13,1383456,2272362,436700,3,4,Red Bull Salzburg vs Brann,Goalkeeper Saves
202526-0054,UCL,2272362,14,1383456,2272362,436701,595,345,Red Bull Salzburg vs Brann,Total passes
202526-0054,UCL,2272362,15,1383456,2272362,436702,510,274,Red Bull Salzburg vs Brann,Passes accurate
202526-0054,UCL,2272362,16,1383456,2272362,436703,86,79,Red Bull Salzburg vs Brann,Passes %
202526-0054,UCL,2272362,17,1383456,2272362,436704,0,0,Red Bull Salzburg vs Brann,expected_goals
202526-0054,UCL,2272362,18,1383456,2272362,436705,0,0,Red Bull Salzburg vs Brann,goals_prevented
202526-0055,UCL,2272356,1,1383450,2272356,436184,2,9,Viktoria Plzeň vs Servette,Shots on Goal
202526-0055,UCL,2272356,2,1383450,2272356,436185,2,11,Viktoria Plzeň vs Servette,Shots off Goal
202526-0055,UCL,2272356,3,1383450,2272356,436186,6,25,Viktoria Plzeň vs Servette,Total Shots
202526-0055,UCL,2272356,4,1383450,2272356,436187,2,5,Viktoria Plzeň vs Servette,Blocked Shots
202526-0055,UCL,2272356,5,1383450,2272356,436188,5,17,Viktoria Plzeň vs Servette,Shots insidebox
202526-0055,UCL,2272356,6,1383450,2272356,436189,1,8,Viktoria Plzeň vs Servette,Shots outsidebox
202526-0055,UCL,2272356,7,1383450,2272356,436190,10,5,Viktoria Plzeň vs Servette,Fouls
202526-0055,UCL,2272356,8,1383450,2272356,436191,3,9,Viktoria Plzeň vs Servette,Corner Kicks
202526-0055,UCL,2272356,9,1383450,2272356,436192,3,2,Viktoria Plzeň vs Servette,Offsides
202526-0055,UCL,2272356,10,1383450,2272356,436193,38,62,Viktoria Plzeň vs Servette,Ball Possession
202526-0055,UCL,2272356,11,1383450,2272356,436194,0,0,Viktoria Plzeň vs Servette,Yellow Cards
202526-0055,UCL,2272356,12,1383450,2272356,436195,0,0,Viktoria Plzeň vs Servette,Red Cards
202526-0055,UCL,2272356,13,1383450,2272356,436196,6,1,Viktoria Plzeň vs Servette,Goalkeeper Saves
202526-0055,UCL,2272356,14,1383450,2272356,436197,314,496,Viktoria Plzeň vs Servette,Total passes
202526-0055,UCL,2272356,15,1383450,2272356,436198,222,415,Viktoria Plzeň vs Servette,Passes accurate
202526-0055,UCL,2272356,16,1383450,2272356,436199,71,84,Viktoria Plzeň vs Servette,Passes %
202526-0055,UCL,2272356,17,1383450,2272356,436200,0,0,Viktoria Plzeň vs Servette,expected_goals
202526-0055,UCL,2272356,18,1383450,2272356,436201,0,0,Viktoria Plzeň vs Servette,goals_prevented
202526-0056,UCL,2272363,1,1383457,2272363,436706,8,5,Servette vs Viktoria Plzeň,Shots on Goal
202526-0056,UCL,2272363,2,1383457,2272363,436707,4,10,Servette vs Viktoria Plzeň,Shots off Goal
202526-0056,UCL,2272363,3,1383457,2272363,436708,14,17,Servette vs Viktoria Plzeň,Total Shots
202526-0056,UCL,2272363,4,1383457,2272363,436709,2,2,Servette vs Viktoria Plzeň,Blocked Shots
202526-0056,UCL,2272363,5,1383457,2272363,436710,10,8,Servette vs Viktoria Plzeň,Shots insidebox
