match_id,competition,source_event_id,home_shots_on_goal,away_shots_on_goal,home_shots_off_goal,away_shots_off_goal,home_total_shots,away_total_shots,home_blocked_shots,away_blocked_shots,home_shots_insidebox,away_shots_insidebox,home_shots_outsidebox,away_shots_outsidebox,home_fouls,away_fouls,home_corner_kicks,away_corner_kicks,home_offsides,away_offsides,home_ball_possession,away_ball_possession,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_goalkeeper_saves,away_goalkeeper_saves,home_total_passes,away_total_passes,home_passes_accurate,away_passes_accurate,home_passes,away_passes,home_expected_goals,away_expected_goals,home_goals_prevented,away_goals_prevented,stats_covered,xg_raw_present,xg_covered,xg_zero_inconsistent_with_shots,xg_both_zero,xg_placeholder_suspected,xg_analysis_eligible,xg_quality_status
202526-0003,UCL,2272328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0007,UCL,2272329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0025,UCL,2272330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0591,UECL,2272228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0009,UCL,2272331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0023,UCL,2272332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0587,UECL,2272229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0005,UCL,2272334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0011,UCL,2272333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0013,UCL,2272335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0015,UCL,2272337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0021,UCL,2272336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0001,UCL,2272338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0019,UCL,2272340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0027,UCL,2272339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0017,UCL,2272341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0573,UECL,2272230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0557,UECL,2272233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0288,UEL,2272310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,False,True,True,False,BOTH_ZERO_PLACEHOLDER
202526-0561,UECL,2272235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0577,UECL,2272234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0583,UECL,2272236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0294,UEL,2272311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,False,True,True,False,BOTH_ZERO_PLACEHOLDER
202526-0567,UECL,2272238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0597,UECL,2272237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0585,UECL,2272239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0284,UEL,2272313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,False,True,True,False,BOTH_ZERO_PLACEHOLDER
202526-0296,UEL,2272312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,False,True,True,False,BOTH_ZERO_PLACEHOLDER
202526-0292,UEL,2272314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,False,True,True,False,BOTH_ZERO_PLACEHOLDER
202526-0282,UEL,2272315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,False,True,True,False,BOTH_ZERO_PLACEHOLDER
202526-0559,UECL,2272242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0563,UECL,2272240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0565,UECL,2272241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0595,UECL,2272243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0286,UEL,2272316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,False,True,True,False,BOTH_ZERO_PLACEHOLDER
202526-0589,UECL,2272232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0569,UECL,2272245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0571,UECL,2272244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0575,UECL,2272246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0553,UECL,2272248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0555,UECL,2272247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0290,UEL,2272317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,False,True,True,False,BOTH_ZERO_PLACEHOLDER
202526-0579,UECL,2272250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0593,UECL,2272231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0599,UECL,2272249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0581,UECL,2272251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0024,UCL,2272342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0014,UCL,2272343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0002,UCL,2272347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
