match_id,competition,source_event_id,record_order,dateEvent,idAPIfootball,idAssist,idEvent,idPlayer,idTeam,idTimeline,intTime,strAssist,strComment,strCutout,strEvent,strHome,strPeriod,strPlayer,strSeason,strTeam,strTimeline,strTimelineDetail
202526-0001,UCL,2272338,1,2025-07-09,1383432,34223786,2272338,34223782,134095,1210507,59,Yuri Kendysh,,,Žalgiris Vilnius vs Ħamrun Spartans,Yes,,Liviu Antal,2025-2026,Žalgiris Vilnius,Goal,Normal Goal
202526-0001,UCL,2272338,2,2025-07-09,1383432,,2272338,34224760,138133,1210508,63,,,,Žalgiris Vilnius vs Ħamrun Spartans,No,,Nikolai Micallef,2025-2026,Ħamrun Spartans,subst,M. Hadzi
202526-0001,UCL,2272338,3,2025-07-09,1383432,,2272338,34284349,138133,1210509,75,,,,Žalgiris Vilnius vs Ħamrun Spartans,No,,Domantas Šimkus,2025-2026,Ħamrun Spartans,subst,Eder
202526-0001,UCL,2272338,4,2025-07-09,1383432,34233734,2272338,34287721,134095,1210510,84,Kassim Hadji,,,Žalgiris Vilnius vs Ħamrun Spartans,Yes,,Henrique Devens,2025-2026,Žalgiris Vilnius,subst,K. Hadji
202526-0001,UCL,2272338,5,2025-07-09,1383432,34176133,2272338,34233734,134095,1210511,85,Ebenezer Ofori,,,Žalgiris Vilnius vs Ħamrun Spartans,Yes,,Kassim Hadji,2025-2026,Žalgiris Vilnius,Goal,Normal Goal
202526-0001,UCL,2272338,6,2025-07-09,1383432,34334773,2272338,34223801,134095,1210512,90,Dino Salčinović,,,Žalgiris Vilnius vs Ħamrun Spartans,Yes,,Ovidijus Verbickas,2025-2026,Žalgiris Vilnius,subst,D. Salcinovic
202526-0001,UCL,2272338,7,2025-07-09,1383432,,2272338,34224965,138133,1210513,90,,,,Žalgiris Vilnius vs Ħamrun Spartans,No,,Matías García,2025-2026,Ħamrun Spartans,subst,S. Thioune
202526-0001,UCL,2272338,8,2025-07-09,1383432,,2272338,34246748,138133,1210514,90,,,,Žalgiris Vilnius vs Ħamrun Spartans,No,,Jovan Čađenović,2025-2026,Ħamrun Spartans,subst,M. El Fanis
202526-0001,UCL,2272338,9,2025-07-09,1383432,,2272338,34193687,138133,1210515,90,,,,Žalgiris Vilnius vs Ħamrun Spartans,No,,N'Dri Koffi,2025-2026,Ħamrun Spartans,subst,J. Djile
202526-0002,UCL,2272347,1,2025-07-15,1383439,,2272347,34246748,138133,1213130,14,,,,Ħamrun Spartans vs Žalgiris Vilnius,Yes,,Jovan Čađenović,2025-2026,Ħamrun Spartans,Card,Yellow Card
202526-0002,UCL,2272347,2,2025-07-15,1383439,,2272347,34235323,134095,1213131,24,,,,Ħamrun Spartans vs Žalgiris Vilnius,No,,Vasilije Radenović,2025-2026,Žalgiris Vilnius,Card,Yellow Card
202526-0002,UCL,2272347,3,2025-07-15,1383439,,2272347,34193817,138133,1213132,41,,,,Ħamrun Spartans vs Žalgiris Vilnius,Yes,,Joseph Mbong,2025-2026,Ħamrun Spartans,Goal,Normal Goal
202526-0002,UCL,2272347,4,2025-07-15,1383439,,2272347,34284349,138133,1213133,43,,,,Ħamrun Spartans vs Žalgiris Vilnius,Yes,,Domantas Šimkus,2025-2026,Ħamrun Spartans,Card,Yellow Card
202526-0002,UCL,2272347,5,2025-07-15,1383439,34334773,2272347,34242394,134095,1213134,46,Dino Salčinović,,,Ħamrun Spartans vs Žalgiris Vilnius,No,,Giedrius Matulevičius,2025-2026,Žalgiris Vilnius,subst,D. Salcinovic
202526-0002,UCL,2272347,6,2025-07-15,1383439,34235346,2272347,34223801,134095,1213135,67,Nemanja Mihajlović,,,Ħamrun Spartans vs Žalgiris Vilnius,No,,Ovidijus Verbickas,2025-2026,Žalgiris Vilnius,subst,N. Mihajlovic
202526-0003,UCL,2272328,1,2025-07-08,1383422,,2272328,34240513,134084,1229124,45,,,,KuPS vs Milsami Orhei,No,,Sibiry Keita,2025-2026,Milsami Orhei,Card,Yellow Card
202526-0003,UCL,2272328,2,2025-07-08,1383422,,2272328,34240513,134084,1229125,60,,,,KuPS vs Milsami Orhei,No,,Sibiry Keita,2025-2026,Milsami Orhei,subst,S. Chele
202526-0003,UCL,2272328,3,2025-07-08,1383422,,2272328,34348369,134018,1229126,65,,,,KuPS vs Milsami Orhei,Yes,,Joslyn Luyeye-Lutumba,2025-2026,KuPS,subst,M. Toure
202526-0003,UCL,2272328,4,2025-07-08,1383422,,2272328,34293292,134018,1229127,73,,,,KuPS vs Milsami Orhei,Yes,,Otto Ruoppi,2025-2026,KuPS,Goal,Normal Goal
202526-0003,UCL,2272328,5,2025-07-08,1383422,34231957,2272328,34250982,134018,1229128,74,Arttu Heinonen,,,KuPS vs Milsami Orhei,Yes,,Agon Sadiku,2025-2026,KuPS,subst,A. Heinonen
202526-0003,UCL,2272328,6,2025-07-08,1383422,34281863,2272328,34348367,134018,1229129,74,Jerry Voutilainen,,,KuPS vs Milsami Orhei,Yes,,Petteri Pennanen,2025-2026,KuPS,subst,J. Voutilainen
202526-0003,UCL,2272328,7,2025-07-08,1383422,,2272328,34178756,134018,1229130,83,,,,KuPS vs Milsami Orhei,Yes,,Jaakko Oksanen,2025-2026,KuPS,Card,Yellow Card
202526-0003,UCL,2272328,8,2025-07-08,1383422,34173569,2272328,34286639,134018,1229131,89,Niko Hämäläinen,,,KuPS vs Milsami Orhei,Yes,,Clinton Antwi,2025-2026,KuPS,subst,N. Hämäläinen
202526-0004,UCL,2272346,1,2025-07-15,1383438,,2272346,34174862,134018,1213120,15,,,,Milsami Orhei vs KuPS,No,,Ibrahim Cissé,2025-2026,KuPS,Card,Yellow Card
202526-0004,UCL,2272346,2,2025-07-15,1383438,,2272346,34293283,134018,1213121,40,,,,Milsami Orhei vs KuPS,No,,Samuli Miettinen,2025-2026,KuPS,Card,Yellow Card
202526-0004,UCL,2272346,3,2025-07-15,1383438,34173569,2272346,34348367,134018,1213122,62,Niko Hämäläinen,,,Milsami Orhei vs KuPS,No,,Petteri Juhana Pennanen,2025-2026,KuPS,subst,N. Hamalainen
202526-0004,UCL,2272346,4,2025-07-15,1383438,,2272346,34250982,134018,1213123,62,,,,Milsami Orhei vs KuPS,No,,Agon Sadiku,2025-2026,KuPS,subst,M. Toure
202526-0005,UCL,2272334,1,2025-07-08,1383428,,2272334,34291762,134312,1210439,40,,,,The New Saints vs Shkëndija,Yes,,Dominic Corness,2025-2026,The New Saints,Card,Yellow Card
202526-0005,UCL,2272334,2,2025-07-08,1383428,34219283,2272334,34246764,134312,1210440,45,Kade Craig,,,The New Saints vs Shkëndija,Yes,,Leo Smith,2025-2026,The New Saints,subst,K. Craig
202526-0005,UCL,2272334,3,2025-07-08,1383428,,2272334,34190817,134024,1210441,68,,,,The New Saints vs Shkëndija,No,,Endrit Krasniqi,2025-2026,Shkëndija,subst,A. Alhassan
202526-0005,UCL,2272334,4,2025-07-08,1383428,,2272334,34228597,134024,1210442,68,,,,The New Saints vs Shkëndija,No,,Liridon Latifi,2025-2026,Shkëndija,subst,V. Krstevski
