match_id,club_id_home,club_id_away,competition,ao_kickoff_utc,ao_home_team_name,ao_away_team_name,ao_home_goals,ao_away_goals,ao_decided_on_penalties,ao_home_penalty_goals,ao_away_penalty_goals,identity_method,identity_score_agrees,sportsdb_dateEvent,sportsdb_dateEventLocal,sportsdb_idAwayTeam,sportsdb_idEvent,sportsdb_idHomeTeam,sportsdb_idLeague,sportsdb_idVenue,sportsdb_intAwayScore,sportsdb_intHomeScore,sportsdb_intRound,sportsdb_strAwayTeam,sportsdb_strAwayTeamBadge,sportsdb_strCountry,sportsdb_strEvent,sportsdb_strEventAlternate,sportsdb_strFilename,sportsdb_strHomeTeam,sportsdb_strHomeTeamBadge,sportsdb_strLeague,sportsdb_strLeagueBadge,sportsdb_strPoster,sportsdb_strPostponed,sportsdb_strSeason,sportsdb_strSport,sportsdb_strStatus,sportsdb_strThumb,sportsdb_strTime,sportsdb_strTimeLocal,sportsdb_strTimestamp,sportsdb_strVenue,sportsdb_strVideo,sportsdb_idAPIfootball,sportsdb_intAwayScoreExtra,sportsdb_intHomeScoreExtra,sportsdb_intScore,sportsdb_intScoreVotes,sportsdb_intSpectators,sportsdb_strBanner,sportsdb_strCity,sportsdb_strDescriptionEN,sportsdb_strFanart,sportsdb_strGroup,sportsdb_strLocked,sportsdb_strMap,sportsdb_strOfficial,sportsdb_strResult,sportsdb_strSquare,sportsdb_strTweet1,sportsdb_strWeather
202526-0003,AO-UEFA-52350,AO-UEFA-2600714,UCL,2025-07-08 15:00:00+00:00,KuPS Kuopio,Milsami Orhei,1,0,False,,,DATE_SCORE_TEAM,True,2025-07-08,2025-07-08,134084,2272328,134018,4480,17367,0,1,400,Milsami Orhei,https://r2.thesportsdb.com/images/media/team/badge/rebsn21682081795.png,Finland,KuPS vs Milsami Orhei,Milsami Orhei @ KuPS,UEFA Champions League 2025-07-08 KuPS vs Milsami Orhei,KuPS,https://r2.thesportsdb.com/images/media/team/badge/qmrrop1717396470.png,UEFA Champions League,https://r2.thesportsdb.com/images/media/league/badge/facv1u1742998896.png,https://r2.thesportsdb.com/images/media/event/poster/3kioo11775242728.jpg,no,2025-2026,Soccer,FT,https://r2.thesportsdb.com/images/media/event/thumb/njt49b1750759062.jpg,15:00:00,18:00:00,2025-07-08T15:00:00,Väre Areena,https://www.youtube.com/watch?v=dj1ATjlMW50,1383422,,,,,,,,,,,unlocked,,,,,,
202526-0007,AO-UEFA-2605905,AO-UEFA-50152,UCL,2025-07-08 16:00:00+00:00,Iberia 1999,Malmö FF,1,3,False,,,DATE_SCORE_TEAM,True,2025-07-08,2025-07-08,134166,2272329,138046,4480,18454,3,1,400,Malmo FF,https://r2.thesportsdb.com/images/media/team/badge/429jzd1779940315.png,Georgia,Iberia 1999 vs Malmö,Malmo FF @ Iberia 1999,UEFA Champions League 2025-07-08 Iberia 1999 vs Malmö,Iberia 1999,https://r2.thesportsdb.com/images/media/team/badge/ifxpmk1615900731.png,UEFA Champions League,https://r2.thesportsdb.com/images/media/league/badge/facv1u1742998896.png,https://r2.thesportsdb.com/images/media/event/poster/qsbrwt1775242728.jpg,no,2025-2026,Soccer,FT,https://r2.thesportsdb.com/images/media/event/thumb/9c3zim1750759066.jpg,16:00:00,20:00:00,2025-07-08T16:00:00,Mikheil Meskhi Stadium,,1383423,,,,,,,,,,,unlocked,,,,,,
202526-0025,AO-UEFA-2609987,AO-UEFA-53078,UCL,2025-07-08 16:00:00+00:00,FC Noah,Buducnost Podgorica,1,0,False,,,DATE_SCORE_TEAM,True,2025-07-08,2025-07-08,133983,2272330,137895,4480,0,0,1,400,Budućnost Podgorica,https://r2.thesportsdb.com/images/media/team/badge/kckpa11579467122.png,Armenia,Noah vs Budućnost Podgorica,Budućnost Podgorica @ Noah,UEFA Champions League 2025-07-08 Noah vs Budućnost Podgorica,Noah,https://r2.thesportsdb.com/images/media/team/badge/qylmss1720503567.png,UEFA Champions League,https://r2.thesportsdb.com/images/media/league/badge/facv1u1742998896.png,https://r2.thesportsdb.com/images/media/event/poster/xeezr31775242729.jpg,no,2025-2026,Soccer,FT,https://r2.thesportsdb.com/images/media/event/thumb/6g3m191750759069.jpg,16:00:00,20:00:00,2025-07-08T16:00:00,,,1383424,,,,,,,,,,,unlocked,,,,,,
202526-0591,AO-UEFA-2605575,AO-UEFA-52991,UECL,2025-07-08 16:00:00+00:00,St Joseph's FC,Cliftonville,2,2,False,,,DATE_SCORE_TEAM,True,2025-07-08,2025-07-08,134063,2272228,140100,5071,0,2,2,400,Cliftonville,https://r2.thesportsdb.com/images/media/team/badge/f376e11615586063.png,Gibraltar,St Joseph's vs Cliftonville,Cliftonville @ St Josephs,UEFA Conference League 2025-07-08 St Joseph's vs Cliftonville,St Josephs,https://r2.thesportsdb.com/images/media/team/badge/fwrohu1596489266.png,UEFA Conference League,https://r2.thesportsdb.com/images/media/league/badge/ymfo5j1718775759.png,https://r2.thesportsdb.com/images/media/event/poster/oxg6b51775245141.jpg,no,2025-2026,Soccer,FT,https://r2.thesportsdb.com/images/media/event/thumb/rave261750758604.jpg,16:00:00,18:00:00,2025-07-08T16:00:00,,,1383458,,,,,,,,,,,unlocked,,,,,,
202526-0009,AO-UEFA-77482,AO-UEFA-2609104,UCL,2025-07-08 16:30:00+00:00,Levadia Tallinn,RFS Riga,0,1,False,,,DATE_SCORE_TEAM,True,2025-07-08,2025-07-08,137985,2272331,134046,4480,17212,1,0,400,RFS,https://r2.thesportsdb.com/images/media/team/badge/cep7qg1644854951.png,Estonia,Levadia Tallinn vs RFS,RFS @ Levadia Tallinn,UEFA Champions League 2025-07-08 Levadia Tallinn vs RFS,Levadia Tallinn,https://r2.thesportsdb.com/images/media/team/badge/nsdow61769308517.png,UEFA Champions League,https://r2.thesportsdb.com/images/media/league/badge/facv1u1742998896.png,https://r2.thesportsdb.com/images/media/event/poster/m6sabk1775242730.jpg,no,2025-2026,Soccer,FT,https://r2.thesportsdb.com/images/media/event/thumb/0di8e71750759073.jpg,16:30:00,19:30:00,2025-07-08T16:30:00,A. Le Coq Arena,https://www.youtube.com/watch?v=SrwCprhcQDU,1383425,,,,,,,,,,,unlocked,,,,,,
202526-0023,AO-UEFA-53081,AO-UEFA-79970,UCL,2025-07-08 17:00:00+00:00,Olimpija Ljubljana,Kairat Almaty,1,1,False,,,DATE_SCORE_TEAM,True,2025-07-08,2025-07-08,134602,2272332,134033,4480,22964,1,1,400,Kairat Almaty,https://r2.thesportsdb.com/images/media/team/badge/sz5y1m1579285078.png,Slovenia,Olimpija Ljubljana vs Kairat Almaty,Kairat Almaty @ Olimpija Ljubljana,UEFA Champions League 2025-07-08 Olimpija Ljubljana vs Kairat Almaty,Olimpija Ljubljana,https://r2.thesportsdb.com/images/media/team/badge/zsigfn1534874586.png,UEFA Champions League,https://r2.thesportsdb.com/images/media/league/badge/facv1u1742998896.png,https://r2.thesportsdb.com/images/media/event/poster/eknous1775242731.jpg,no,2025-2026,Soccer,FT,https://r2.thesportsdb.com/images/media/event/thumb/vlq3051750759077.jpg,17:00:00,19:00:00,2025-07-08T17:00:00,Stadion Stožice,,1383426,,,,,,,,,,,unlocked,,,,,,
202526-0587,AO-UEFA-50092,AO-UEFA-64283,UECL,2025-07-08 17:30:00+00:00,Floriana,Haverfordwest County,2,1,False,,,DATE_SCORE_TEAM,True,2025-07-08,2025-07-08,140057,2272229,134039,5071,0,1,2,400,Haverfordwest County,https://r2.thesportsdb.com/images/media/team/badge/7h3c0u1691820376.png,Malta,Floriana vs Haverfordwest County,Haverfordwest County @ Floriana,UEFA Conference League 2025-07-08 Floriana vs Haverfordwest County,Floriana,https://r2.thesportsdb.com/images/media/team/badge/zzd9zb1747880322.png,UEFA Conference League,https://r2.thesportsdb.com/images/media/league/badge/ymfo5j1718775759.png,https://r2.thesportsdb.com/images/media/event/poster/z9hd9x1775245142.jpg,no,2025-2026,Soccer,FT,https://r2.thesportsdb.com/images/media/event/thumb/5ecnor1750758607.jpg,17:30:00,19:30:00,2025-07-08T17:30:00,,,1383459,,,,,,,,,,,unlocked,,,,,,
202526-0005,AO-UEFA-60457,AO-UEFA-75807,UCL,2025-07-08 18:00:00+00:00,The New Saints,Shkendija Tetovo,0,0,False,,,DATE_SCORE_TEAM,True,2025-07-08,2025-07-08,134024,2272334,134312,4480,30975,0,0,400,Shkëndija,https://r2.thesportsdb.com/images/media/team/badge/4wv7i21717397649.png,England,The New Saints vs Shkëndija,Shkëndija @ The New Saints,UEFA Champions League 2025-07-08 The New Saints vs Shkëndija,The New Saints,https://r2.thesportsdb.com/images/media/team/badge/rxbv2i1689313887.png,UEFA Champions League,https://r2.thesportsdb.com/images/media/league/badge/facv1u1742998896.png,https://r2.thesportsdb.com/images/media/event/poster/on5ysu1775242733.jpg,no,2025-2026,Soccer,FT,https://r2.thesportsdb.com/images/media/event/thumb/hxa95d1750759084.jpg,18:00:00,19:00:00,2025-07-08T18:00:00,Park Hall,,1383428,,,,,,,,,,,unlocked,,,,,,
202526-0011,AO-UEFA-2608290,AO-UEFA-52309,UCL,2025-07-08 18:00:00+00:00,FC Drita,Differdange 03,1,0,False,,,DATE_SCORE_TEAM,True,2025-07-08,2025-07-08,134064,2272333,140098,4480,0,0,1,400,Differdange 03,https://r2.thesportsdb.com/images/media/team/badge/micxvx1513257944.png,Kosovo,Drita vs Differdange 03,Differdange 03 @ Drita,UEFA Champions League 2025-07-08 Drita vs Differdange 03,Drita,https://r2.thesportsdb.com/images/media/team/badge/o1gp0h1596487425.png,UEFA Champions League,https://r2.thesportsdb.com/images/media/league/badge/facv1u1742998896.png,https://r2.thesportsdb.com/images/media/event/poster/crl7ss1775242732.jpg,no,2025-2026,Soccer,FT,https://r2.thesportsdb.com/images/media/event/thumb/a81lz31750759080.jpg,18:00:00,20:00:00,2025-07-08T18:00:00,,,1383427,,,,,,,,,,,unlocked,,,,,,
202526-0013,AO-UEFA-59325,AO-UEFA-2605572,UCL,2025-07-08 18:00:00+00:00,Víkingur,Lincoln Red Imps,2,3,False,,,DATE_SCORE_TEAM,True,2025-07-08,2025-07-08,140040,2272335,134026,4480,17093,3,2,400,Lincoln Red Imps,https://r2.thesportsdb.com/images/media/team/badge/w1d87s1594393899.png,Faroe Islands,Víkingur Gøta vs Lincoln Red Imps,Lincoln Red Imps @ Víkingur Gøta,UEFA Champions League 2025-07-08 Víkingur Gøta vs Lincoln Red Imps,Víkingur Gøta,https://r2.thesportsdb.com/images/media/team/badge/tqgvkm1579294757.png,UEFA Champions League,https://r2.thesportsdb.com/images/media/league/badge/facv1u1742998896.png,https://r2.thesportsdb.com/images/media/event/poster/g8bdvn1775242734.jpg,no,2025-2026,Soccer,FT,https://r2.thesportsdb.com/images/media/event/thumb/h9ziue1750759088.jpg,18:00:00,19:00:00,2025-07-08T18:00:00,Við Djúpumýrar,,1383429,,,,,,,Klaksvík,,,,unlocked,,,,,,
