table,column,dtype,rows,non_null,null_rate,distinct_non_null
events,match_id,str,961,961,0,961
events,club_id_home,str,961,961,0,236
events,club_id_away,str,961,961,0,236
events,competition,str,961,961,0,3
events,ao_kickoff_utc,"datetime64[us, UTC]",961,961,0,242
events,ao_home_team_name,str,961,961,0,236
events,ao_away_team_name,str,961,961,0,236
events,ao_home_goals,int64,961,961,0,9
events,ao_away_goals,int64,961,961,0,8
events,ao_decided_on_penalties,bool,961,961,0,2
events,ao_home_penalty_goals,float64,961,17,0.9823100937,7
events,ao_away_penalty_goals,float64,961,17,0.9823100937,6
events,identity_method,str,961,961,0,2
events,identity_score_agrees,bool,961,961,0,2
events,sportsdb_dateEvent,str,961,961,0,78
events,sportsdb_dateEventLocal,str,961,945,0.01664932362,77
events,sportsdb_idAwayTeam,str,961,961,0,236
events,sportsdb_idEvent,str,961,961,0,961
events,sportsdb_idHomeTeam,str,961,961,0,236
events,sportsdb_idLeague,str,961,961,0,3
events,sportsdb_idVenue,str,961,961,0,216
events,sportsdb_intAwayScore,str,961,961,0,8
events,sportsdb_intHomeScore,str,961,961,0,9
events,sportsdb_intRound,str,961,961,0,14
events,sportsdb_strAwayTeam,str,961,961,0,236
events,sportsdb_strAwayTeamBadge,str,961,961,0,236
events,sportsdb_strCountry,str,961,961,0,52
events,sportsdb_strEvent,str,961,961,0,938
events,sportsdb_strEventAlternate,str,961,961,0,938
events,sportsdb_strFilename,str,961,961,0,961
events,sportsdb_strHomeTeam,str,961,961,0,236
events,sportsdb_strHomeTeamBadge,str,961,961,0,236
events,sportsdb_strLeague,str,961,961,0,3
events,sportsdb_strLeagueBadge,str,961,961,0,3
events,sportsdb_strPoster,str,961,961,0,961
events,sportsdb_strPostponed,str,961,961,0,1
events,sportsdb_strSeason,str,961,961,0,1
events,sportsdb_strSport,str,961,961,0,1
events,sportsdb_strStatus,str,961,961,0,4
events,sportsdb_strThumb,str,961,961,0,956
events,sportsdb_strTime,str,961,961,0,15
events,sportsdb_strTimeLocal,str,961,945,0.01664932362,24
events,sportsdb_strTimestamp,str,961,961,0,242
events,sportsdb_strVenue,str,961,961,0,220
events,sportsdb_strVideo,str,961,945,0.01664932362,74
events,sportsdb_idAPIfootball,str,961,961,0,961
events,sportsdb_intAwayScoreExtra,str,961,1,0.9989594173,1
events,sportsdb_intHomeScoreExtra,str,961,1,0.9989594173,1
events,sportsdb_intScore,str,961,4,0.9958376691,3
events,sportsdb_intScoreVotes,str,961,4,0.9958376691,1
events,sportsdb_intSpectators,str,961,3,0.9968782518,3
events,sportsdb_strBanner,str,961,961,0,1
events,sportsdb_strCity,str,961,945,0.01664932362,57
events,sportsdb_strDescriptionEN,str,961,945,0.01664932362,13
events,sportsdb_strFanart,str,961,8,0.9916753382,8
events,sportsdb_strGroup,str,961,945,0.01664932362,1
events,sportsdb_strLocked,str,961,961,0,1
events,sportsdb_strMap,object,961,0,1,0
