match_id,source_event_id,identity_status,identity_method,home_name_similarity,away_name_similarity,pair_name_similarity,score_agrees,kickoff_delta_seconds,sportsdb_home_goals,sportsdb_away_goals,sportsdb_status,sportsdb_round,sportsdb_home_team_id,sportsdb_away_team_id,sportsdb_home_team_name,sportsdb_away_team_name,competition,home_team_name,away_team_name
202526-0003,2272328,MATCHED,DATE_SCORE_TEAM,1,1,1,True,0,1,0,FT,400,134018,134084,KuPS,Milsami Orhei,UCL,KuPS Kuopio,Milsami Orhei
202526-0007,2272329,MATCHED,DATE_SCORE_TEAM,1,1,1,True,0,1,3,FT,400,138046,134166,Iberia 1999,Malmo FF,UCL,Iberia 1999,Malmö FF
202526-0025,2272330,MATCHED,DATE_SCORE_TEAM,1,1,1,True,0,1,0,FT,400,137895,133983,Noah,Budućnost Podgorica,UCL,FC Noah,Buducnost Podgorica
202526-0591,2272228,MATCHED,DATE_SCORE_TEAM,0.9523809524,1,0.9761904762,True,0,2,2,FT,400,140100,134063,St Josephs,Cliftonville,UECL,St Joseph's FC,Cliftonville
202526-0009,2272331,MATCHED,DATE_SCORE_TEAM,1,1,1,True,0,0,1,FT,400,134046,137985,Levadia Tallinn,RFS,UCL,Levadia Tallinn,RFS Riga
202526-0023,2272332,MATCHED,DATE_SCORE_TEAM,1,1,1,True,0,1,1,FT,400,134033,134602,Olimpija Ljubljana,Kairat Almaty,UCL,Olimpija Ljubljana,Kairat Almaty
202526-0587,2272229,MATCHED,DATE_SCORE_TEAM,1,1,1,True,0,2,1,FT,400,134039,140057,Floriana,Haverfordwest County,UECL,Floriana,Haverfordwest County
202526-0005,2272334,MATCHED,DATE_SCORE_TEAM,1,1,1,True,0,0,0,FT,400,134312,134024,The New Saints,Shkëndija,UCL,The New Saints,Shkendija Tetovo
202526-0011,2272333,MATCHED,DATE_SCORE_TEAM,1,1,1,True,0,1,0,FT,400,140098,134064,Drita,Differdange 03,UCL,FC Drita,Differdange 03
202526-0013,2272335,MATCHED,DATE_SCORE_TEAM,0.7619047619,1,0.880952381,True,0,2,3,FT,400,134026,140040,Víkingur Gøta,Lincoln Red Imps,UCL,Víkingur,Lincoln Red Imps
202526-0015,2272337,MATCHED,DATE_SCORE_TEAM,0.56,0.9,0.73,True,0,1,0,FT,400,140667,134347,Egnatia,Breiðablik,UCL,Egnatia Rrogozhinë,Breidablik
202526-0021,2272336,MATCHED,DATE_SCORE_TEAM,1,1,1,True,0,0,2,FT,400,138086,134341,Virtus,Zrinjski Mostar,UCL,AC Virtus,Zrinjski Mostar
202526-0001,2272338,MATCHED,DATE_SCORE_TEAM,1,0.9655172414,0.9827586207,True,0,2,0,FT,400,134095,138133,Žalgiris Vilnius,Ħamrun Spartans,UCL,Zalgiris Vilnius,Hamrun Spartans
202526-0019,2272340,MATCHED,DATE_SCORE_TEAM,1,1,1,True,0,3,1,FT,400,134005,137792,FCSB,Inter Club d'Escaldes,UCL,FCSB,Inter Club d'Escaldes
202526-0027,2272339,MATCHED,DATE_SCORE_TEAM,1,1,1,True,0,1,0,FT,400,133981,137902,Ludogorets Razgrad,Dinamo Minsk,UCL,Ludogorets Razgrad,Dinamo Minsk
202526-0017,2272341,MATCHED,DATE_SCORE_TEAM,1,0.6666666667,0.8333333333,True,0,1,0,FT,400,138033,133964,Shelbourne,Linfield,UCL,Shelbourne,Linfield Belfast
202526-0573,2272230,MATCHED,DATE_SCORE_TEAM,1,1,1,True,0,2,0,FT,400,137790,133947,Atlètic d'Escaldes,F91 Dudelange,UECL,Atlètic Club d'Escaldes,F91 Dudelange
202526-0557,2272233,MATCHED,DATE_SCORE_TEAM,1,1,1,True,0,2,3,FT,400,141212,137975,FCB Magpies,Paide Linnameeskond,UECL,FCB Magpies,Paide Linnameeskond
202526-0288,2272310,MATCHED,DATE_SCORE_TEAM,1,1,1,True,0,2,3,FT,400,138341,134318,Sabah FC,Celje,UEL,Sabah FK,NK Celje
202526-0561,2272235,MATCHED,DATE_SCORE_TEAM,1,1,1,True,0,4,3,FT,400,134042,134077,Torpedo Kutaisi,Ordabasy Shymkent,UECL,Torpedo Kutaisi,Ordabasy Shymkent
202526-0577,2272234,MATCHED,DATE_SCORE_TEAM,1,1,1,True,0,1,2,FT,400,135673,138051,SJK Seinajoki,KÍ Klaksvík,UECL,SJK Seinäjoki,KI Klaksvik
202526-0583,2272236,MATCHED,DATE_SCORE_TEAM,1,0.8888888889,0.9444444444,True,0,3,0,FT,400,137992,137486,Kauno Žalgiris,Pen-y-Bont,UECL,Kauno Zalgiris,Penybont
202526-0294,2272311,MATCHED,DATE_SCORE_TEAM,1,1,1,True,0,1,0,FT,400,136251,133960,AEK Larnaca,Partizan Belgrade,UEL,AEK Larnaca,Partizan Belgrade
202526-0567,2272238,MATCHED,DATE_SCORE_TEAM,1,1,1,True,0,1,2,FT,400,137897,134608,Urartu,Neman Grodno,UECL,Urartu FC,Neman Grodno
202526-0597,2272237,MATCHED,DATE_SCORE_TEAM,1,1,1,True,0,1,2,FT,400,139740,133995,Racing Union Luxembourg,Dila Gori,UECL,Racing Union Luxembourg,Dila Gori
202526-0585,2272239,MATCHED,DATE_SCORE_TEAM,0.4545454545,1,0.7272727273,True,0,1,1,FT,400,134060,137799,Nõmme Kalju,Partizani Tirana,UECL,Kalju Nomme,Partizani Tirana
202526-0284,2272313,MATCHED,DATE_SCORE_TEAM,1,1,1,True,0,4,0,FT,400,133962,140101,Sheriff Tiraspol,Prishtina,UEL,Sheriff Tiraspol,FC Prishtina
202526-0296,2272312,MATCHED,DATE_SCORE_TEAM,0.8888888889,1,0.9444444444,True,0,0,0,FT,400,138185,133955,Paks,CFR Cluj,UEL,Paksi FC,CFR Cluj
202526-0292,2272314,MATCHED,DATE_SCORE_TEAM,1,0.9714285714,0.9857142857,True,0,0,0,FT,400,134085,134799,Levski Sofia,Hapoel Be'er Sheva,UEL,Levski Sofia,Hapoel Beer-Sheva
202526-0282,2272315,MATCHED,DATE_SCORE_TEAM,1,0.5555555556,0.7777777778,True,0,6,0,FT,400,134126,136687,Shakhtar Donetsk,Ilves,UEL,Shakhtar Donetsk,Ilves Tampere
202526-0559,2272242,MATCHED,DATE_SCORE_TEAM,1,1,1,True,0,0,1,FT,400,137800,134049,Vllaznia Shkodër,BFC Daugavpils,UECL,Vllaznia Shkodër,BFC Daugavpils
202526-0563,2272240,MATCHED,DATE_SCORE_TEAM,0.6666666667,0.6,0.6333333333,True,0,2,0,FT,400,140118,138073,Dečić,Sileks,UECL,Decic Tuzi,Sileks Kratovo
202526-0565,2272241,MATCHED,DATE_SCORE_TEAM,1,1,1,True,0,1,0,FT,400,134035,138123,Birkirkara,Petrocub Hîncești,UECL,Birkirkara,Petrocub Hîncesti
202526-0595,2272243,MATCHED,DATE_SCORE_TEAM,0.8333333333,0.7142857143,0.7738095238,True,0,3,0,FT,400,137910,138071,Torpedo-BelAZ Zhodino,Rabotnichki,UECL,Torpedo Zhodino,Rabotnicki Skopje
202526-0286,2272316,MATCHED,DATE_SCORE_TEAM,1,0.8,0.9,True,0,0,1,FT,400,134004,134160,Spartak Trnava,Hacken,UEL,Spartak Trnava,BK Häcken
202526-0589,2272232,MATCHED,DATE_SCORE_TEAM,0.8571428571,1,0.9285714286,True,0,0,1,FT,400,143606,137974,Malisheva,Víkingur Reykjavík,UECL,KF Malisheva,Vikingur Reykjavik
202526-0569,2272245,MATCHED,DATE_SCORE_TEAM,1,1,1,True,0,1,1,FT,400,137934,134604,Željezničar Sarajevo,Koper,UECL,Zeljeznicar Sarajevo,NK Koper
202526-0571,2272244,MATCHED,DATE_SCORE_TEAM,0.6956521739,1,0.847826087,True,0,1,2,FT,400,134310,137901,Sutjeska,Dynamo Brest,UECL,Sutjeska Niksic,Dynamo Brest
202526-0575,2272246,MATCHED,DATE_SCORE_TEAM,0.6315789474,1,0.8157894737,True,0,3,0,FT,400,133979,134344,Vardar,La Fiorita,UECL,Vardar Skopje,La Fiorita
202526-0553,2272248,MATCHED,DATE_SCORE_TEAM,1,1,1,True,0,4,0,FT,400,134065,133953,NSÍ Runavík,HJK Helsinki,UECL,NSI Runavik,HJK Helsinki
202526-0555,2272247,MATCHED,DATE_SCORE_TEAM,0.6875,0.6923076923,0.6899038462,True,0,1,0,FT,400,134792,141007,St Patricks,Hegelmann Litauen,UECL,St. Patrick's Athletic,FC Hegelmann
202526-0290,2272317,MATCHED,DATE_SCORE_TEAM,1,1,1,True,0,1,0,FT,400,133992,140520,Legia Warsaw,Aktobe,UEL,Legia Warsaw,FK Aktobe
202526-0579,2272250,MATCHED,DATE_SCORE_TEAM,1,0.5333333333,0.7666666667,True,0,0,0,FT,400,138007,145004,Larne,Auda Kekava,UECL,Larne FC,FK Auda
202526-0593,2272231,MATCHED,DATE_SCORE_TEAM,1,1,1,True,0,1,0,FT,400,138082,137896,Tre Fiori,Pyunik Yerevan,UECL,Tre Fiori,Pyunik Yerevan
202526-0599,2272249,MATCHED,DATE_SCORE_TEAM,1,1,1,True,0,1,4,FT,400,137938,134346,Borac Banja Luka,FC Santa Coloma,UECL,Borac Banja Luka,FC Santa Coloma
202526-0581,2272251,MATCHED,DATE_SCORE_TEAM,0.5,1,0.75,True,0,3,0,FT,400,137973,133967,Valur,Flora Tallinn,UECL,Valur Reykjavik,Flora Tallinn
202526-0024,2272342,MATCHED,DATE_SCORE_TEAM,1,1,1,True,0,2,0,FT,400,134602,134033,Kairat Almaty,Olimpija Ljubljana,UCL,Kairat Almaty,Olimpija Ljubljana
202526-0014,2272343,MATCHED,DATE_SCORE_TEAM,1,0.7619047619,0.880952381,True,0,1,0,FT,400,140040,134026,Lincoln Red Imps,Víkingur Gøta,UCL,Lincoln Red Imps,Víkingur
202526-0002,2272347,MATCHED,DATE_SCORE_TEAM,0.9655172414,1,0.9827586207,True,0,2,0,PEN,400,138133,134095,Ħamrun Spartans,Žalgiris Vilnius,UCL,Hamrun Spartans,Zalgiris Vilnius
202526-0004,2272346,MATCHED,DATE_SCORE_TEAM,1,1,1,True,0,0,0,FT,400,134084,134018,Milsami Orhei,KuPS,UCL,Milsami Orhei,KuPS Kuopio
202526-0008,2272345,MATCHED,DATE_SCORE_TEAM,1,1,1,True,0,3,1,FT,400,134166,138046,Malmo FF,Iberia 1999,UCL,Malmö FF,Iberia 1999
202526-0010,2272344,MATCHED,DATE_SCORE_TEAM,1,1,1,True,0,1,0,FT,400,137985,134046,RFS,Levadia Tallinn,UCL,RFS Riga,Levadia Tallinn
202526-0006,2272349,MATCHED,DATE_SCORE_TEAM,1,1,1,True,0,2,1,AET,400,134024,134312,Shkëndija,The New Saints,UCL,Shkendija Tetovo,The New Saints
202526-0012,2272348,MATCHED,DATE_SCORE_TEAM,1,1,1,True,0,2,3,FT,400,134064,140098,Differdange 03,Drita,UCL,Differdange 03,FC Drita
202526-0020,2272350,MATCHED,DATE_SCORE_TEAM,1,1,1,True,0,2,1,FT,400,137792,134005,Inter Club d'Escaldes,FCSB,UCL,Inter Club d'Escaldes,FCSB
202526-0016,2272352,MATCHED,DATE_SCORE_TEAM,0.9,0.56,0.73,True,0,5,0,FT,400,134347,140667,Breiðablik,Egnatia,UCL,Breidablik,Egnatia Rrogozhinë
202526-0022,2272351,MATCHED,DATE_SCORE_TEAM,1,1,1,True,0,2,1,FT,400,134341,138086,Zrinjski Mostar,Virtus,UCL,Zrinjski Mostar,AC Virtus
202526-0026,2272353,MATCHED,DATE_SCORE_TEAM,1,1,1,True,0,2,2,FT,400,133983,137895,Budućnost Podgorica,Noah,UCL,Buducnost Podgorica,FC Noah
202526-0580,2272252,MATCHED,DATE_SCORE_TEAM,0.5333333333,1,0.7666666667,True,0,2,2,PEN,400,145004,138007,Auda Kekava,Larne,UECL,FK Auda,Larne FC
202526-0018,2272355,MATCHED,DATE_SCORE_TEAM,0.6666666667,1,0.8333333333,True,0,1,1,FT,400,133964,138033,Linfield,Shelbourne,UCL,Linfield Belfast,Shelbourne
202526-0028,2272354,MATCHED,DATE_SCORE_TEAM,1,1,1,True,0,2,2,AET,400,137902,133981,Dinamo Minsk,Ludogorets Razgrad,UCL,Dinamo Minsk,Ludogorets Razgrad
202526-0560,2272253,MATCHED,DATE_SCORE_TEAM,1,1,1,True,0,2,4,FT,400,134049,137800,BFC Daugavpils,Vllaznia Shkodër,UECL,BFC Daugavpils,Vllaznia Shkodër
202526-0283,2272318,MATCHED,DATE_SCORE_TEAM,0.5555555556,1,0.7777777778,True,0,0,0,FT,400,136687,134126,Ilves,Shakhtar Donetsk,UEL,Ilves Tampere,Shakhtar Donetsk
202526-0291,2272319,MATCHED,DATE_SCORE_TEAM,1,1,1,True,0,0,1,FT,400,140520,133992,Aktobe,Legia Warsaw,UEL,FK Aktobe,Legia Warsaw
202526-0554,2272256,MATCHED,DATE_SCORE_TEAM,1,1,1,True,0,5,0,AET,400,133953,134065,HJK Helsinki,NSÍ Runavík,UECL,HJK Helsinki,NSI Runavik
202526-0556,2272259,MATCHED,DATE_SCORE_TEAM,0.6923076923,0.6875,0.6899038462,True,0,0,2,FT,400,141007,134792,Hegelmann Litauen,St Patricks,UECL,FC Hegelmann,St. Patrick's Athletic
202526-0562,2272254,MATCHED,DATE_SCORE_TEAM,1,1,1,True,0,1,1,FT,400,134077,134042,Ordabasy Shymkent,Torpedo Kutaisi,UECL,Ordabasy Shymkent,Torpedo Kutaisi
202526-0582,2272255,MATCHED,DATE_SCORE_TEAM,1,0.5,0.75,True,0,1,2,FT,400,133967,137973,Flora Tallinn,Valur,UECL,Flora Tallinn,Valur Reykjavik
202526-0594,2272258,MATCHED,DATE_SCORE_TEAM,1,1,1,True,0,5,0,FT,400,137896,138082,Pyunik Yerevan,Tre Fiori,UECL,Pyunik Yerevan,Tre Fiori
202526-0596,2272261,MATCHED,DATE_SCORE_TEAM,0.7142857143,0.8333333333,0.7738095238,True,0,0,1,FT,400,138071,137910,Rabotnichki,Torpedo-BelAZ Zhodino,UECL,Rabotnicki Skopje,Torpedo Zhodino
202526-0598,2272260,MATCHED,DATE_SCORE_TEAM,1,1,1,True,0,1,0,FT,400,133995,139740,Dila Gori,Racing Union Luxembourg,UECL,Dila Gori,Racing Union Luxembourg
202526-0600,2272257,MATCHED,DATE_SCORE_TEAM,1,1,1,True,0,0,2,FT,400,134346,137938,FC Santa Coloma,Borac Banja Luka,UECL,FC Santa Coloma,Borac Banja Luka
202526-0558,2272262,MATCHED,DATE_SCORE_TEAM,1,1,1,True,0,4,1,FT,400,137975,141212,Paide Linnameeskond,FCB Magpies,UECL,Paide Linnameeskond,FCB Magpies
202526-0287,2272321,MATCHED,DATE_SCORE_TEAM,0.8,1,0.9,True,0,2,2,FT,400,134160,134004,Hacken,Spartak Trnava,UEL,BK Häcken,Spartak Trnava
202526-0564,2272264,MATCHED,DATE_SCORE_TEAM,0.6,0.6666666667,0.6333333333,True,0,2,1,FT,400,138073,140118,Sileks,Dečić,UECL,Sileks Kratovo,Decic Tuzi
202526-0566,2272265,MATCHED,DATE_SCORE_TEAM,1,1,1,True,0,3,0,FT,400,138123,134035,Petrocub Hîncești,Birkirkara,UECL,Petrocub Hîncesti,Birkirkara
202526-0574,2272267,MATCHED,DATE_SCORE_TEAM,1,1,1,True,0,2,3,FT,400,133947,137790,F91 Dudelange,Atlètic d'Escaldes,UECL,F91 Dudelange,Atlètic Club d'Escaldes
202526-0584,2272266,MATCHED,DATE_SCORE_TEAM,0.8888888889,1,0.9444444444,True,0,1,1,FT,400,137486,137992,Pen-y-Bont,Kauno Žalgiris,UECL,Penybont,Kauno Zalgiris
202526-0588,2272263,MATCHED,DATE_SCORE_TEAM,1,1,1,True,0,2,3,FT,400,140057,134039,Haverfordwest County,Floriana,UECL,Haverfordwest County,Floriana
202526-0297,2272320,MATCHED,DATE_SCORE_TEAM,1,0.8888888889,0.9444444444,True,0,3,0,FT,400,133955,138185,CFR Cluj,Paks,UEL,CFR Cluj,Paksi FC
202526-0570,2272268,MATCHED,DATE_SCORE_TEAM,1,1,1,True,0,3,1,FT,400,134604,137934,Koper,Željezničar Sarajevo,UECL,NK Koper,Zeljeznicar Sarajevo
202526-0285,2272322,MATCHED,DATE_SCORE_TEAM,1,1,1,True,0,2,1,FT,400,140101,133962,Prishtina,Sheriff Tiraspol,UEL,FC Prishtina,Sheriff Tiraspol
202526-0289,2272324,MATCHED,DATE_SCORE_TEAM,1,1,1,True,0,3,3,AET,400,134318,138341,Celje,Sabah FC,UEL,NK Celje,Sabah FK
202526-0293,2272323,MATCHED,DATE_TEAM_FALLBACK,1,1,1,False,0,0,0,PEN,400,134799,134085,Hapoel Be'er Sheva,Levski Sofia,UEL,Hapoel Beer-Sheva,Levski Sofia
202526-0568,2272269,MATCHED,DATE_SCORE_TEAM,1,1,1,True,0,4,0,FT,400,134608,137897,Neman Grodno,Urartu,UECL,Neman Grodno,Urartu FC
202526-0586,2272270,MATCHED,DATE_SCORE_TEAM,1,0.4545454545,0.7272727273,True,0,0,1,AET,400,137799,134060,Partizani Tirana,Nõmme Kalju,UECL,Partizani Tirana,Kalju Nomme
202526-0572,2272271,MATCHED,DATE_SCORE_TEAM,1,0.6956521739,0.847826087,True,0,0,2,FT,400,137901,134310,Dynamo Brest,Sutjeska,UECL,Dynamo Brest,Sutjeska Niksic
202526-0578,2272274,MATCHED,DATE_SCORE_TEAM,1,1,1,True,0,2,0,FT,400,138051,135673,KÍ Klaksvík,SJK Seinajoki,UECL,KI Klaksvik,SJK Seinäjoki
202526-0590,2272273,MATCHED,DATE_SCORE_TEAM,1,0.8571428571,0.9285714286,True,0,8,0,FT,400,137974,143606,Víkingur Reykjavík,Malisheva,UECL,Vikingur Reykjavik,KF Malisheva
202526-0592,2272272,MATCHED,DATE_SCORE_TEAM,1,0.9523809524,0.9761904762,True,0,2,3,AET,400,134063,140100,Cliftonville,St Josephs,UECL,Cliftonville,St Joseph's FC
