sportsdb_team_id,sportsdb_team_name,club_id,uefa_team_id,ao_team_name
133616,Tottenham Hotspur,AO-UEFA-1652,1652,Tottenham Hotspur
140118,Dečić,AO-UEFA-2600105,2600105,Decic Tuzi
135297,Jagiellonia Białystok,AO-UEFA-2600277,2600277,Jagiellonia Bialystok
134589,İstanbul Başakşehir,AO-UEFA-2600288,2600288,Istanbul Basaksehir
134060,Nõmme Kalju,AO-UEFA-2600371,2600371,Kalju Nomme
137975,Paide Linnameeskond,AO-UEFA-2600598,2600598,Paide Linnameeskond
134342,Astana,AO-UEFA-2600605,2600605,FK Astana
134084,Milsami Orhei,AO-UEFA-2600714,2600714,Milsami Orhei
140069,Novi Pazar,AO-UEFA-2601090,2601090,Novi Pazar
134095,Žalgiris Vilnius,AO-UEFA-2602334,2602334,Zalgiris Vilnius
136687,Ilves,AO-UEFA-2602511,2602511,Ilves Tampere
135673,SJK Seinajoki,AO-UEFA-2602520,2602520,SJK Seinäjoki
138349,UNA Strassen,AO-UEFA-2603092,2603092,UNA Strassen
133981,Ludogorets Razgrad,AO-UEFA-2603104,2603104,Ludogorets Razgrad
137252,Wolfsberger AC,AO-UEFA-2603990,2603990,Wolfsberger AC
138182,Puskás Akadémia FC,AO-UEFA-2605472,2605472,Puskás Akadémia
140040,Lincoln Red Imps,AO-UEFA-2605572,2605572,Lincoln Red Imps
140100,St Josephs,AO-UEFA-2605575,2605575,St Joseph's FC
138046,Iberia 1999,AO-UEFA-2605905,2605905,Iberia 1999
137992,Kauno Žalgiris,AO-UEFA-2605907,2605907,Kauno Zalgiris
141212,FCB Magpies,AO-UEFA-2606279,2606279,FCB Magpies
137486,Pen-y-Bont,AO-UEFA-2606314,2606314,Penybont
134049,BFC Daugavpils,AO-UEFA-2606321,2606321,BFC Daugavpils
146883,Araz-Naxçıvan,AO-UEFA-2606484,2606484,Araz Nakhchivan
138188,Universitatea Craiova,AO-UEFA-2606501,2606501,Universitatea Craiova
141007,Hegelmann Litauen,AO-UEFA-2607108,2607108,FC Hegelmann
138123,Petrocub Hîncești,AO-UEFA-2607112,2607112,Petrocub Hîncesti
138340,Zira,AO-UEFA-2607480,2607480,Zira FK
137984,Riga FC,AO-UEFA-2607924,2607924,Riga FC
140101,Prishtina,AO-UEFA-2608287,2608287,FC Prishtina
140098,Drita,AO-UEFA-2608290,2608290,FC Drita
137985,RFS,AO-UEFA-2609104,2609104,RFS Riga
138341,Sabah FC,AO-UEFA-2609356,2609356,Sabah FK
137928,Pafos,AO-UEFA-2609532,2609532,Pafos FC
141258,Ballkani,AO-UEFA-2609552,2609552,FC Ballkani
137895,Noah,AO-UEFA-2609987,2609987,FC Noah
133754,Olympiacos,AO-UEFA-2610,2610,Olympiakos Piraeus
137916,Arda Kardzhali,AO-UEFA-2610060,2610060,Arda Kardzhali
134603,Košice,AO-UEFA-2610274,2610274,FC Kosice
137892,Ararat-Armenia,AO-UEFA-2610304,2610304,Ararat-Armenia
144994,Spaeri,AO-UEFA-2611621,2611621,Spaeri Tbilisi
143606,Malisheva,AO-UEFA-2611789,2611789,KF Malisheva
140180,Polissya Zhytomyr,AO-UEFA-2613172,2613172,Polissya Zhytomyr
138990,Lausanne-Sport,AO-UEFA-4251,4251,Lausanne Sports
133991,Servette,AO-UEFA-50008,50008,Servette FC Genève
133893,Brøndby,AO-UEFA-50021,50021,Brøndby IF
133823,Monaco,AO-UEFA-50023,50023,AS Monaco
133970,Red Bull Salzburg,AO-UEFA-50030,50030,FC Salzburg
134001,Young Boys,AO-UEFA-50031,50031,Young Boys
134007,Sparta Prague,AO-UEFA-50033,50033,Sparta Praha
133664,Bayern Munich,AO-UEFA-50037,50037,Bayern München
134021,Rapid Vienna,AO-UEFA-50042,50042,Rapid Wien
133789,Club Brugge,AO-UEFA-50043,50043,Club Brugge
