match_id,competition,thesportsdb_xg_home,thesportsdb_xg_away,thesportsdb_xg_raw_present,thesportsdb_xg_analysis_eligible,thesportsdb_xg_quality_status,fotmob_xg_home,fotmob_xg_away,fotmob_xg_covered,fotmob_xg_analysis_eligible,home_team_name,away_team_name,common_analysis_eligible,xg_home_difference,xg_away_difference,thesportsdb_xg_total,fotmob_xg_total,xg_total_difference
202526-0003,UCL,,,False,False,NO_RAW_XG,,,False,False,KuPS Kuopio,Milsami Orhei,False,,,,,
202526-0007,UCL,,,False,False,NO_RAW_XG,,,False,False,Iberia 1999,Malmö FF,False,,,,,
202526-0025,UCL,,,False,False,NO_RAW_XG,,,False,False,FC Noah,Buducnost Podgorica,False,,,,,
202526-0591,UECL,,,False,False,NO_RAW_XG,,,False,False,St Joseph's FC,Cliftonville,False,,,,,
202526-0009,UCL,,,False,False,NO_RAW_XG,,,False,False,Levadia Tallinn,RFS Riga,False,,,,,
202526-0023,UCL,,,False,False,NO_RAW_XG,,,False,False,Olimpija Ljubljana,Kairat Almaty,False,,,,,
202526-0587,UECL,,,False,False,NO_RAW_XG,,,False,False,Floriana,Haverfordwest County,False,,,,,
202526-0005,UCL,,,False,False,NO_RAW_XG,,,False,False,The New Saints,Shkendija Tetovo,False,,,,,
202526-0011,UCL,,,False,False,NO_RAW_XG,,,False,False,FC Drita,Differdange 03,False,,,,,
202526-0013,UCL,,,False,False,NO_RAW_XG,,,False,False,Víkingur,Lincoln Red Imps,False,,,,,
202526-0015,UCL,,,False,False,NO_RAW_XG,,,False,False,Egnatia Rrogozhinë,Breidablik,False,,,,,
202526-0021,UCL,,,False,False,NO_RAW_XG,,,False,False,AC Virtus,Zrinjski Mostar,False,,,,,
202526-0001,UCL,,,False,False,NO_RAW_XG,,,False,False,Zalgiris Vilnius,Hamrun Spartans,False,,,,,
202526-0019,UCL,,,False,False,NO_RAW_XG,,,False,False,FCSB,Inter Club d'Escaldes,False,,,,,
202526-0027,UCL,,,False,False,NO_RAW_XG,,,False,False,Ludogorets Razgrad,Dinamo Minsk,False,,,,,
202526-0017,UCL,,,False,False,NO_RAW_XG,,,False,False,Shelbourne,Linfield Belfast,False,,,,,
202526-0573,UECL,,,False,False,NO_RAW_XG,,,False,False,Atlètic Club d'Escaldes,F91 Dudelange,False,,,,,
202526-0557,UECL,,,False,False,NO_RAW_XG,,,False,False,FCB Magpies,Paide Linnameeskond,False,,,,,
202526-0288,UEL,0,0,True,False,BOTH_ZERO_PLACEHOLDER,,,False,False,Sabah FK,NK Celje,False,,,0,,
202526-0561,UECL,,,False,False,NO_RAW_XG,,,False,False,Torpedo Kutaisi,Ordabasy Shymkent,False,,,,,
202526-0577,UECL,,,False,False,NO_RAW_XG,,,False,False,SJK Seinäjoki,KI Klaksvik,False,,,,,
202526-0583,UECL,,,False,False,NO_RAW_XG,,,False,False,Kauno Zalgiris,Penybont,False,,,,,
