country_code,era,sample_matches,identity_rate,stats_coverage_rate,core_shots_coverage_rate,xg_coverage_rate,xg_placeholder_rate_among_present
AUT,2018_2021,13,1.0,0.5384615384615384,0.5384615384615384,0.0,0.0
AUT,2022_2026,13,1.0,0.6153846153846154,0.6153846153846154,0.46153846153846156,0.8333333333333334
BEL,2018_2021,13,1.0,0.0,0.0,0.0,0.0
BEL,2022_2026,13,1.0,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.0
CYP,2018_2021,13,1.0,0.0,0.0,0.0,0.0
CYP,2022_2026,15,1.0,0.0,0.0,0.0,0.0
CZE,2018_2021,14,1.0,0.0,0.0,0.0,0.0
CZE,2022_2026,13,1.0,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.75
DEN,2018_2021,13,1.0,0.0,0.0,0.0,0.0
DEN,2022_2026,13,1.0,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.3333333333333333
ENG,2013_2017,14,1.0,0.0,0.0,0.0,0.0
ENG,2018_2021,13,1.0,0.3076923076923077,0.3076923076923077,0.0,0.0
ENG,2022_2026,13,1.0,1.0,1.0,0.9230769230769231,0.16666666666666666
ESP,2013_2017,15,1.0,0.0,0.0,0.0,0.0
ESP,2018_2021,15,1.0,0.5333333333333333,0.5333333333333333,0.0,0.0
ESP,2022_2026,15,1.0,1.0,1.0,0.8666666666666667,0.15384615384615385
FRA,2013_2017,14,1.0,0.0,0.0,0.0,0.0
FRA,2018_2021,15,1.0,0.26666666666666666,0.26666666666666666,0.0,0.0
FRA,2022_2026,14,1.0,0.9285714285714286,0.9285714285714286,0.8571428571428571,0.5833333333333334
GER,2013_2017,14,1.0,0.0,0.0,0.0,0.0
GER,2018_2021,15,1.0,0.2,0.2,0.0,0.0
GER,2022_2026,14,1.0,1.0,1.0,0.7857142857142857,0.09090909090909091
GRE,2018_2021,13,1.0,0.0,0.0,0.0,0.0
GRE,2022_2026,13,1.0,0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0
ISR,2018_2021,13,1.0,0.0,0.0,0.0,0.0
ISR,2022_2026,13,1.0,0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0
ITA,2013_2017,13,1.0,0.0,0.0,0.0,0.0
ITA,2018_2021,13,1.0,0.6923076923076923,0.6923076923076923,0.0,0.0
ITA,2022_2026,15,1.0,1.0,1.0,0.8666666666666667,0.23076923076923078
NED,2013_2017,14,1.0,0.0,0.0,0.0,0.0
NED,2018_2021,13,1.0,0.07692307692307693,0.07692307692307693,0.0,0.0
NED,2022_2026,14,1.0,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.2727272727272727
NOR,2018_2021,13,1.0,0.0,0.0,0.0,0.0
NOR,2022_2026,14,1.0,0.5,0.5,0.5,0.14285714285714285
POL,2018_2021,14,1.0,0.0,0.0,0.0,0.0
POL,2022_2026,13,1.0,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.5
POR,2018_2021,15,1.0,0.06666666666666667,0.06666666666666667,0.0,0.0
POR,2022_2026,13,1.0,0.0,0.0,0.0,0.0
SUI,2018_2021,13,1.0,0.07692307692307693,0.07692307692307693,0.0,0.0
SUI,2022_2026,13,1.0,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.0
SWE,2018_2021,13,1.0,0.0,0.0,0.0,0.0
SWE,2022_2026,13,1.0,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.0
TUR,2018_2021,14,1.0,0.07142857142857142,0.07142857142857142,0.0,0.0
TUR,2022_2026,14,1.0,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.0
