match_id,season,competition,round,round_sequence,matchday,tie_id,leg_number,is_tie_decider,is_knockout,is_neutral,kickoff_date,kickoff_utc,event_order,home_team_id,away_team_id,home_team_name,away_team_name,uefa_match_id,uefa_home_team_id,uefa_away_team_id,home_goals,away_goals,actual_home_score,goal_difference,result_basis,decided_on_penalties,home_penalty_goals,away_penalty_goals,advanced_team_id,xg_home,xg_away,xg_total,xg_difference,xg_home_share,home_goals_minus_xg,away_goals_minus_xg,xg_result,xg_covered,xg_analysis_eligible,xg_home_raw,xg_away_raw,xg_provider,xg_type,xg_duration_scope,xg_in_match_penalties_included,xg_extra_time_included,xg_shootout_excluded,xg_scope_status,xg_missing_reason,xg_source_match_id,xg_source_url,xg_snapshot_utc,identity_match_method,identity_confidence,score_verified,chronology_verified,secondary_xg_home,secondary_xg_away,secondary_xg_type,secondary_xg_provider,secondary_xg_covered,competition_phase
202021-0001,2020/21,UCL,Preliminary Round,0,,202021-UCL-preliminary-round-001,1.0,True,True,False,2020-08-08,2020-08-08 13:00:00+00:00,1,191,166,Tre Fiori,Linfield Belfast,2029184,64514,50134,0,2,0.0,2,displayed_score_excluding_shootout,False,,,166.0,,,,,,,,,False,False,,,FotMob,shot_based_expected_goals,,,,,NO_PUBLIC_XG,NO_PUBLIC_XG,3374620.0,https://www.fotmob.com/match/3374620,2026-08-19T07:37:06+00:00,UEFA_ID_PLUS_FOTMOB_UTC_SCORE_NAME,0.8333333333,True,True,,,,,False,QUALIFYING
202021-0002,2020/21,UCL,Preliminary Round,0,,202021-UCL-preliminary-round-002,1.0,True,True,False,2020-08-08,2020-08-08 17:30:00+00:00,2,127,6,FC Drita,Inter Club d'Escaldes,2029185,2608290,63401,2,1,1.0,1,displayed_score_excluding_shootout,False,,,127.0,,,,,,,,,False,False,,,FotMob,shot_based_expected_goals,,,,,NO_PUBLIC_XG,NO_PUBLIC_XG,3382564.0,https://www.fotmob.com/match/3382564,2026-08-19T07:37:06+00:00,UEFA_ID_PLUS_FOTMOB_UTC_SCORE_NAME,1.0,True,True,,,,,False,QUALIFYING
202021-0003,2020/21,UCL,Preliminary Round,0,,202021-UCL-preliminary-round-003,1.0,True,True,False,2020-08-11,2020-08-11 16:00:00+00:00,3,127,166,FC Drita,Linfield Belfast,2029186,2608290,50134,0,3,0.0,3,displayed_score_excluding_shootout,False,,,166.0,,,,,,,,,False,False,,,FotMob,shot_based_expected_goals,,,,,NO_PUBLIC_XG,NO_PUBLIC_XG,3382565.0,https://www.fotmob.com/match/3382565,2026-08-19T07:37:06+00:00,UEFA_ID_PLUS_FOTMOB_UTC_SCORE_NAME,0.8333333333,True,True,,,,,False,QUALIFYING
202021-0014,2020/21,UCL,1st Qualifying Round,1,,202021-UCL-1st-qualifying-round-011,1.0,True,True,False,2020-08-18,2020-08-18 16:00:00+00:00,4,19,163,Qarabag FK,Sileks Kratovo,2030241,60609,59871,4,0,1.0,4,displayed_score_excluding_shootout,False,,,19.0,,,,,,,,,False,False,,,FotMob,shot_based_expected_goals,,,,,NO_PUBLIC_XG,NO_PUBLIC_XG,3402562.0,https://www.fotmob.com/match/3402562,2026-08-19T07:37:10+00:00,UEFA_ID_PLUS_FOTMOB_UTC_SCORE_NAME,0.8,True,True,,,,,False,QUALIFYING
202021-0006,2020/21,UCL,1st Qualifying Round,1,,202021-UCL-1st-qualifying-round-003,1.0,True,True,False,2020-08-18,2020-08-18 17:00:00+00:00,5,173,166,Legia Warsaw,Linfield Belfast,2030233,50146,50134,1,0,1.0,1,displayed_score_excluding_shootout,False,,,173.0,,,,,,,,,False,False,,,FotMob,shot_based_expected_goals,,,,,NO_PUBLIC_XG,NO_PUBLIC_XG,3402554.0,https://www.fotmob.com/match/3402554,2026-08-19T07:37:07+00:00,UEFA_ID_PLUS_FOTMOB_UTC_SCORE_NAME,0.7948717949,True,True,,,,,False,QUALIFYING
202021-0016,2020/21,UCL,1st Qualifying Round,1,,202021-UCL-1st-qualifying-round-013,1.0,True,True,False,2020-08-18,2020-08-18 18:00:00+00:00,6,23,123,Dynamo Brest,FK Astana,2030243,64374,2600605,6,3,1.0,3,displayed_score_excluding_shootout,False,,,23.0,,,,,,,,,False,False,,,FotMob,shot_based_expected_goals,,,,,NO_PUBLIC_XG,NO_PUBLIC_XG,3402564.0,https://www.fotmob.com/match/3402564,2026-08-19T07:37:11+00:00,UEFA_ID_PLUS_FOTMOB_UTC_SCORE_NAME,1.0,True,True,,,,,False,QUALIFYING
202021-0182,2020/21,UEL,Preliminary Round,10,,202021-UEL-preliminary-round-004,1.0,True,True,False,2020-08-18,2020-08-18 18:00:00+00:00,7,7,154,UE Engordany,Zeta Golubovci,2030251,84697,75834,1,3,0.0,2,displayed_score_excluding_shootout,False,,,154.0,,,,,,,,,False,False,,,FotMob,shot_based_expected_goals,,,,,NO_PUBLIC_XG,NO_PUBLIC_XG,3402580.0,https://www.fotmob.com/match/3402580,2026-08-19T07:38:12+00:00,UEFA_ID_PLUS_FOTMOB_UTC_SCORE_NAME,0.7222222222,True,True,,,,,False,QUALIFYING
202021-0005,2020/21,UCL,1st Qualifying Round,1,,202021-UCL-1st-qualifying-round-002,1.0,True,True,False,2020-08-18,2020-08-18 18:45:00+00:00,8,194,106,Celtic,KR Reykjavik,2030232,50050,52307,6,0,1.0,6,displayed_score_excluding_shootout,False,,,194.0,5.72,0.21,5.93,5.51,0.9645868465,0.28,-0.21,1.0,True,True,5.72,0.21,FotMob,shot_based_expected_goals,90_minutes,True,False,True,ELIGIBLE_90,,3402553.0,https://www.fotmob.com/match/3402553,2026-08-19T07:37:07+00:00,UEFA_ID_PLUS_FOTMOB_UTC_SCORE_NAME,1.0,True,True,,,,,False,QUALIFYING
202021-0009,2020/21,UCL,1st Qualifying Round,1,,202021-UCL-1st-qualifying-round-006,1.0,True,True,False,2020-08-18,2020-08-18 19:00:00+00:00,9,198,92,Red Star Belgrade,Europa FC,2030236,50069,2606416,5,0,1.0,5,displayed_score_excluding_shootout,False,,,198.0,,,,,,,,,False,False,,,FotMob,shot_based_expected_goals,,,,,NO_PUBLIC_XG,NO_PUBLIC_XG,3402557.0,https://www.fotmob.com/match/3402557,2026-08-19T07:37:08+00:00,UEFA_ID_PLUS_FOTMOB_UTC_SCORE_NAME,1.0,True,True,,,,,False,QUALIFYING
202021-0011,2020/21,UCL,1st Qualifying Round,1,,202021-UCL-1st-qualifying-round-008,1.0,True,True,False,2020-08-19,2020-08-19 15:00:00+00:00,10,9,46,Ararat-Armenia,Omonia Nicosia,2030238,2610304,50077,0,1,0.0,1,displayed_score_excluding_shootout,False,,,46.0,,,,,,,,,False,False,,,FotMob,shot_based_expected_goals,,,,,NO_PUBLIC_XG,NO_PUBLIC_XG,3402559.0,https://www.fotmob.com/match/3402559,2026-08-19T07:37:09+00:00,UEFA_ID_PLUS_FOTMOB_UTC_SCORE_NAME,1.0,True,True,,,,,False,QUALIFYING
