season,competition,competition_phase,matches,eligible,coverage_rate
2020/21,UCL,MAIN,125,124,0.992
2020/21,UCL,QUALIFYING,53,3,0.0566
2020/21,UEL,MAIN,205,200,0.9756
2020/21,UEL,QUALIFYING,157,0,0.0
2021/22,UCL,MAIN,125,123,0.984
2021/22,UCL,QUALIFYING,93,27,0.2903
2021/22,UECL,MAIN,141,133,0.9433
2021/22,UECL,QUALIFYING,282,0,0.0
2021/22,UEL,MAIN,139,132,0.9496
2021/22,UEL,QUALIFYING,36,11,0.3056
2022/23,UCL,MAIN,125,125,1.0
2022/23,UCL,QUALIFYING,89,17,0.191
2022/23,UECL,MAIN,141,137,0.9716
2022/23,UECL,QUALIFYING,274,0,0.0
2022/23,UEL,MAIN,141,137,0.9716
2022/23,UEL,QUALIFYING,34,6,0.1765
2023/24,UCL,MAIN,125,124,0.992
2023/24,UCL,QUALIFYING,89,48,0.5393
2023/24,UECL,MAIN,141,141,1.0
2023/24,UECL,QUALIFYING,276,0,0.0
2023/24,UEL,MAIN,141,140,0.9929
2023/24,UEL,QUALIFYING,34,10,0.2941
2024/25,UCL,MAIN,189,189,1.0
2024/25,UCL,QUALIFYING,90,26,0.2889
2024/25,UECL,MAIN,153,153,1.0
2024/25,UECL,QUALIFYING,256,0,0.0
2024/25,UEL,MAIN,189,188,0.9947
2024/25,UEL,QUALIFYING,80,27,0.3375
2025/26,UCL,MAIN,189,189,1.0
2025/26,UCL,QUALIFYING,92,37,0.4022
2025/26,UECL,MAIN,153,153,1.0
2025/26,UECL,QUALIFYING,256,0,0.0
2025/26,UEL,MAIN,189,189,1.0
2025/26,UEL,QUALIFYING,82,38,0.4634
