match_id,fotmob_fetch_status,detail_identity_verified,detail_score_verified,detail_chronology_verified,xg_disposition
202021-0001,OK,True,True,True,NO_PUBLIC_XG
202021-0002,OK,True,True,True,NO_PUBLIC_XG
202021-0003,OK,True,True,True,NO_PUBLIC_XG
202021-0014,OK,True,True,True,NO_PUBLIC_XG
202021-0006,OK,True,True,True,NO_PUBLIC_XG
202021-0016,OK,True,True,True,NO_PUBLIC_XG
202021-0182,OK,True,True,True,NO_PUBLIC_XG
202021-0005,OK,True,True,True,ACCEPTED
202021-0009,OK,True,True,True,NO_PUBLIC_XG
202021-0011,OK,True,True,True,NO_PUBLIC_XG
202021-0017,OK,True,True,True,NO_PUBLIC_XG
202021-0018,OK,True,True,True,NO_PUBLIC_XG
202021-0004,OK,True,True,True,NO_PUBLIC_XG
202021-0013,OK,True,True,True,NO_PUBLIC_XG
202021-0015,OK,True,True,True,NO_PUBLIC_XG
202021-0019,OK,True,True,True,NO_PUBLIC_XG
202021-0007,OK,True,True,True,NO_PUBLIC_XG
202021-0008,OK,True,True,True,NO_PUBLIC_XG
202021-0010,OK,True,True,True,NO_PUBLIC_XG
202021-0012,OK,True,True,True,NO_PUBLIC_XG
202021-0184,OK,True,True,True,NO_PUBLIC_XG
202021-0186,OK,True,True,True,NO_PUBLIC_XG
202021-0181,OK,True,True,True,NO_PUBLIC_XG
202021-0183,OK,True,True,True,NO_PUBLIC_XG
202021-0185,OK,True,True,True,NO_PUBLIC_XG
202021-0020,OK,True,True,True,NO_PUBLIC_XG
202021-0179,OK,True,True,True,NO_PUBLIC_XG
202021-0180,OK,True,True,True,NO_PUBLIC_XG
202021-0190,OK,True,True,True,NO_PUBLIC_XG
202021-0030,OK,True,True,True,NO_PUBLIC_XG
202021-0032,OK,True,True,True,NO_PUBLIC_XG
202021-0031,OK,True,True,True,NO_PUBLIC_XG
202021-0024,OK,True,True,True,NO_PUBLIC_XG
202021-0026,OK,True,True,True,NO_PUBLIC_XG
202021-0029,OK,True,True,True,NO_PUBLIC_XG
202021-0224,OK,True,True,True,NO_PUBLIC_XG
202021-0033,OK,True,True,True,NO_PUBLIC_XG
202021-0027,OK,True,True,True,NO_PUBLIC_XG
202021-0021,OK,True,True,True,NO_PUBLIC_XG
202021-0025,OK,True,True,True,NO_PUBLIC_XG
202021-0028,OK,True,True,True,NO_PUBLIC_XG
202021-0022,OK,True,True,True,NO_PUBLIC_XG
202021-0023,OK,True,True,True,NO_PUBLIC_XG
202021-0202,OK,True,True,True,NO_PUBLIC_XG
202021-0222,OK,True,True,True,NO_PUBLIC_XG
202021-0228,OK,True,True,True,NO_PUBLIC_XG
202021-0230,OK,True,True,True,NO_PUBLIC_XG
202021-0231,OK,True,True,True,NO_PUBLIC_XG
202021-0204,OK,True,True,True,NO_PUBLIC_XG
202021-0195,OK,True,True,True,NO_PUBLIC_XG
202021-0211,OK,True,True,True,NO_PUBLIC_XG
202021-0215,OK,True,True,True,NO_PUBLIC_XG
