match_id,competition,kickoff_utc,home_team_name,away_team_name,xg_home,xg_away,secondary_xg_home,secondary_xg_away,home_xg_delta_primary_minus_secondary,away_xg_delta_primary_minus_secondary,pair_absolute_difference
202526-0037,UCL,2025-07-22 16:00:00+00:00,FC Noah,Ferencváros,0.68,1.79,0.59,0.99,0.09,0.8,0.445
202526-0038,UCL,2025-07-30 18:00:00+00:00,Ferencváros,FC Noah,2.27,0.79,1.81,0.83,0.46,-0.04,0.25
202526-0071,UCL,2025-08-06 17:00:00+00:00,FC Salzburg,Club Brugge,1.82,1.28,2.06,1.22,-0.24,0.06,0.15
202526-0075,UCL,2025-08-06 19:00:00+00:00,OGC Nice,Benfica,0.99,1.9,0.82,1.18,0.17,0.72,0.445
202526-0077,UCL,2025-08-06 19:00:00+00:00,Feyenoord,Fenerbahçe,0.7,0.68,1.09,0.6,-0.39,0.08,0.235
202526-0078,UCL,2025-08-12 17:00:00+00:00,Fenerbahçe,Feyenoord,1.72,1.38,1.29,1.52,0.43,-0.14,0.285
202526-0072,UCL,2025-08-12 17:30:00+00:00,Club Brugge,FC Salzburg,2.76,0.94,2.25,0.82,0.51,0.12,0.315
202526-0062,UCL,2025-08-12 18:15:00+00:00,Slovan Bratislava,Kairat Almaty,1.68,1.02,1.2,0.97,0.48,0.05,0.265
202526-0076,UCL,2025-08-12 19:00:00+00:00,Benfica,OGC Nice,1.7,0.64,1.86,0.96,-0.16,-0.32,0.24
202526-0079,UCL,2025-08-19 19:00:00+00:00,Ferencváros,Qarabag FK,1.09,0.77,0.98,0.79,0.11,-0.02,0.065
202526-0083,UCL,2025-08-20 19:00:00+00:00,Bodø/Glimt,Sturm Graz,2.03,0.78,1.64,0.68,0.39,0.1,0.245
202526-0085,UCL,2025-08-20 19:00:00+00:00,Celtic,Kairat Almaty,0.56,0.56,0.87,0.6,-0.31,-0.04,0.175
202526-0089,UCL,2025-08-20 19:00:00+00:00,Fenerbahçe,Benfica,0.41,0.33,0.7,0.56,-0.29,-0.23,0.26
202526-0086,UCL,2025-08-26 16:45:00+00:00,Kairat Almaty,Celtic,0.59,1.22,0.9,0.79,-0.31,0.43,0.37
202526-0084,UCL,2025-08-26 19:00:00+00:00,Sturm Graz,Bodø/Glimt,1.67,1.06,1.43,1.07,0.24,-0.01,0.125
202526-0080,UCL,2025-08-27 16:45:00+00:00,Qarabag FK,Ferencváros,1.86,3.05,0.67,2.44,1.19,0.61,0.9
202526-0090,UCL,2025-08-27 19:00:00+00:00,Benfica,Fenerbahçe,1.32,0.38,1.41,0.45,-0.09,-0.07,0.08
202526-0093,UCL,2025-09-16 16:45:00+00:00,Athletic Bilbao,Arsenal,0.35,1.28,0.87,1.11,-0.52,0.17,0.345
202526-0097,UCL,2025-09-16 19:00:00+00:00,Benfica,Qarabag FK,1.38,1.52,0.97,1.07,0.41,0.45,0.43
202526-0098,UCL,2025-09-16 19:00:00+00:00,Tottenham Hotspur,Villarreal,0.54,0.48,0.64,0.67,-0.1,-0.19,0.145
202526-0099,UCL,2025-09-17 16:45:00+00:00,Olympiakos Piraeus,Pafos FC,1.52,0.3,1.67,0.45,-0.15,-0.15,0.15
