match_id,season,competition,round,round_sequence,matchday,tie_id,leg_number,is_tie_decider,is_knockout,is_neutral,kickoff_date,kickoff_utc,event_order,home_team_id,away_team_id,home_team_name,away_team_name,uefa_match_id,uefa_home_team_id,uefa_away_team_id,home_goals,away_goals,actual_home_score,goal_difference,result_basis,decided_on_penalties,home_penalty_goals,away_penalty_goals,advanced_team_id,xg_home,xg_away,xg_total,xg_difference,xg_home_share,home_goals_minus_xg,away_goals_minus_xg,xg_result,xg_covered,xg_analysis_eligible,xg_home_raw,xg_away_raw,xg_provider,xg_type,xg_duration_scope,xg_in_match_penalties_included,xg_extra_time_included,xg_shootout_excluded,xg_scope_status,xg_missing_reason,xg_source_match_id,xg_source_url,xg_snapshot_utc,identity_match_method,identity_confidence,score_verified,chronology_verified,secondary_xg_home,secondary_xg_away,secondary_xg_type,secondary_xg_provider,secondary_xg_covered
202526-0003,2025/26,UCL,1st Qualifying Round,0,,202526-UCL-1st-qualifying-round-002,1,False,True,False,2025-07-08,2025-07-08 15:00:00+00:00,1,74,149,KuPS Kuopio,Milsami Orhei,2045276,52350,2600714,1,0,1,1,displayed_score_excluding_shootout,False,,,,,,,,,,,,False,False,,,FotMob,shot_based_expected_goals,,,,,NO_PUBLIC_XG,NO_PUBLIC_XG,4812254,https://www.fotmob.com/match/4812254,2026-08-04T07:16:33+00:00,UEFA_ID_PLUS_FOTMOB_UTC_SCORE_NAME,1,True,True,,,,,False
202526-0007,2025/26,UCL,1st Qualifying Round,0,,202526-UCL-1st-qualifying-round-004,1,False,True,False,2025-07-08,2025-07-08 16:00:00+00:00,2,84,219,Iberia 1999,Malmö FF,2045278,2605905,50152,1,3,0,2,displayed_score_excluding_shootout,False,,,,,,,,,,,,False,False,,,FotMob,shot_based_expected_goals,,,,,NO_PUBLIC_XG,NO_PUBLIC_XG,4812256,https://www.fotmob.com/match/4812256,2026-08-04T07:10:39+00:00,UEFA_ID_PLUS_FOTMOB_UTC_SCORE_NAME,1,True,True,,,,,False
202526-0025,2025/26,UCL,1st Qualifying Round,0,,202526-UCL-1st-qualifying-round-013,1,False,True,False,2025-07-08,2025-07-08 16:00:00+00:00,3,9,153,FC Noah,Buducnost Podgorica,2045287,2609987,53078,1,0,1,1,displayed_score_excluding_shootout,False,,,,,,,,,,,,False,False,,,FotMob,shot_based_expected_goals,,,,,NO_PUBLIC_XG,NO_PUBLIC_XG,4812265,https://www.fotmob.com/match/4812265,2026-08-04T07:10:42+00:00,UEFA_ID_PLUS_FOTMOB_UTC_SCORE_NAME,1,True,True,,,,,False
202526-0591,2025/26,UECL,1st Qualifying Round,20,,202526-UECL-1st-qualifying-round-020,1,False,True,False,2025-07-08,2025-07-08 16:00:00+00:00,4,96,166,St Joseph's FC,Cliftonville,2045341,2605575,52991,2,2,0.5,0,displayed_score_excluding_shootout,False,,,,,,,,,,,,False,False,,,FotMob,shot_based_expected_goals,,,,,NO_PUBLIC_XG,NO_PUBLIC_XG,4813062,https://www.fotmob.com/match/4813062,2026-08-04T07:13:01+00:00,UEFA_ID_PLUS_FOTMOB_UTC_SCORE_NAME,1,True,True,,,,,False
202526-0009,2025/26,UCL,1st Qualifying Round,0,,202526-UCL-1st-qualifying-round-005,1,False,True,False,2025-07-08,2025-07-08 16:30:00+00:00,5,66,134,Levadia Tallinn,RFS Riga,2045279,77482,2609104,0,1,0,1,displayed_score_excluding_shootout,False,,,,,,,,,,,,False,False,,,FotMob,shot_based_expected_goals,,,,,NO_PUBLIC_XG,NO_PUBLIC_XG,4812257,https://www.fotmob.com/match/4812257,2026-08-04T07:16:35+00:00,UEFA_ID_PLUS_FOTMOB_UTC_SCORE_NAME,0.8181818182,True,True,,,,,False
202526-0023,2025/26,UCL,1st Qualifying Round,0,,202526-UCL-1st-qualifying-round-012,1,False,True,False,2025-07-08,2025-07-08 17:00:00+00:00,6,207,126,Olimpija Ljubljana,Kairat Almaty,2045286,53081,79970,1,1,0.5,0,displayed_score_excluding_shootout,False,,,,,,,,,,,,False,False,,,FotMob,shot_based_expected_goals,,,,,NO_PUBLIC_XG,NO_PUBLIC_XG,4812264,https://www.fotmob.com/match/4812264,2026-08-04T07:10:41+00:00,UEFA_ID_PLUS_FOTMOB_UTC_SCORE_NAME,1,True,True,,,,,False
202526-0587,2025/26,UECL,1st Qualifying Round,20,,202526-UECL-1st-qualifying-round-018,1,False,True,False,2025-07-08,2025-07-08 17:30:00+00:00,7,146,234,Floriana,Haverfordwest County,2045329,50092,64283,2,1,1,1,displayed_score_excluding_shootout,False,,,,,,,,,,,,False,False,,,FotMob,shot_based_expected_goals,,,,,NO_PUBLIC_XG,NO_PUBLIC_XG,4813038,https://www.fotmob.com/match/4813038,2026-08-04T07:13:00+00:00,UEFA_ID_PLUS_FOTMOB_UTC_SCORE_NAME,0.8939393939,True,True,,,,,False
202526-0005,2025/26,UCL,1st Qualifying Round,0,,202526-UCL-1st-qualifying-round-003,1,False,True,False,2025-07-08,2025-07-08 18:00:00+00:00,8,236,163,The New Saints,Shkendija Tetovo,2045277,60457,75807,0,0,0.5,0,displayed_score_excluding_shootout,False,,,,,,,,,,,,False,False,,,FotMob,shot_based_expected_goals,,,,,NO_PUBLIC_XG,NO_PUBLIC_XG,4812255,https://www.fotmob.com/match/4812255,2026-08-04T07:16:34+00:00,UEFA_ID_PLUS_FOTMOB_UTC_SCORE_NAME,0.9285714286,True,True,,,,,False
202526-0011,2025/26,UCL,1st Qualifying Round,0,,202526-UCL-1st-qualifying-round-006,1,False,True,False,2025-07-08,2025-07-08 18:00:00+00:00,9,129,141,FC Drita,Differdange 03,2045280,2608290,52309,1,0,1,1,displayed_score_excluding_shootout,False,,,,,,,,,,,,False,False,,,FotMob,shot_based_expected_goals,,,,,NO_PUBLIC_XG,NO_PUBLIC_XG,4812258,https://www.fotmob.com/match/4812258,2026-08-04T07:10:39+00:00,UEFA_ID_PLUS_FOTMOB_UTC_SCORE_NAME,1,True,True,,,,,False
202526-0013,2025/26,UCL,1st Qualifying Round,0,,202526-UCL-1st-qualifying-round-007,1,False,True,False,2025-07-08,2025-07-08 18:00:00+00:00,10,71,95,Víkingur,Lincoln Red Imps,2045281,59325,2605572,2,3,0,1,displayed_score_excluding_shootout,False,,,,,,,,,,,,False,False,,,FotMob,shot_based_expected_goals,,,,,NO_PUBLIC_XG,NO_PUBLIC_XG,4812259,https://www.fotmob.com/match/4812259,2026-08-04T07:10:40+00:00,UEFA_ID_PLUS_FOTMOB_UTC_SCORE_NAME,1,True,True,,,,,False
