season,competition,ao_matches,matched_xg,eligible_xg,eligible_coverage_rate
2018/19,UCL,216,0,0,0.0
2018/19,UEL,519,0,0,0.0
2019/20,UCL,210,9,9,0.04285714285714286
2019/20,UEL,511,25,24,0.046966731898238745
2020/21,UCL,178,60,60,0.33707865168539325
2020/21,UEL,362,104,104,0.287292817679558
2021/22,UCL,218,0,0,0.0
2021/22,UECL,423,0,0,0.0
2021/22,UEL,175,0,0,0.0
2022/23,UCL,214,0,0,0.0
2022/23,UECL,415,0,0,0.0
2022/23,UEL,175,0,0,0.0
2023/24,UCL,214,0,0,0.0
2023/24,UECL,417,0,0,0.0
2023/24,UEL,175,0,0,0.0
2024/25,UCL,279,41,40,0.14336917562724014
2024/25,UECL,409,0,0,0.0
2024/25,UEL,269,0,0,0.0
2025/26,UCL,281,115,111,0.39501779359430605
2025/26,UECL,409,35,34,0.08312958435207823
2025/26,UEL,271,37,35,0.12915129151291513
