match_id,season,competition,kickoff_utc,home_team_name,away_team_name,home_goals,away_goals,candidate_count,matched,source_fixture_id,home_similarity,away_similarity,pair_similarity,runner_up_similarity,resolution
201819-0001,2018/19,UCL,2018-06-26 15:00:00+00:00,FC Santa Coloma,FC Drita,0,2,0,False,,,,,,no_source_xg_on_date
201819-0219,2018/19,UEL,2018-06-26 18:00:00+00:00,Sant Julià,Gzira United,0,2,0,False,,,,,,no_source_xg_on_date
201819-0002,2018/19,UCL,2018-06-26 19:00:00+00:00,La Fiorita,Lincoln Red Imps,0,2,0,False,,,,,,no_source_xg_on_date
201819-0217,2018/19,UEL,2018-06-28 16:00:00+00:00,Europa FC,FC Prishtina,1,1,0,False,,,,,,no_source_xg_on_date
201819-0225,2018/19,UEL,2018-06-28 17:00:00+00:00,Birkirkara,KI Klaksvik,1,1,0,False,,,,,,no_source_xg_on_date
201819-0221,2018/19,UEL,2018-06-28 18:00:00+00:00,UE Engordany,Folgore,2,1,0,False,,,,,,no_source_xg_on_date
201819-0223,2018/19,UEL,2018-06-28 18:00:00+00:00,B36 Torshavn,St Joseph's FC,1,1,0,False,,,,,,no_source_xg_on_date
201819-0229,2018/19,UEL,2018-06-28 18:00:00+00:00,Cefn Druids,FK Trakai,1,1,0,False,,,,,,no_source_xg_on_date
201819-0227,2018/19,UEL,2018-06-28 18:45:00+00:00,Tre Fiori,Bala Town,3,0,0,False,,,,,,no_source_xg_on_date
201819-0003,2018/19,UCL,2018-06-29 18:30:00+00:00,Lincoln Red Imps,FC Drita,1,4,0,False,,,,,,no_source_xg_on_date
201819-0224,2018/19,UEL,2018-07-05 16:00:00+00:00,St Joseph's FC,B36 Torshavn,1,1,0,False,,,,,,no_source_xg_on_date
201819-0230,2018/19,UEL,2018-07-05 16:30:00+00:00,FK Trakai,Cefn Druids,1,0,0,False,,,,,,no_source_xg_on_date
201819-0218,2018/19,UEL,2018-07-05 17:00:00+00:00,FC Prishtina,Europa FC,5,0,0,False,,,,,,no_source_xg_on_date
201819-0220,2018/19,UEL,2018-07-05 17:00:00+00:00,Gzira United,Sant Julià,2,1,0,False,,,,,,no_source_xg_on_date
201819-0228,2018/19,UEL,2018-07-05 17:30:00+00:00,Bala Town,Tre Fiori,1,0,0,False,,,,,,no_source_xg_on_date
201819-0226,2018/19,UEL,2018-07-05 18:00:00+00:00,KI Klaksvik,Birkirkara,2,1,0,False,,,,,,no_source_xg_on_date
201819-0222,2018/19,UEL,2018-07-05 18:45:00+00:00,Folgore,UE Engordany,1,1,0,False,,,,,,no_source_xg_on_date
