match_id,season,competition,kickoff_utc,home_team_id,away_team_id,home_team_name,away_team_name,home_goals,away_goals,decided_on_penalties,source_fixture_id,source_home_team_name,source_away_team_name,source_status,xg_home,xg_away,xg_type,duration_scope,provider,snapshot_time,penalty_shootout_excluded,xg_covered,xg_nulled,known_after_kickoff,pair_similarity,eligible_for_ablation
201920-0192,2019/20,UCL,2020-02-19 20:00:00+00:00,116,214,Atalanta,Valencia,4,1,False,354932,Atalanta,Valencia,FT,0.95,1.83,coarse_zone_derived_xg,90_minutes_ft_only,API-Football via eatpizzanot/soccer-dataset,2020-02-19 21:45:00+00:00,True,True,False,True,1.0,True
201920-0200,2019/20,UCL,2020-02-19 20:00:00+00:00,60,89,Tottenham Hotspur,RB Leipzig,0,1,False,354934,Tottenham,RB Leipzig,FT,0.98,2.08,coarse_zone_derived_xg,90_minutes_ft_only,API-Football via eatpizzanot/soccer-dataset,2020-02-19 21:45:00+00:00,True,True,False,True,0.86,True
201920-0673,2019/20,UEL,2020-02-20 17:55:00+00:00,211,154,Getafe,Ajax,2,0,False,356048,Getafe,Ajax,FT,0.79,0.23,coarse_zone_derived_xg,90_minutes_ft_only,API-Football via eatpizzanot/soccer-dataset,2020-02-20 19:40:00+00:00,True,True,False,True,1.0,True
201920-0681,2019/20,UEL,2020-02-20 17:55:00+00:00,179,213,CFR Cluj,Sevilla,1,1,False,356050,CFR Cluj,Sevilla,FT,1.2,1.51,coarse_zone_derived_xg,90_minutes_ft_only,API-Football via eatpizzanot/soccer-dataset,2020-02-20 19:40:00+00:00,True,True,False,True,1.0,True
201920-0687,2019/20,UEL,2020-02-20 17:55:00+00:00,26,59,Club Brugge,Manchester United,1,1,False,356051,Club Brugge,Man United,FT,0.91,1.04,coarse_zone_derived_xg,90_minutes_ft_only,API-Football via eatpizzanot/soccer-dataset,2020-02-20 19:40:00+00:00,True,True,False,True,0.86,True
201920-0691,2019/20,UEL,2020-02-20 17:55:00+00:00,88,13,Eintracht Frankfurt,FC Salzburg,4,1,False,356028,Ein Frankfurt,Salzburg,FT,1.88,1.83,coarse_zone_derived_xg,90_minutes_ft_only,API-Football via eatpizzanot/soccer-dataset,2020-02-20 19:40:00+00:00,True,True,False,True,0.8444444444444444,True
201920-0693,2019/20,UEL,2020-02-20 17:55:00+00:00,232,174,Shakhtar Donetsk,Benfica,2,1,False,356053,Shakhtar Donetsk,Benfica,FT,0.95,1.33,coarse_zone_derived_xg,90_minutes_ft_only,API-Football via eatpizzanot/soccer-dataset,2020-02-20 19:40:00+00:00,True,True,False,True,1.0,True
201920-0679,2019/20,UEL,2020-02-20 20:00:00+00:00,44,219,APOEL Nicosia,FC Basel,0,3,False,356060,Apoel Nicosia,Basel,FT,0.68,1.06,coarse_zone_derived_xg,90_minutes_ft_only,API-Football via eatpizzanot/soccer-dataset,2020-02-20 21:45:00+00:00,True,True,False,True,0.9166666666666667,True
201920-0683,2019/20,UEL,2020-02-20 20:00:00+00:00,97,55,Olympiakos Piraeus,Arsenal,0,1,False,356066,Olympiakos Piraeus,Arsenal,FT,0.55,1.06,coarse_zone_derived_xg,90_minutes_ft_only,API-Football via eatpizzanot/soccer-dataset,2020-02-20 21:45:00+00:00,True,True,False,True,1.0,True
201920-0685,2019/20,UEL,2020-02-20 20:00:00+00:00,153,14,AZ Alkmaar,LASK,1,1,False,356062,AZ Alkmaar,LASK,FT,1.13,1.21,coarse_zone_derived_xg,90_minutes_ft_only,API-Football via eatpizzanot/soccer-dataset,2020-02-20 21:45:00+00:00,True,True,False,True,1.0,True
201920-0695,2019/20,UEL,2020-02-20 20:00:00+00:00,90,218,VfL Wolfsburg,Malmö FF,2,1,False,356063,Wolfsburg,Malmo FF,FT,1.12,1.06,coarse_zone_derived_xg,90_minutes_ft_only,API-Football via eatpizzanot/soccer-dataset,2020-02-20 21:45:00+00:00,True,True,False,True,0.9285714285714286,True
201920-0196,2019/20,UCL,2020-02-25 20:00:00+00:00,56,85,Chelsea,Bayern München,0,3,False,354936,Chelsea,Bayern Munich,FT,0.88,1.52,coarse_zone_derived_xg,90_minutes_ft_only,API-Football via eatpizzanot/soccer-dataset,2020-02-25 21:45:00+00:00,True,True,False,True,0.94,True
201920-0202,2019/20,UCL,2020-02-25 20:00:00+00:00,120,210,Napoli,FC Barcelona,1,1,False,354937,Napoli,Barcelona,FT,0.73,0.68,coarse_zone_derived_xg,90_minutes_ft_only,API-Football via eatpizzanot/soccer-dataset,2020-02-25 21:45:00+00:00,True,True,False,True,0.95,True
201920-0680,2019/20,UEL,2020-02-27 17:55:00+00:00,219,44,FC Basel,APOEL Nicosia,1,0,False,356061,Basel,Apoel Nicosia,FT,1.4,0.49,coarse_zone_derived_xg,90_minutes_ft_only,API-Football via eatpizzanot/soccer-dataset,2020-02-27 19:40:00+00:00,True,True,False,True,0.9166666666666667,True
