fold,test_season,model,core_scale,core_home_advantage,core_k,power_carry,reserve_decay,ucl_trophy_base,matches,brier,log_loss,carried_clubs,trophy_bonus_total,mean_reserve,max_reserve,mean_rating_change,rating_change_std,max_abs_rating_change,start_end_rank_correlation
1,2020/21,selected_layer,275.0,50.0,28.0,0.85,0.0,0.0,540,0.16496960769443833,0.5960143411815707,159,0.0,0.0,0.0,-4.656448701046229,31.69265264351406,116.55999528996415,0.9533262779473513
1,2020/21,achievement_challenger,275.0,50.0,28.0,0.85,0.25,20.0,540,0.1649707947969659,0.5959942364449641,159,33.0,0.18275316455696203,20.8125,-4.476123735333651,32.20004070103464,129.6065734952184,0.9532974313947848
1,2020/21,carry_only_challenger,275.0,50.0,28.0,0.85,0.0,0.0,540,0.16496960769443833,0.5960143411815707,159,0.0,0.0,0.0,-4.656448701046229,31.69265264351406,116.55999528996415,0.9533262779473513
1,2020/21,reference_carry_trophy,275.0,50.0,28.0,0.5,0.5,40.0,540,0.16615815727794478,0.5993159957550853,159,66.0,0.4873417721518987,46.5,-1.7076824343361048,28.52197234828338,144.8503856521089,0.9630863287172838
1,2020/21,core_baseline,275.0,50.0,28.0,0.0,0.0,0.0,540,0.1683932324766324,0.6051279384737962,159,0.0,0.0,0.0,4.796912984034431e-16,24.34434654775727,121.81563230123356,0.9688962046951372
2,2021/22,selected_layer,250.0,40.0,28.0,1.0,0.0,0.0,816,0.15627009939432157,0.615628638578987,165,0.0,0.0,0.0,-6.891750671326398,36.76437753631606,107.20363993888657,0.9270687034736658
2,2021/22,achievement_challenger,250.0,40.0,28.0,1.0,0.25,20.0,816,0.15627811655501572,0.6156361582989088,165,42.0,0.22290348101265822,20.0,-6.672892618847133,37.1042390285173,107.41877216233661,0.9269983900017849
2,2021/22,carry_only_challenger,250.0,40.0,28.0,1.0,0.0,0.0,816,0.15627009939432157,0.615628638578987,165,0.0,0.0,0.0,-6.891750671326398,36.76437753631606,107.20363993888657,0.9270687034736658
2,2021/22,reference_carry_trophy,250.0,40.0,28.0,0.5,0.5,40.0,816,0.15543441316578474,0.6142945318179787,165,84.0,0.5981012658227848,40.0,-1.3043152483216314,31.220606722024197,108.6634958463028,0.9397720040601523
2,2021/22,core_baseline,250.0,40.0,28.0,0.0,0.0,0.0,816,0.1565217328511354,0.6169393588893344,165,0.0,0.0,0.0,9.593825968068862e-16,28.30628359384648,106.45693107374757,0.942049078803373
3,2022/23,selected_layer,250.0,40.0,28.0,0.75,1.0,20.0,804,0.16269741598047074,0.6279464363216299,163,42.0,0.7854077253218884,33.0,-5.837214193529759,36.737999094781394,133.8848385498993,0.9280252577573873
3,2022/23,achievement_challenger,250.0,40.0,28.0,0.75,1.0,20.0,804,0.16269741598047074,0.6279464363216299,163,42.0,0.7854077253218884,33.0,-5.837214193529759,36.737999094781394,133.8848385498993,0.9280252577573873
3,2022/23,carry_only_challenger,250.0,40.0,28.0,0.85,0.0,0.0,804,0.16227969338871778,0.627044684360787,163,0.0,0.0,0.0,-8.119727522321496,37.63823155971105,128.56008472502674,0.9240265555568205
3,2022/23,reference_carry_trophy,250.0,40.0,28.0,0.5,0.5,40.0,804,0.16351538134996138,0.629815439703772,163,84.0,0.6646995708154506,40.0,-3.0039245390851215,34.192357891771564,141.72165845110885,0.9389512490370859
3,2022/23,core_baseline,250.0,40.0,28.0,0.0,0.0,0.0,804,0.16543264287221843,0.6342869196323938,163,0.0,0.0,0.0,-2.4396317107642925e-15,30.810655836753305,120.80238415234635,0.9433797049972867
4,2023/24,selected_layer,250.0,40.0,28.0,0.9,0.0,0.0,806,0.15341390981711836,0.5999638050163041,164,0.0,0.0,0.0,-10.39530523181215,38.773102957492156,126.89776048202373,0.9117364296434703
4,2023/24,achievement_challenger,250.0,40.0,28.0,0.9,0.25,20.0,806,0.15343288193853272,0.599977990378334,164,42.0,0.23707932692307693,21.25,-10.16373724448521,39.31609359007833,146.97738055268405,0.9117317467787746
4,2023/24,carry_only_challenger,250.0,40.0,28.0,0.9,0.0,0.0,806,0.15341390981711836,0.5999638050163041,164,0.0,0.0,0.0,-10.39530523181215,38.773102957492156,126.89776048202373,0.9117364296434703
4,2023/24,reference_carry_trophy,250.0,40.0,28.0,0.5,0.5,40.0,806,0.1548945928155228,0.6034485594521083,164,84.0,0.6650641025641025,50.0,-2.9141276009958386,32.823875723042434,147.26828265705035,0.9289543865564323
4,2023/24,core_baseline,250.0,40.0,28.0,0.0,0.0,0.0,806,0.15781117306858294,0.6103417112801752,164,0.0,0.0,0.0,-2.4292059342225648e-15,28.113583871926355,81.36148435636471,0.9376972949432089
5,2024/25,selected_layer,225.0,40.0,28.0,0.9,0.0,0.0,957,0.16946233517677636,0.6231424506233494,160,0.0,0.0,0.0,-11.200018919057086,37.77727596953571,116.86061601363804,0.9045607051723902
5,2024/25,achievement_challenger,225.0,40.0,28.0,0.9,0.25,20.0,957,0.16949599750525585,0.6232500317675463,160,42.0,0.23063840704449154,20.0,-10.966176106566245,38.12739845772521,116.77532040988592,0.9045880940534173
5,2024/25,carry_only_challenger,225.0,40.0,28.0,0.9,0.0,0.0,957,0.16946233517677636,0.6231424506233494,160,0.0,0.0,0.0,-11.200018919057086,37.77727596953571,116.86061601363804,0.9045607051723902
5,2024/25,reference_carry_trophy,225.0,40.0,28.0,0.5,0.5,40.0,957,0.16876598363573075,0.6216066664601505,160,84.0,0.628707627118644,40.0,-2.7986340775428156,33.55931591091811,112.07793744949197,0.9296817868505982
5,2024/25,core_baseline,225.0,40.0,28.0,0.0,0.0,0.0,957,0.16981149716095748,0.6241145705175566,160,0.0,0.0,0.0,-4.817238886509154e-16,30.768455603400078,101.2730473855371,0.9385119620937886
6,2025/26,selected_layer,225.0,40.0,28.0,0.85,0.0,0.0,961,0.1705649837728527,0.6285982260908312,164,0.0,0.0,0.0,-12.233789737793703,40.241765867612976,136.43566775842885,0.9084791410846909
6,2025/26,achievement_challenger,225.0,40.0,28.0,0.85,0.25,20.0,961,0.17051254162377721,0.6284981885149388,164,42.0,0.23562570345603814,25.0,-12.000545418261087,40.71981463609852,136.39063836806395,0.908428928136141
6,2025/26,carry_only_challenger,225.0,40.0,28.0,0.85,0.0,0.0,961,0.1705649837728527,0.6285982260908312,164,0.0,0.0,0.0,-12.233789737793703,40.241765867612976,136.43566775842885,0.9084791410846909
