model,competition,matches,weighted_log_loss,weighted_brier,folds_improved,log_loss_delta
baseline,ALL,2724,0.635459397817556,0.17276992487973622,0,0.0
combined_selected,ALL,2724,0.6244992014723548,0.16764775959688952,3,-0.010960196345201179
country_candidate_fixed,ALL,2724,0.623616758437491,0.16731240744729062,3,-0.011842639380065023
country_selected,ALL,2724,0.6243145559150612,0.16761377140163256,3,-0.011144841902494762
baseline,UCL,774,0.6281436011803297,0.17188796964037623,0,0.0
combined_selected,UCL,774,0.6275889460813395,0.17162784889466096,2,-0.0005546550989902199
country_candidate_fixed,UCL,774,0.624250837308313,0.17019671886901894,2,-0.003892763872016758
country_selected,UCL,774,0.626003760760605,0.17098484862952243,2,-0.0021398404197247034
baseline,UECL,1235,0.6397887576557253,0.1731058711896481,0,0.0
combined_selected,UECL,1235,0.6279419982762975,0.16773885703575564,3,-0.011846759379427807
country_candidate_fixed,UECL,1235,0.6276304647554476,0.16764756657144855,3,-0.0121582929002777
country_selected,UECL,1235,0.6279358351501816,0.1677723424716486,3,-0.011852922505543706
baseline,UEL,715,0.6359008904008763,0.17314438594620266,0,0.0
combined_selected,UEL,715,0.6152078498916229,0.16318189322839347,3,-0.020693040509253358
country_candidate_fixed,UEL,715,0.6159975915162429,0.16361117869379033,3,-0.01990329888463338
country_selected,UEL,715,0.6162310252775445,0.16369062588295208,3,-0.019669865123331798
