fold,season,competition,matches,log_loss,brier,decisive_accuracy,mean_season_spearman,selected_candidate,model
1,2023/24,ALL,806,0.623160149062057,0.16380301223294147,0.6803149606299213,0.4104813888887078,baseline_v1_1,baseline
1,2023/24,UCL,214,0.6335689190895389,0.16420437798460633,0.6606060606060606,0.4285030794746487,baseline_v1_1,baseline
1,2023/24,UEL,175,0.5936654455004251,0.15355652848809406,0.7285714285714285,0.66644851023963,baseline_v1_1,baseline
1,2023/24,UECL,417,0.630196351310029,0.16789711867057225,0.6696969696969697,0.3502162507537031,baseline_v1_1,baseline
1,2023/24,ALL,806,0.6128299779512331,0.15904471088404287,0.6976377952755906,0.40569090593254953,country_candidate_fixed,country_candidate_fixed
1,2023/24,UCL,214,0.6283220517914672,0.1617332957815361,0.6727272727272727,0.4066181637218437,country_candidate_fixed,country_candidate_fixed
1,2023/24,UEL,175,0.5701028053298923,0.14172753678498967,0.7714285714285715,0.6963652107140185,country_candidate_fixed,country_candidate_fixed
1,2023/24,UECL,417,0.6228106767687979,0.16493235668565145,0.6787878787878788,0.3386623180937569,country_candidate_fixed,country_candidate_fixed
1,2023/24,ALL,806,0.6133960766706279,0.15920910466052718,0.6960629921259842,0.405415926372259,country_b20_g2.0_c400,country_selected
1,2023/24,UCL,214,0.6292595342842563,0.16210474850316894,0.6727272727272727,0.4040164604505312,country_b20_g2.0_c400,country_selected
1,2023/24,UEL,175,0.5698178699613542,0.1414226120952796,0.7642857142857142,0.6939758024704403,country_b20_g2.0_c400,country_selected
1,2023/24,UECL,417,0.6235433338524179,0.1651874461871291,0.6787878787878788,0.340231237554347,country_b20_g2.0_c400,country_selected
1,2023/24,ALL,806,0.6130056142565028,0.15884806712896127,0.7007874015748031,0.40528079086917096,domestic_c240_a0.0,combined_selected
1,2023/24,UCL,214,0.6283809721962106,0.16147266775961472,0.6848484848484848,0.4034298018697451,domestic_c240_a0.0,combined_selected
1,2023/24,UEL,175,0.5674369176916099,0.14015655759609713,0.7785714285714286,0.6851709967509539,domestic_c240_a0.0,combined_selected
1,2023/24,UECL,417,0.6242386965101209,0.16534530845579914,0.6757575757575758,0.33488828502704565,domestic_c240_a0.0,combined_selected
