competition,comparison,matches,mean_log_loss_delta,ci_95_lower,ci_95_upper,directionally_reliable
ALL,country_candidate_fixed_vs_baseline,2724,-0.01184263938006493,-0.017176577281934283,-0.006345640657568911,True
ALL,country_selected_vs_baseline,2724,-0.011144841902494776,-0.0169481298128767,-0.005321615743012829,True
ALL,combined_selected_vs_baseline,2724,-0.010960196345201127,-0.018037068205321853,-0.0038658740733482967,True
ALL,combined_selected_vs_country_selected,2724,0.00018464555729364796,-0.0013162874002842144,0.0016273229143936028,False
UCL,country_candidate_fixed_vs_baseline,774,-0.003892763872016681,-0.012823586059373658,0.0047589171883763584,False
UCL,country_selected_vs_baseline,774,-0.0021398404197247164,-0.012106054506375608,0.007874019087821538,False
UCL,combined_selected_vs_baseline,774,-0.0005546550989903501,-0.01303531111014039,0.01226507162520022,False
UCL,combined_selected_vs_country_selected,774,0.0015851853207343655,-0.0013224204460231613,0.0046490862036468175,False
UEL,country_candidate_fixed_vs_baseline,715,-0.019903298884633464,-0.032545915275717506,-0.007357360001764444,True
UEL,country_selected_vs_baseline,715,-0.019669865123331864,-0.03296117560851342,-0.0064486703218589025,True
UEL,combined_selected_vs_baseline,715,-0.020693040509253385,-0.036103371056910666,-0.004873228136847316,True
UEL,combined_selected_vs_country_selected,715,-0.00102317538592152,-0.0035389404678573457,0.0016360559993406627,False
UECL,country_candidate_fixed_vs_baseline,1235,-0.012158292900277756,-0.01917467593814577,-0.004512491338844486,True
UECL,country_selected_vs_baseline,1235,-0.011852922505543768,-0.019614352640505994,-0.003562756059834141,True
UECL,combined_selected_vs_baseline,1235,-0.011846759379427666,-0.02160576901284232,-0.0016469261839715617,True
UECL,combined_selected_vs_country_selected,1235,6.163126116100884e-06,-0.002150700354432043,0.002357444958897422,False
