candidate,dev_log_loss_delta,holdout_log_loss_delta,seasons_improved
country_b15_g1_8_c260,-0.009688950744886071,-0.013181111054696326,5
achievement_c360_alpha0,-0.006344273115980625,-0.010693738246555284,5
achievement_c280_alpha0,-0.005842340998389428,-0.008583867707047,5
league_component260_only,-0.0037670191749384907,-0.00844174291329558,5
league_component300_only,-0.0032699226589003594,-0.008918038320347654,5
achievement_alpha0_only,-0.0017160285414407062,-0.0015982523488212719,5
eu_b28_boost480,-0.0013552199007330623,-0.0009362640293751889,5
achievement_component280_only,-0.0009344205721675269,-0.004503279085475653,5
country_b15_only,-0.0007958577463482719,-0.0006188667653065361,5
eu_b28_only,-0.00038977028151321313,-0.0027631840245795347,2
country_gamma1_8_only,0.00011615262132491644,-0.0005267511629447608,3
eu_boost480_only,0.0006713051493789646,0.0037934763189320098,2
