model,outcome,probability_bin,matches,mean_predicted_probability,observed_rate,calibration_gap
BASE,HOME,0.0-0.1,20,0.08806970700633447,0.15,-0.06193029299366552
BASE,HOME,0.1-0.2,258,0.16114689315753308,0.2131782945736434,-0.05203140141611032
BASE,HOME,0.2-0.3,572,0.25545788915181783,0.2517482517482518,0.0037096374035660573
BASE,HOME,0.3-0.4,907,0.35394243308065515,0.3164277839029768,0.03751464917767833
BASE,HOME,0.4-0.5,1015,0.45150080173111135,0.4413793103448276,0.010121491386283765
BASE,HOME,0.5-0.6,896,0.5479935308212217,0.5680803571428571,-0.020086826321635387
BASE,HOME,0.6-0.7,655,0.6457199531248655,0.667175572519084,-0.021455619394218473
BASE,HOME,0.7-0.8,415,0.7447481946372424,0.727710843373494,0.01703735126374839
BASE,HOME,0.8-0.9,141,0.8351342667059908,0.8156028368794326,0.0195314298265582
BASE,HOME,0.9-1.0,5,0.9256387323101775,1.0,-0.07436126768982254
BASE,DRAW,0.0-0.1,79,0.07988602748625916,0.08860759493670886,-0.008721567450449705
BASE,DRAW,0.1-0.2,1059,0.1634992629418392,0.17752596789423986,-0.01402670495240066
BASE,DRAW,0.2-0.3,3746,0.2442512224184719,0.23438334223171384,0.009867880186758077
BASE,AWAY,0.0-0.1,277,0.0780042710947297,0.06498194945848375,0.013022321636245948
BASE,AWAY,0.1-0.2,1089,0.15375576354280554,0.1386593204775023,0.01509644306530325
BASE,AWAY,0.2-0.3,1347,0.2495357870657815,0.25760950259836674,-0.008073715532585235
BASE,AWAY,0.3-0.4,1015,0.34700808771264113,0.38620689655172413,-0.039198808839083
BASE,AWAY,0.4-0.5,600,0.44465379460366466,0.4766666666666667,-0.03201287206300202
BASE,AWAY,0.5-0.6,329,0.5438822897712233,0.5288753799392097,0.015006909832013582
BASE,AWAY,0.6-0.7,160,0.6406691167254166,0.58125,0.059419116725416554
BASE,AWAY,0.7-0.8,61,0.7350481202421675,0.6557377049180327,0.07931041532413474
BASE,AWAY,0.8-0.9,6,0.8264721005871527,0.8333333333333334,-0.006861232746180668
PROGRESSION_ONLY,HOME,0.0-0.1,20,0.08806970700633447,0.15,-0.06193029299366552
PROGRESSION_ONLY,HOME,0.1-0.2,257,0.16101104852184725,0.21011673151750973,-0.04910568299566248
PROGRESSION_ONLY,HOME,0.2-0.3,571,0.2553044526139102,0.2521891418563923,0.0031153107575179195
PROGRESSION_ONLY,HOME,0.3-0.4,910,0.3539645200816188,0.31648351648351647,0.03748100359810236
PROGRESSION_ONLY,HOME,0.4-0.5,1010,0.45138043606664396,0.4405940594059406,0.010786376660703367
PROGRESSION_ONLY,HOME,0.5-0.6,899,0.5477299683062159,0.5684093437152391,-0.020679375409023204
PROGRESSION_ONLY,HOME,0.6-0.7,656,0.6455275070565519,0.6676829268292683,-0.0221554197727164
PROGRESSION_ONLY,HOME,0.7-0.8,415,0.7446839129103585,0.727710843373494,0.016973069536864505
PROGRESSION_ONLY,HOME,0.8-0.9,141,0.8351340697657421,0.8156028368794326,0.019531232886309535
