model,competition,matches,brier_1x2,log_loss_1x2,accuracy_1x2,multiclass_ece,brier_delta_vs_base,log_loss_delta_vs_base
BASE,UCL,1384,0.560117103457183,0.9474875414260076,0.5592485549132948,0.03232103473826787,0.0,0.0
BASE,UECL,2073,0.589429873835313,0.9900937556496323,0.5161601543656537,0.020544870783351283,0.0,0.0
BASE,UEL,1427,0.5838401753723275,0.9823443298573202,0.5459004905395936,0.020813152411896366,0.0,0.0
FULL_MODEL,UCL,1384,0.559697609547454,0.9468952885743233,0.5592485549132948,0.031523779867107644,-0.00041949390972906286,-0.000592252851684294
FULL_MODEL,UECL,2073,0.5891332869936767,0.9896342972259291,0.5151953690303908,0.02110894953718388,-0.00029658684163624827,-0.00045945842370320733
FULL_MODEL,UEL,1427,0.5837893739710889,0.9822786806113839,0.547302032235459,0.019964543208551868,-5.080140123858712e-05,-6.564924593632782e-05
GOAL_DIFFERENCE_ONLY,UCL,1384,0.5598757161828498,0.9471411618526763,0.5592485549132948,0.031897286606005694,-0.00024138727433320462,-0.0003463795733312791
GOAL_DIFFERENCE_ONLY,UECL,2073,0.5893239304488774,0.9899252269081001,0.5151953690303908,0.02082387121937814,-0.00010594338643554746,-0.00016852874153217012
GOAL_DIFFERENCE_ONLY,UEL,1427,0.5838147832510172,0.9823228740812922,0.5459004905395936,0.01938020665059884,-2.539212131025259e-05,-2.1455776028078688e-05
PROGRESSION_ONLY,UCL,1384,0.5600935087554466,0.9474684015505057,0.5592485549132948,0.031887688481220366,-2.3594701736406876e-05,-1.9139875501839043e-05
PROGRESSION_ONLY,UECL,2073,0.5893966749256865,0.990043133636213,0.5161601543656537,0.021007340055192062,-3.31989096264973e-05,-5.062201341932138e-05
PROGRESSION_ONLY,UEL,1427,0.5838647032733538,0.9823825610362328,0.5459004905395936,0.020223754595118198,2.4527901026361043e-05,3.823117891255112e-05
