model,metric,method,matches,clusters,mean_difference,ci_95_lower,ci_95_upper,reliable_improvement,reliable_harm
PROGRESSION_ONLY,brier_1x2,tie_or_match,4884,1612,-1.3610788717154674e-05,-6.211304545275733e-05,3.0588613092504776e-05,False,False
PROGRESSION_ONLY,brier_1x2,team_season,4884,1413,-1.3610788717154674e-05,-4.405186316155177e-05,1.5431976548792648e-05,False,False
PROGRESSION_ONLY,brier_1x2,calendar_month,4884,65,-1.3610788717154674e-05,-6.049120854096398e-05,3.18026721511552e-05,False,False
PROGRESSION_ONLY,brier_1x2,conservative_envelope,4884,,-1.3610788717154674e-05,-6.211304545275733e-05,3.18026721511552e-05,False,False
PROGRESSION_ONLY,log_loss_1x2,tie_or_match,4884,1612,-1.5739788944353003e-05,-8.358826001312992e-05,4.6929589223185025e-05,False,False
PROGRESSION_ONLY,log_loss_1x2,team_season,4884,1413,-1.5739788944353003e-05,-5.926765017671692e-05,2.4998012292505396e-05,False,False
PROGRESSION_ONLY,log_loss_1x2,calendar_month,4884,65,-1.5739788944353003e-05,-8.097952625258716e-05,5.342330710681624e-05,False,False
PROGRESSION_ONLY,log_loss_1x2,conservative_envelope,4884,,-1.5739788944353003e-05,-8.358826001312992e-05,5.342330710681624e-05,False,False
GOAL_DIFFERENCE_ONLY,brier_1x2,tie_or_match,4884,1612,-0.00012078934989099877,-0.00029604290727707643,2.1994774155897864e-05,False,False
GOAL_DIFFERENCE_ONLY,brier_1x2,team_season,4884,1413,-0.00012078934989099877,-0.0002210488321283361,-2.226883207315549e-05,True,False
GOAL_DIFFERENCE_ONLY,brier_1x2,calendar_month,4884,65,-0.00012078934989099877,-0.0002592692853022032,-6.6212514229490595e-06,True,False
GOAL_DIFFERENCE_ONLY,brier_1x2,conservative_envelope,4884,,-0.00012078934989099877,-0.00029604290727707643,2.1994774155897864e-05,False,False
GOAL_DIFFERENCE_ONLY,log_loss_1x2,tie_or_match,4884,1612,-0.00017595552888592487,-0.0004384775655810035,3.185480828145555e-05,False,False
GOAL_DIFFERENCE_ONLY,log_loss_1x2,team_season,4884,1413,-0.00017595552888592487,-0.0003197225904823615,-3.403902554690209e-05,True,False
GOAL_DIFFERENCE_ONLY,log_loss_1x2,calendar_month,4884,65,-0.00017595552888592487,-0.0003684907940077594,-1.4605076358870458e-05,True,False
GOAL_DIFFERENCE_ONLY,log_loss_1x2,conservative_envelope,4884,,-0.00017595552888592487,-0.0004384775655810035,3.185480828145555e-05,False,False
FULL_MODEL,brier_1x2,tie_or_match,4884,1612,-0.00025960231231461135,-0.0004551621358672837,-8.359991353557122e-05,True,False
FULL_MODEL,brier_1x2,team_season,4884,1413,-0.00025960231231461135,-0.00039149584966709336,-0.00012732513814271343,True,False
FULL_MODEL,brier_1x2,calendar_month,4884,65,-0.00025960231231461135,-0.00043801395332885115,-9.23459820786715e-05,True,False
FULL_MODEL,brier_1x2,conservative_envelope,4884,,-0.00025960231231461135,-0.0004551621358672837,-8.359991353557122e-05,True,False
FULL_MODEL,log_loss_1x2,tie_or_match,4884,1612,-0.0003820263581119478,-0.0006706131614873903,-0.00012089438939624305,True,False
FULL_MODEL,log_loss_1x2,team_season,4884,1413,-0.0003820263581119478,-0.0005720003959302192,-0.0001990625139499396,True,False
FULL_MODEL,log_loss_1x2,calendar_month,4884,65,-0.0003820263581119478,-0.0006338438657368322,-0.00015051573753640772,True,False
FULL_MODEL,log_loss_1x2,conservative_envelope,4884,,-0.0003820263581119478,-0.0006706131614873903,-0.00012089438939624305,True,False
