fold,test_season,model,candidate_key,alpha,tau,base_bonus,matches,brier_1x2,log_loss_1x2,accuracy_1x2,ranking_score,pairwise_accuracy,minimum_start_end_rank_correlation,maximum_abs_rating_change,maximum_abs_match_delta,maximum_total_elo_error,multiclass_ece
1,2020/21,BASE,base_a0_t300_b0,0.0,300.0,0.0,540,0.5453720464435683,0.9291873773815579,0.5796296296296296,0.2885576986625655,0.5996894274085746,0.9688962046951372,452.37534277047575,90.13144428244979,5.820766091346741e-11,0.06927870411369749
1,2020/21,PROGRESSION_ONLY,progression_only_a0_t300_b2,0.0,300.0,2.0,540,0.5453720464435683,0.9291873773815579,0.5796296296296296,0.28872819283509005,0.5996894274085746,0.9688862886926923,459.04200943714204,90.13144428244979,1.1641532182693481e-10,0.06927870411369748
1,2020/21,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.2_t500_b0,0.2,500.0,0.0,540,0.545220130250797,0.929024153882103,0.5833333333333334,0.2900738021775248,0.5991591189399026,0.9665704513944604,472.57234091984515,92.53305009721682,5.820766091346741e-11,0.07094301971416521
1,2020/21,FULL_MODEL,full_model_a0.2_t500_b12,0.2,500.0,12.0,540,0.545220130250797,0.929024153882103,0.5833333333333334,0.2909722147514872,0.5994450962706945,0.9665352946585198,512.5723409198454,92.53305009721682,5.820766091346741e-11,0.07094301971416521
2,2021/22,BASE,base_a0_t300_b0,0.0,300.0,0.0,816,0.5820990162800853,0.9793497814254043,0.5392156862745098,0.2634411714008293,0.5938665511725392,0.941744387091889,425.41720032496596,92.11274081986099,4.547473508864641e-13,0.029387631424938387
2,2021/22,PROGRESSION_ONLY,progression_only_a0_t300_b10,0.0,300.0,10.0,816,0.5820751130975207,0.9793254161832254,0.5392156862745098,0.2633759313295189,0.5939173512536454,0.9416902998058266,418.7505336582992,92.11274081986099,4.547473508864641e-13,0.029007252897304922
2,2021/22,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.2_t500_b0,0.2,500.0,0.0,816,0.5814765892693365,0.9784046513845057,0.5343137254901961,0.26100906548208,0.5932180908596933,0.9383837637178879,434.6173429344585,92.46483676854099,4.547473508864641e-13,0.03184332325896174
2,2021/22,FULL_MODEL,full_model_a0.2_t500_b6,0.2,500.0,6.0,816,0.5814610503125267,0.9783881225343144,0.5343137254901961,0.2616120669924858,0.5932676069504381,0.9382755891457636,430.6173429344585,92.46483676854099,4.547473508864641e-13,0.03152029307592988
3,2022/23,BASE,base_a0_t300_b0,0.0,300.0,0.0,804,0.5986361812936338,1.0027942383052988,0.4975124378109453,0.3581000126818689,0.6121731662703591,0.9411635796495942,444.297566363477,88.23087290642228,4.547473508864641e-13,0.031895113192147655
3,2022/23,PROGRESSION_ONLY,progression_only_a0_t300_b10,0.0,300.0,10.0,804,0.5986163295513818,1.0027567667196504,0.4975124378109453,0.3581213034370128,0.6122225223282867,0.9412793190727186,458.3521095082165,88.13073484817428,4.547473508864641e-13,0.03246760619280117
3,2022/23,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0_t300_b0,0.0,300.0,0.0,804,0.5986361812936338,1.0027942383052988,0.4975124378109453,0.3581000126818689,0.6121731662703591,0.9411635796495942,444.297566363477,88.23087290642228,4.547473508864641e-13,0.031895113192147655
3,2022/23,FULL_MODEL,full_model_a0.2_t500_b6,0.2,500.0,6.0,804,0.5978472839983989,1.001592623315922,0.5,0.35667491471213186,0.611768935059679,0.9389569411398626,470.4916735051752,91.93797840836835,9.094947017729282e-13,0.032609750252731995
4,2023/24,BASE,base_a0_t300_b0,0.0,300.0,0.0,806,0.5712766549552002,0.9636076553138365,0.5421836228287841,0.3255282404729569,0.6156067335674108,0.9377356944337131,300.7604551710856,92.63575178498871,4.547473508864641e-13,0.037258052820621196
4,2023/24,PROGRESSION_ONLY,progression_only_a0_t300_b12,0.0,300.0,12.0,806,0.5712611450855856,0.963586817717678,0.5421836228287841,0.32507920052981304,0.6154462436430247,0.9376963583702697,348.7604551710856,92.63575178498871,4.547473508864641e-13,0.03689772432015635
4,2023/24,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0_t300_b0,0.0,300.0,0.0,806,0.5712766549552002,0.9636076553138365,0.5421836228287841,0.3255282404729569,0.6156067335674108,0.9377356944337131,300.7604551710856,92.63575178498871,4.547473508864641e-13,0.037258052820621196
4,2023/24,FULL_MODEL,full_model_a0_t300_b12,0.0,300.0,12.0,806,0.5712611450855856,0.963586817717678,0.5421836228287841,0.32507920052981304,0.6154462436430247,0.9376963583702697,348.7604551710856,92.63575178498871,4.547473508864641e-13,0.03689772432015635
5,2024/25,BASE,base_a0_t300_b0,0.0,300.0,0.0,957,0.5763568081610373,0.9712880551702671,0.54858934169279,0.2460455132506232,0.5876260251007106,0.9363783682617647,378.32188307355364,90.99584454346149,1.1641532182693481e-10,0.020312924305677778
5,2024/25,PROGRESSION_ONLY,progression_only_a0_t300_b12,0.0,300.0,12.0,957,0.5764300960188258,0.9714015900188354,0.54858934169279,0.24653276330179663,0.5876775569149508,0.9360661350180537,393.16827322289805,90.99584454346149,1.1641532182693481e-10,0.020282634470723156
5,2024/25,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0_t300_b0,0.0,300.0,0.0,957,0.5763568081610373,0.9712880551702671,0.54858934169279,0.2460455132506232,0.5876260251007106,0.9363783682617647,378.32188307355364,90.99584454346149,1.1641532182693481e-10,0.020312924305677778
5,2024/25,FULL_MODEL,full_model_a0_t300_b12,0.0,300.0,12.0,957,0.5764300960188258,0.9714015900188354,0.54858934169279,0.24653276330179663,0.5876775569149508,0.9360661350180537,393.16827322289805,90.99584454346149,1.1641532182693481e-10,0.020282634470723156
6,2025/26,BASE,base_a0_t300_b0,0.0,300.0,0.0,961,0.5904375530421376,0.9908895520230482,0.5286160249739854,,,0.9411056891270707,362.9623816724609,91.2531811758921,9.094947017729282e-13,0.03666169140152333
6,2025/26,PROGRESSION_ONLY,progression_only_a0_t300_b12,0.0,300.0,12.0,961,0.5903453107743486,0.990766012289124,0.5286160249739854,,,0.9410235224839888,361.6158662850494,91.2531811758921,9.094947017729282e-13,0.03724321938778005
6,2025/26,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0_t300_b0,0.0,300.0,0.0,961,0.5904375530421376,0.9908895520230482,0.5286160249739854,,,0.9411056891270707,362.9623816724609,91.2531811758921,9.094947017729282e-13,0.03666169140152333
6,2025/26,FULL_MODEL,full_model_a0_t300_b12,0.0,300.0,12.0,961,0.5903453107743486,0.990766012289124,0.5286160249739854,,,0.9410235224839888,361.6158662850494,91.2531811758921,9.094947017729282e-13,0.03724321938778005
