fold,train_seasons,test_season,model,selected_candidate,selected_alpha,selected_tau,selected_base_bonus,train_brier_1x2,train_log_loss_1x2,train_ranking_score,train_pairwise_accuracy
1,2018/19|2019/20,2020/21,PROGRESSION_ONLY,progression_only_a0_t300_b2,0.0,300.0,2.0,0.5805571957708089,0.9762663382089081,0.35622543906007903,0.6266134953799914
1,2018/19|2019/20,2020/21,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.2_t500_b0,0.2,500.0,0.0,0.5802925263413495,0.9758839887247823,0.35672465840301265,0.6269281313459241
1,2018/19|2019/20,2020/21,FULL_MODEL,full_model_a0.2_t500_b12,0.2,500.0,12.0,0.5802925263413495,0.9758839887247823,0.35699146711099033,0.6270067733311286
2,2018/19|2019/20|2020/21,2021/22,PROGRESSION_ONLY,progression_only_a0_t300_b10,0.0,300.0,10.0,0.5695362473467488,0.9613392090905041,0.33947559459907756,0.6155830748536542
2,2018/19|2019/20|2020/21,2021/22,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.2_t500_b0,0.2,500.0,0.0,0.5692798801759672,0.9609908953662465,0.3402707738755682,0.6156619159034323
2,2018/19|2019/20|2020/21,2021/22,FULL_MODEL,full_model_a0.2_t500_b6,0.2,500.0,6.0,0.5692798801759672,0.9609908953662465,0.3404229288625735,0.6157601341632671
3,2018/19|2019/20|2020/21|2021/22,2022/23,PROGRESSION_ONLY,progression_only_a0_t300_b10,0.0,300.0,10.0,0.5730682968709708,0.9663216283315037,0.3216761345352149,0.6110080130983586
3,2018/19|2019/20|2020/21|2021/22,2022/23,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0_t300_b0,0.0,300.0,0.0,0.5730750776805525,0.9663292204245841,0.3212350662785843,0.6107854924181543
3,2018/19|2019/20|2020/21|2021/22,2022/23,FULL_MODEL,full_model_a0.2_t500_b6,0.2,500.0,6.0,0.5727120000458257,0.9658080544869879,0.32245890422579776,0.6108812358673665
4,2018/19|2019/20|2020/21|2021/22|2022/23,2023/24,PROGRESSION_ONLY,progression_only_a0_t300_b12,0.0,300.0,12.0,0.5788015042769297,0.9744404923507584,0.30673430535778295,0.607338512342738
4,2018/19|2019/20|2020/21|2021/22|2022/23,2023/24,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0_t300_b0,0.0,300.0,0.0,0.5788137079621574,0.9744575220710883,0.3063941648778769,0.6070991599671813
4,2018/19|2019/20|2020/21|2021/22|2022/23,2023/24,FULL_MODEL,full_model_a0_t300_b12,0.0,300.0,12.0,0.5788015042769297,0.9744404923507584,0.30673430535778295,0.607338512342738
5,2018/19|2019/20|2020/21|2021/22|2022/23|2023/24,2024/25,PROGRESSION_ONLY,progression_only_a0_t300_b12,0.0,300.0,12.0,0.5775689132447753,0.9726406461063876,0.3179573416608062,0.6084876534574919
5,2018/19|2019/20|2020/21|2021/22|2022/23|2023/24,2024/25,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0_t300_b0,0.0,300.0,0.0,0.5775823331314897,0.9726594906262641,0.31710751236145845,0.6082373093715475
5,2018/19|2019/20|2020/21|2021/22|2022/23|2023/24,2024/25,FULL_MODEL,full_model_a0_t300_b12,0.0,300.0,12.0,0.5775689132447753,0.9726406461063876,0.3179573416608062,0.6084876534574919
6,2018/19|2019/20|2020/21|2021/22|2022/23|2023/24|2024/25,2025/26,PROGRESSION_ONLY,progression_only_a0_t300_b12,0.0,300.0,12.0,0.5773663015910782,0.9724202005448003,0.319384648028325,0.6095441357282694
6,2018/19|2019/20|2020/21|2021/22|2022/23|2023/24|2024/25,2025/26,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0_t300_b0,0.0,300.0,0.0,0.5773642949465617,0.9724154929071007,0.3187105889643369,0.6093376741753161
6,2018/19|2019/20|2020/21|2021/22|2022/23|2023/24|2024/25,2025/26,FULL_MODEL,full_model_a0_t300_b12,0.0,300.0,12.0,0.5773663015910782,0.9724202005448003,0.319384648028325,0.6095441357282694
