fold,test_season,model,competition,groups,team_weight,ranking_score,pairwise_accuracy
1,2020/21,BASE,ALL,3,319,0.2885576986625655,0.5996894274085746
1,2020/21,BASE,UCL,1,80,0.2412279423506471,0.5849476024134646
1,2020/21,BASE,UECL,1,181,0.29701006994880685,0.6020255996023363
1,2020/21,BASE,UEL,1,58,0.3274628935271134,0.6048484848484849
1,2020/21,PROGRESSION_ONLY,ALL,3,319,0.28872819283509005,0.5996894274085746
1,2020/21,PROGRESSION_ONLY,UCL,1,80,0.24190778786358874,0.5849476024134646
1,2020/21,PROGRESSION_ONLY,UECL,1,181,0.29701006994880685,0.6020255996023363
1,2020/21,PROGRESSION_ONLY,UEL,1,58,0.3274628935271134,0.6048484848484849
1,2020/21,GOAL_DIFFERENCE_ONLY,ALL,3,319,0.2900738021775248,0.5991591189399026
1,2020/21,GOAL_DIFFERENCE_ONLY,UCL,1,80,0.24626817632590353,0.5859002858050175
1,2020/21,GOAL_DIFFERENCE_ONLY,UECL,1,181,0.2955617340537063,0.6009693053311793
1,2020/21,GOAL_DIFFERENCE_ONLY,UEL,1,58,0.33336922284202236,0.6066666666666667
1,2020/21,FULL_MODEL,ALL,3,319,0.2909722147514872,0.5994450962706945
1,2020/21,FULL_MODEL,UCL,1,80,0.24833115581345044,0.5865354080660528
1,2020/21,FULL_MODEL,UECL,1,181,0.29579958096869485,0.601093575245433
1,2020/21,FULL_MODEL,UEL,1,58,0.33472275664335566,0.6078787878787879
2,2021/22,BASE,ALL,3,312,0.2634411714008293,0.5938665511725392
2,2021/22,BASE,UCL,1,78,0.31961247367605117,0.6177554438860972
2,2021/22,BASE,UECL,1,177,0.2667265030913357,0.5920650406504065
2,2021/22,BASE,UEL,1,57,0.17637335935368986,0.5664993726474279
2,2021/22,PROGRESSION_ONLY,ALL,3,312,0.2633759313295189,0.5939173512536454
2,2021/22,PROGRESSION_ONLY,UCL,1,78,0.3199413191179023,0.6177554438860972
2,2021/22,PROGRESSION_ONLY,UECL,1,177,0.2668423210105334,0.5921951219512195
2,2021/22,PROGRESSION_ONLY,UEL,1,57,0.17520661166226523,0.5658720200752823
2,2021/22,GOAL_DIFFERENCE_ONLY,ALL,3,312,0.26100906548208,0.5932180908596933
2,2021/22,GOAL_DIFFERENCE_ONLY,UCL,1,78,0.31780382374587013,0.6164154103852596
2,2021/22,GOAL_DIFFERENCE_ONLY,UECL,1,177,0.26494810270589847,0.5918048780487806
2,2021/22,GOAL_DIFFERENCE_ONLY,UEL,1,57,0.17105817542608878,0.5633626097867002
2,2021/22,FULL_MODEL,ALL,3,312,0.2616120669924858,0.5932676069504381
2,2021/22,FULL_MODEL,UCL,1,78,0.3197516005937574,0.6170854271356784
2,2021/22,FULL_MODEL,UECL,1,177,0.26515267828279904,0.591739837398374
2,2021/22,FULL_MODEL,UEL,1,57,0.17105817542608878,0.5633626097867002
3,2022/23,BASE,ALL,3,311,0.3581000126818689,0.6121731662703591
3,2022/23,BASE,UCL,1,77,0.2873292760505908,0.5986301369863014
3,2022/23,BASE,UECL,1,177,0.3266626010135324,0.6064071739554227
3,2022/23,BASE,UEL,1,57,0.5513240229608861,0.693274670018856
3,2022/23,PROGRESSION_ONLY,ALL,3,311,0.3581213034370128,0.6122225223282867
3,2022/23,PROGRESSION_ONLY,UCL,1,77,0.28803912054261804,0.5993150684931506
3,2022/23,PROGRESSION_ONLY,UECL,1,177,0.32680871519320154,0.6063421924751445
3,2022/23,PROGRESSION_ONLY,UEL,1,57,0.5500275525953108,0.693274670018856
3,2022/23,GOAL_DIFFERENCE_ONLY,ALL,3,311,0.3581000126818689,0.6121731662703591
3,2022/23,GOAL_DIFFERENCE_ONLY,UCL,1,77,0.2873292760505908,0.5986301369863014
3,2022/23,GOAL_DIFFERENCE_ONLY,UECL,1,177,0.3266626010135324,0.6064071739554227
3,2022/23,GOAL_DIFFERENCE_ONLY,UEL,1,57,0.5513240229608861,0.693274670018856
3,2022/23,FULL_MODEL,ALL,3,311,0.35667491471213186,0.611768935059679
3,2022/23,FULL_MODEL,UCL,1,77,0.2872504044403655,0.5986301369863014
3,2022/23,FULL_MODEL,UECL,1,177,0.3245791210441769,0.6056923776723634
3,2022/23,FULL_MODEL,UEL,1,57,0.550124787872729,0.6951602765556254
4,2023/24,BASE,ALL,3,317,0.3255282404729569,0.6156067335674108
4,2023/24,BASE,UCL,1,80,0.35824009836535664,0.6233312142403051
4,2023/24,BASE,UECL,1,162,0.3443113714746939,0.6201134685629905
4,2023/24,BASE,UEL,1,75,0.25006402909064535,0.5856313497822931
4,2023/24,PROGRESSION_ONLY,ALL,3,317,0.32507920052981304,0.6154462436430247
4,2023/24,PROGRESSION_ONLY,UCL,1,80,0.35992803024692893,0.6239669421487604
4,2023/24,PROGRESSION_ONLY,UECL,1,162,0.34384406160398695,0.6198803139815031
4,2023/24,PROGRESSION_ONLY,UEL,1,75,0.24737501557800703,0.5849056603773585
4,2023/24,GOAL_DIFFERENCE_ONLY,ALL,3,317,0.3255282404729569,0.6156067335674108
4,2023/24,GOAL_DIFFERENCE_ONLY,UCL,1,80,0.35824009836535664,0.6233312142403051
4,2023/24,GOAL_DIFFERENCE_ONLY,UECL,1,162,0.3443113714746939,0.6201134685629905
4,2023/24,GOAL_DIFFERENCE_ONLY,UEL,1,75,0.25006402909064535,0.5856313497822931
4,2023/24,FULL_MODEL,ALL,3,317,0.32507920052981304,0.6154462436430247
4,2023/24,FULL_MODEL,UCL,1,80,0.35992803024692893,0.6239669421487604
4,2023/24,FULL_MODEL,UECL,1,162,0.34384406160398695,0.6198803139815031
4,2023/24,FULL_MODEL,UEL,1,75,0.24737501557800703,0.5849056603773585
5,2024/25,BASE,ALL,3,323,0.2460455132506232,0.5876260251007106
5,2024/25,BASE,UCL,1,82,0.1731164920075567,0.5576456310679612
5,2024/25,BASE,UECL,1,164,0.26859336353526403,0.5935962455529483
5,2024/25,BASE,UEL,1,77,0.2756861924097188,0.5943816375471052
5,2024/25,PROGRESSION_ONLY,ALL,3,323,0.24653276330179663,0.5876775569149508
5,2024/25,PROGRESSION_ONLY,UCL,1,82,0.17274637563151085,0.5570388349514563
5,2024/25,PROGRESSION_ONLY,UECL,1,164,0.2696886910815957,0.5937476345469684
