alpha,tau,goal_difference,effective_rating_difference,goal_multiplier
0.2,400.0,0,0.0,1.0
0.2,400.0,0,148.54426619132505,1.0
0.2,400.0,0,300.0,1.0
0.2,400.0,0,600.0,1.0
0.2,400.0,1,0.0,1.0
0.2,400.0,1,148.54426619132505,1.0
0.2,400.0,1,300.0,1.0
0.2,400.0,1,600.0,1.0
0.2,400.0,2,0.0,1.138629436111989
0.2,400.0,2,148.54426619132505,1.095625907326947
0.2,400.0,2,300.0,1.065483908844651
0.2,400.0,2,600.0,1.0309324082809546
0.2,400.0,3,0.0,1.219722457733622
0.2,400.0,3,148.54426619132505,1.1515634772106476
0.2,400.0,3,300.0,1.1037895399194144
0.2,400.0,3,600.0,1.0490267071823096
0.2,400.0,4,0.0,1.2772588722239782
0.2,400.0,4,148.54426619132505,1.191251814653894
0.2,400.0,4,300.0,1.130967817689302
0.2,400.0,4,600.0,1.0618648165619093
0.2,400.0,5,0.0,1.2772588722239782
0.2,400.0,5,148.54426619132505,1.191251814653894
0.2,400.0,5,300.0,1.130967817689302
0.2,400.0,5,600.0,1.0618648165619093
0.2,400.0,6,0.0,1.2772588722239782
0.2,400.0,6,148.54426619132505,1.191251814653894
0.2,400.0,6,300.0,1.130967817689302
0.2,400.0,6,600.0,1.0618648165619093
