competition,loss,method,matches,clusters,mean_difference,ci_95_lower,ci_95_upper,reliable_improvement,reliable_harm
ALL,brier_1x2,tie_or_match,4884,3502,0.0019818162026888153,0.0009686508556143714,0.0029870237367588654,False,True
ALL,brier_1x2,team_season,4884,1413,0.0019818162026888153,0.0011943178184585948,0.0028162750781130148,False,True
ALL,brier_1x2,calendar_month,4884,65,0.0019818162026888153,0.0006863839165711283,0.003320964063120574,False,True
ALL,brier_1x2,conservative_envelope,4884,,0.0019818162026888153,0.0006863839165711283,0.003320964063120574,False,True
ALL,log_loss_1x2,tie_or_match,4884,3502,0.003004284345777791,0.0014854441380590978,0.0044901959167964745,False,True
ALL,log_loss_1x2,team_season,4884,1413,0.003004284345777791,0.001805173855921006,0.004303234026231184,False,True
ALL,log_loss_1x2,calendar_month,4884,65,0.003004284345777791,0.0012166098773947651,0.00486640368187822,False,True
ALL,log_loss_1x2,conservative_envelope,4884,,0.003004284345777791,0.0012166098773947651,0.00486640368187822,False,True
UCL,brier_1x2,tie_or_match,1384,1056,0.0007919922640299798,-0.0018487628952969545,0.0034481893662289477,False,False
UCL,brier_1x2,team_season,1384,478,0.0007919922640299798,-0.0012419448302195268,0.0028736828114490653,False,False
UCL,brier_1x2,calendar_month,1384,65,0.0007919922640299798,-0.003392240261197586,0.004362611895155601,False,False
UCL,brier_1x2,conservative_envelope,1384,,0.0007919922640299798,-0.003392240261197586,0.004362611895155601,False,False
UCL,log_loss_1x2,tie_or_match,1384,1056,0.0009135824366176204,-0.0029236900644493175,0.004778448140477608,False,False
UCL,log_loss_1x2,team_season,1384,478,0.0009135824366176204,-0.0021288806571818147,0.003965993612540742,False,False
UCL,log_loss_1x2,calendar_month,1384,65,0.0009135824366176204,-0.005000867965805517,0.006115747764408889,False,False
UCL,log_loss_1x2,conservative_envelope,1384,,0.0009135824366176204,-0.005000867965805517,0.006115747764408889,False,False
UECL,brier_1x2,tie_or_match,2073,1291,0.0014876801939121107,0.000481730381476277,0.0025473904395127154,False,True
UECL,brier_1x2,team_season,2073,864,0.0014876801939121107,0.000682615196375077,0.0023996803862888797,False,True
UECL,brier_1x2,calendar_month,2073,48,0.0014876801939121107,0.0005743411470156832,0.002677623762284566,False,True
UECL,brier_1x2,conservative_envelope,2073,,0.0014876801939121107,0.000481730381476277,0.002677623762284566,False,True
UECL,log_loss_1x2,tie_or_match,2073,1291,0.002611378455770967,0.0009446743506496361,0.004410470625555984,False,True
UECL,log_loss_1x2,team_season,2073,864,0.002611378455770967,0.0012345264596543223,0.004243933049746341,False,True
UECL,log_loss_1x2,calendar_month,2073,48,0.002611378455770967,0.0010474752791709927,0.004817922910734238,False,True
UECL,log_loss_1x2,conservative_envelope,2073,,0.002611378455770967,0.0009446743506496361,0.004817922910734238,False,True
UEL,brier_1x2,tie_or_match,1427,1155,0.003853617378090313,0.0021889501506945973,0.005557333010230747,False,True
UEL,brier_1x2,team_season,1427,538,0.003853617378090313,0.0026897883068907305,0.005030683284653251,False,True
UEL,brier_1x2,calendar_month,1427,57,0.003853617378090313,0.0020079718633791606,0.0060013326538173005,False,True
UEL,brier_1x2,conservative_envelope,1427,,0.003853617378090313,0.0020079718633791606,0.0060013326538173005,False,True
UEL,log_loss_1x2,tie_or_match,1427,1155,0.005602760416038353,0.0031970022130290085,0.008096872322383522,False,True
UEL,log_loss_1x2,team_season,1427,538,0.005602760416038353,0.003909626849595815,0.007371760264356512,False,True
UEL,log_loss_1x2,calendar_month,1427,57,0.005602760416038353,0.002897732898169715,0.008761319922995342,False,True
UEL,log_loss_1x2,conservative_envelope,1427,,0.005602760416038353,0.002897732898169715,0.008761319922995342,False,True
