fold,test_season,model,candidate_key,matches,brier_1x2,log_loss_1x2,max_abs_match_delta,max_pair_sum_error,max_abs_rating_change,start_end_rank_correlation,max_reserve,reserve_added,trophy_added,ranking_score,pairwise_accuracy
1,2020/21,candidate,reserve_b185.68_uel0.5_uecl0.25_late_strict_d0.25,540,0.5449948553957648,0.9286437051781702,90.26020520255103,4.547473508864641e-13,612.1622539342175,0.9688790770545505,297.0885323826501,1281.9251374883836,101.78404140234498,0.28902413769129703,0.5995469296814234
1,2020/21,baseline,reserve_none,540,0.5453720464435685,0.9291873773815585,90.13144428244979,9.094947017729282e-13,452.37534277047575,0.9688962046951372,0.0,0.0,0.0,0.2885576986625655,0.5996894274085746
2,2021/22,candidate,reserve_b185.68_uel0.65_uecl0.25_late_balanced_d1,816,0.5790027084300386,0.9762458735632862,94.71672311732897,4.547473508864641e-13,580.454975611033,0.942725169879151,297.0885323826501,1588.6188913685332,69.94943330591094,0.26465468008143184,0.593766631739596
2,2021/22,baseline,reserve_none,816,0.5775608154785563,0.9728905689589475,92.11274081986099,4.547473508864641e-13,395.5998578846875,0.9425079192801343,0.0,0.0,0.0,0.26034028261679104,0.5922622978113639
3,2022/23,candidate,reserve_b111.408_uel0.8_uecl0.25_gentle_ascending_d0.5,804,0.5956855155576145,0.9984846929540581,89.61650088021267,9.094947017729282e-13,584.3529008230225,0.9414263650611142,297.0885323826501,4099.5227545111475,65.53039263830067,0.34812139294951655,0.6091014427886492
3,2022/23,baseline,reserve_none,804,0.5925781242153473,0.9941020811217846,87.73673220240366,4.547473508864641e-13,451.1244346065489,0.9432800931986961,0.0,0.0,0.0,0.35410047208145623,0.6102633662789866
4,2023/24,candidate,reserve_b222.816_uel0.5_uecl0.45_gentle_ascending_d0.25,806,0.5703258555269812,0.962064355585675,92.84592895659901,4.547473508864641e-13,578.4175407358598,0.9272226631919813,297.0885323826501,9015.270082491314,106.92850057253106,0.3152208646088831,0.611883956456545
4,2023/24,baseline,reserve_none,806,0.565911892642734,0.9560244853198332,92.63575178498871,4.547473508864641e-13,301.46093659092594,0.9377029143808434,0.0,0.0,0.0,0.32388803358667395,0.614919895223666
5,2024/25,candidate,reserve_b222.816_uel0.8_uecl0.6_knockout_ascending_d0.25,957,0.5748774303970645,0.9695931289839961,92.31125540234864,9.094947017729282e-13,668.7069674853392,0.9316620029488694,297.0885323826501,7452.363200996544,83.9254644394089,0.24370645694820536,0.5872190579671628
5,2024/25,baseline,reserve_none,957,0.5711801214476286,0.9643984418371442,92.95714988408973,9.094947017729282e-13,376.0882627210967,0.9385119620937886,0.0,0.0,0.0,0.2524656604132031,0.5901043695935656
6,2025/26,candidate,reserve_b222.816_uel0.8_uecl0.6_late_balanced_d0.5,961,0.5869823618908129,0.9865090158359113,93.77096526874251,9.094947017729282e-13,591.6443855666585,0.9381540807150323,297.0885323826501,3549.011688063371,79.25479311851166,,
6,2025/26,baseline,reserve_none,961,0.5879064332093978,0.9876895483743992,91.4047148819775,9.094947017729282e-13,362.94686823544157,0.9418661870569277,0.0,0.0,0.0,,
