competition,loss,method,matches,clusters,mean_difference,ci_95_lower,ci_95_upper,reliable_improvement,reliable_harm
ALL,brier_1x2,tie_or_match,4884,3502,0.0007828782737853212,-0.000392376127144196,0.001971529409253457,False,False
ALL,brier_1x2,team_season,4884,1413,0.0007828782737853212,-8.496159077952768e-05,0.0017190021126627347,False,False
ALL,brier_1x2,calendar_month,4884,65,0.0007828782737853212,-0.0006547557751670907,0.002253213013109955,False,False
ALL,brier_1x2,conservative_envelope,4884,,0.0007828782737853212,-0.0006547557751670907,0.002253213013109955,False,False
ALL,log_loss_1x2,tie_or_match,4884,3502,0.0011882514152983888,-0.0004928887930930667,0.002877253462945847,False,False
ALL,log_loss_1x2,team_season,4884,1413,0.0011882514152983888,-4.095906858727863e-05,0.0025531640219522787,False,False
ALL,log_loss_1x2,calendar_month,4884,65,0.0011882514152983888,-0.000834200567716854,0.003317087223811385,False,False
ALL,log_loss_1x2,conservative_envelope,4884,,0.0011882514152983888,-0.000834200567716854,0.003317087223811385,False,False
UCL,brier_1x2,tie_or_match,1384,1056,0.000375511259588665,-0.0015097906889937457,0.0022718615107578757,False,False
UCL,brier_1x2,team_season,1384,478,0.000375511259588665,-0.0008766587193693144,0.001570879047931353,False,False
UCL,brier_1x2,calendar_month,1384,65,0.000375511259588665,-0.0008636974502118408,0.0016393774675516563,False,False
UCL,brier_1x2,conservative_envelope,1384,,0.000375511259588665,-0.0015097906889937457,0.0022718615107578757,False,False
UCL,log_loss_1x2,tie_or_match,1384,1056,0.0006789671740037164,-0.0020960949007262693,0.003430057793620145,False,False
UCL,log_loss_1x2,team_season,1384,478,0.0006789671740037164,-0.0011620034740536923,0.0024576380916920405,False,False
UCL,log_loss_1x2,calendar_month,1384,65,0.0006789671740037164,-0.001041905876432687,0.0024577990563953273,False,False
UCL,log_loss_1x2,conservative_envelope,1384,,0.0006789671740037164,-0.0020960949007262693,0.003430057793620145,False,False
UECL,brier_1x2,tie_or_match,2073,1291,0.0006290615543068687,-0.0014339674043395065,0.0026443744940799234,False,False
UECL,brier_1x2,team_season,2073,864,0.0006290615543068687,-0.0009293422779818968,0.0023695108141086217,False,False
UECL,brier_1x2,calendar_month,2073,48,0.0006290615543068687,-0.002232089113987588,0.003934525747917345,False,False
UECL,brier_1x2,conservative_envelope,2073,,0.0006290615543068687,-0.002232089113987588,0.003934525747917345,False,False
UECL,log_loss_1x2,tie_or_match,2073,1291,0.0010900055021634337,-0.0018774597687074258,0.003957618326204069,False,False
UECL,log_loss_1x2,team_season,2073,864,0.0010900055021634337,-0.0011765493313735048,0.0036038741879070306,False,False
UECL,log_loss_1x2,calendar_month,2073,48,0.0010900055021634337,-0.0029708903563559793,0.005902309921746046,False,False
UECL,log_loss_1x2,conservative_envelope,2073,,0.0010900055021634337,-0.0029708903563559793,0.005902309921746046,False,False
UEL,brier_1x2,tie_or_match,1427,1155,0.0014014192738743224,-0.0005120941381557012,0.0033027354233649926,False,False
UEL,brier_1x2,team_season,1427,538,0.0014014192738743224,6.0515192237910756e-05,0.0027903340839448127,False,True
UEL,brier_1x2,calendar_month,1427,57,0.0014014192738743224,-0.0007337089847850753,0.0036811030772138705,False,False
UEL,brier_1x2,conservative_envelope,1427,,0.0014014192738743224,-0.0007337089847850753,0.0036811030772138705,False,False
UEL,log_loss_1x2,tie_or_match,1427,1155,0.0018249109583121164,-0.0008937967283792175,0.004474813686716366,False,False
UEL,log_loss_1x2,team_season,1427,538,0.0018249109583121164,-1.3415737213741441e-05,0.00373078666792492,False,False
UEL,log_loss_1x2,calendar_month,1427,57,0.0018249109583121164,-0.001215822732854901,0.005054607469550644,False,False
UEL,log_loss_1x2,conservative_envelope,1427,,0.0018249109583121164,-0.001215822732854901,0.005054607469550644,False,False
