fold,test_season,model,candidate_key,matches,brier_1x2,log_loss_1x2,max_abs_match_delta,max_pair_sum_error,max_abs_rating_change,start_end_rank_correlation,max_reserve,reserve_added,trophy_added,ranking_score,pairwise_accuracy
1,2020/21,candidate,k_hierarchy_ucl0.75_uel0.675_uecl0.1875,540,0.5464322091447019,0.9304415984854141,65.14151095435204,9.094947017729282e-13,332.44795059604894,0.9829345597925934,0.0,0.0,0.0,0.2877163628300689,0.5996461643619219
1,2020/21,baseline,k_global_ucl1_uel1_uecl1,540,0.5453720464435685,0.9291873773815585,90.13144428244979,9.094947017729282e-13,452.37534277047575,0.9688962046951372,0.0,0.0,0.0,0.2885576986625655,0.5996894274085746
2,2021/22,candidate,k_hierarchy_ucl1_uel0.5_uecl0.25,816,0.5803610234845008,0.9772639079146674,87.65121045530461,4.547473508864641e-13,376.0376506849882,0.9823233734600899,0.0,0.0,0.0,0.2530202738945087,0.5872822848654842
2,2021/22,baseline,k_global_ucl1_uel1_uecl1,816,0.5775608154785563,0.9728905689589475,92.11274081986099,4.547473508864641e-13,395.5998578846875,0.9425079192801343,0.0,0.0,0.0,0.26034028261679104,0.5922622978113639
3,2022/23,candidate,k_hierarchy_ucl1_uel0.65_uecl0.6,804,0.593955208323176,0.9961430835517638,84.86491715369836,4.547473508864641e-13,304.9843897385076,0.9653550164501772,0.0,0.0,0.0,0.3523720327882104,0.6115738755337731
3,2022/23,baseline,k_global_ucl1_uel1_uecl1,804,0.5925781242153473,0.9941020811217846,87.73673220240366,4.547473508864641e-13,451.1244346065489,0.9432800931986961,0.0,0.0,0.0,0.35410047208145623,0.6102633662789866
4,2023/24,candidate,k_hierarchy_ucl1.25_uel0.8125_uecl0.75,806,0.5663266108758628,0.9565476425854929,112.24694253390948,4.547473508864641e-13,365.0353193516826,0.9501190618348869,0.0,0.0,0.0,0.32360557862192635,0.614067713357109
4,2023/24,baseline,k_global_ucl1_uel1_uecl1,806,0.565911892642734,0.9560244853198332,92.63575178498871,4.547473508864641e-13,301.46093659092594,0.9377029143808434,0.0,0.0,0.0,0.32388803358667395,0.614919895223666
5,2024/25,candidate,k_hierarchy_ucl1.5_uel0.75_uecl0.675,957,0.5716890574986809,0.9651657930281375,130.789937277096,9.094947017729282e-13,500.5036815607011,0.9516695805392869,0.0,0.0,0.0,0.25622543755265115,0.5910754909275533
5,2024/25,baseline,k_global_ucl1_uel1_uecl1,957,0.5711801214476286,0.9643984418371442,92.95714988408973,9.094947017729282e-13,376.0882627210967,0.9385119620937886,0.0,0.0,0.0,0.2524656604132031,0.5901043695935656
6,2025/26,candidate,k_hierarchy_ucl1.5_uel0.75_uecl0.675,961,0.5869050071721982,0.9863997566249333,135.30614675129343,9.094947017729282e-13,467.45147993710793,0.9531960541752067,0.0,0.0,0.0,,
6,2025/26,baseline,k_global_ucl1_uel1_uecl1,961,0.5879064332093978,0.9876895483743992,91.4047148819775,9.094947017729282e-13,362.94686823544157,0.9418661870569277,0.0,0.0,0.0,,
